['dutchman', 0.9811868830058137]
['raking', 0.9760652995370185]
['sarcastic', 0.9723623764344153]
['metaphysical', 0.9722446070959688]
['mandolins', 0.9721118636938527]
['fascinated', 0.9705331762617432]
['sert', 0.9628834013577435]
['bottles', 0.962459093112888]
['quickest', 0.9611845021706332]
['horseback', 0.9610218580413858]
['hid', 0.9591196808939024]
['sod', 0.9588627315420694]
['strive', 0.9587445829039456]
['dress', 0.9567873405394498]
['eut', 0.9555828477834183]
['feat', 0.9513304015408015]
['accidents', 0.9498028928859145]
['grant', 0.9488658086233719]
['jumped', 0.9487105028718578]
['tend', 0.9479776768344323]
['proserpine', 0.946895158485592]
['nuper', 0.9429896276232967]
['narves', 0.9414615278658224]
['protestations', 0.941259858115951]
['funnelled', 0.9403413700843204]
['acetelyne', 0.9397892775344521]
['dawning', 0.9397818395294103]
['gonsales', 0.9387090237792477]
['_royal_', 0.9366905465954336]
['wonders', 0.9349197115924954]
['constitute', 0.9346511348468326]
['chasseurs', 0.9341349531150529]
['1513', 0.9319336610481758]
['serenity', 0.9319149904861775]
['bargain', 0.9304773498629161]
['throng', 0.9291188143973407]
['balkan', 0.9289241949049057]
['heartily', 0.9286984871313873]
['fans', 0.928389472669244]
['dainties', 0.9283648432401325]
['amongst', 0.9283543716497197]
['liver', 0.927278903771173]
['bids', 0.9247115306011783]
['plains', 0.9240219033035536]
['especially', 0.9215940289250866]
['polypi', 0.9200747166728684]
['rains', 0.9196751162613355]
['tottering', 0.9195436989616204]
['wondered', 0.9190800085714912]
['hounding', 0.9189587883886292]
['manages', 0.9186440308754518]
['sparring', 0.9174282065989849]
['rounded', 0.9168981584181924]
['coherent', 0.9168393758844338]
['falling', 0.916033874510614]
['anoint', 0.9159427359795626]
['incident', 0.9148082360026991]
['larders', 0.9144150414500054]
['succeeding', 0.9141300670193303]
['interesse', 0.9136884511740412]
['reckoned', 0.9131656848024036]
['cape', 0.9115847230152656]
['zest', 0.9111034580023232]
['bnf', 0.9109568118950446]
['angered', 0.9105381402042526]
['faire_', 0.9098699199756586]
['unsubstantial', 0.9088462791283446]
['plantin', 0.9081336181261495]
['magna', 0.9074702976056304]
['declarations', 0.9065079761889352]
['shinin', 0.9063979669667525]
['arrivals', 0.9058449382253899]
['systematic', 0.9056399390167583]
['coil', 0.9054229920210141]
['keene', 0.9052802392995285]
['execrating', 0.9040410230488696]
['bashfully', 0.9033090083167096]
['cutthroats', 0.9028606883977088]
['softened', 0.9028209233957986]
['wittest', 0.9026429872186832]
['fluttered', 0.9019529521564709]
['occult', 0.9019435871979231]
['disembarcation', 0.9011236143775146]
['depressed', 0.9007946401127525]
['arabesques', 0.9007615021086341]
