['schemes', 0.9962636549162761]
['execrating', 0.9946808037672829]
['eut', 0.9938446731028929]
['cassius', 0.9915210964137575]
['osiris', 0.9908938247402118]
['liver', 0.9899223138525008]
['sert', 0.989712766958233]
['night', 0.986694185080947]
['undoubtedly', 0.9854374439674342]
['lustre', 0.9850703122674329]
['prescience', 0.9831235664168128]
['depressed', 0.9816695010950238]
['borderland', 0.9816555506720258]
['agent', 0.9801056213985887]
['point', 0.9801018901025029]
['huntsman', 0.9797241110356195]
['offenbach', 0.9795256352857103]
['culpable', 0.9792920144901256]
['wilder', 0.9790599490724367]
['flattery', 0.9781509642698115]
['ennobled', 0.9779423411159006]
['guards', 0.9776929242425304]
['manages', 0.9774513871330277]
['succeeding', 0.9762002973287704]
['funds', 0.9756821630765841]
['zest', 0.9753614426539561]
['_use_', 0.9753533373922538]
['latent', 0.9745846590280162]
['establishers', 0.9738666674632971]
['coil', 0.9737870452287289]
['bologna', 0.9736812807066686]
['_and', 0.9731585727556011]
['topsy', 0.9723318992231063]
['bos', 0.9721309924448616]
['products', 0.9717946780243621]
['shame', 0.9716014616077092]
['sported', 0.9714443639528437]
['irregularity', 0.9709463105532219]
['fidgety', 0.9707608092311337]
['pillars', 0.9706060973105457]
['paintings', 0.9705795524940053]
['drip', 0.9697761997356823]
['mardenter', 0.9690946973062782]
['doomed', 0.9688015655047002]
['contrariwise', 0.968329491322973]
['dry', 0.9677714798503809]
['heeded', 0.9676140866364202]
['stack', 0.967561456031403]
['perceive', 0.9673613748978563]
['bag', 0.9673402694034032]
['trolling', 0.9669782357627935]
['treat', 0.9668945235377614]
['menial', 0.9668781617532392]
['scanty', 0.9666805613141078]
['hasty', 0.9666698185631984]
['alms', 0.966650027985212]
['sailing', 0.9664424291292524]
['gonsales', 0.966025197415452]
['marring', 0.9659487309401713]
['cupboard', 0.9657154687254625]
['inveighing', 0.9654185518691595]
['wounding', 0.9650953157508116]
['havin', 0.9649962099825702]
['command', 0.9649693917610366]
['room', 0.9648849662050588]
['needleworkers', 0.9646308744903617]
['howled', 0.9642686338690433]
['healed', 0.9637145927153447]
['emerald', 0.9636385916531056]
['plagues', 0.9632882033580155]
['gallic', 0.9630905754642897]
