['quare', 0.9322235349796244]
['souci', 0.9322235349796244]
['extend', 0.9322235349796244]
['lookin', 0.9322235349796244]
['eradicate', 0.9322235349796244]
['sextus', 0.9322235349796244]
['conditioned', 0.9322235349796244]
['eighteen', 0.9322235349796244]
['boiled', 0.9322235349796244]
['holystoned', 0.9322235349796244]
['outlived', 0.9322235349796244]
['haberdashery', 0.9322235349796244]
['haf', 0.9322235349796244]
['hat', 0.9322235349796244]
['topping', 0.9322235349796244]
['locksmithing', 0.9322235349796244]
['mollard', 0.9322235349796244]
['addington', 0.9322235349796244]
['complications', 0.9322235349796244]
['role', 0.9322235349796244]
['circumstances', 0.9322235349796244]
['embark', 0.9322235349796244]
['deranging', 0.9322235349796244]
['cooks', 0.9322235349796244]
['meadow', 0.9322235349796244]
['dusty', 0.9322235349796244]
['pavilions', 0.9322235349796244]
['admired', 0.9322235349796244]
['temperate', 0.9322235349796244]
['quarter', 0.9322235349796244]
['bursting', 0.9322235349796244]
['disasters', 0.9322235349796244]
['herds', 0.9322235349796244]
['unburied', 0.9322235349796244]
['illness', 0.9322235349796244]
['erudition', 0.9322235349796244]
['diplomatist', 0.9322235349796244]
['orally', 0.9322235349796244]
['imagines', 0.9322235349796244]
['aggressive', 0.9322235349796244]
['welcomed', 0.9322235349796244]
['fit', 0.9322235349796244]
['loveliest', 0.9322235349796244]
['compels', 0.9322235349796244]
['reformatory', 0.9322235349796244]
['chabot', 0.9322235349796244]
['zion', 0.9322235349796244]
['exasperating', 0.9322235349796244]
['rumpus', 0.9322235349796244]
['dyes', 0.9322235349796244]
['beware', 0.9322235349796244]
['pouvoirs', 0.9322235349796244]
['24th', 0.9322235349796244]
['investment', 0.9322235349796244]
['dwells', 0.9322235349796244]
['cessation', 0.9322235349796244]
['fragrance', 0.9322235349796244]
['learn', 0.9322235349796244]
['knocked', 0.9322235349796244]
['installed', 0.9322235349796244]
['signs', 0.9322235349796244]
['preservation', 0.9322235349796244]
['syringes', 0.9322235349796244]
['also', 0.9322235349796244]
['seize', 0.9322235349796244]
['insane', 0.9322235349796244]
['untouched', 0.9322235349796244]
['bell', 0.9322235349796244]
['acted', 0.9322235349796244]
['satire', 0.9322235349796244]
['infect', 0.9322235349796244]
['vow', 0.9322235349796244]
['vox', 0.9322235349796244]
['breasted', 0.9322235349796244]
['into', 0.9322235349796244]
['enthusiasms', 0.9322235349796244]
['beverage', 0.9322235349796244]
['humpback', 0.9322235349796244]
['glows', 0.9322235349796244]
['_shoon', 0.9322235349796244]
['flowing', 0.9322235349796244]
['harassing', 0.9322235349796244]
['archytas', 0.9322235349796244]
['maw_', 0.9322235349796244]
['lock', 0.9322235349796244]
['directs', 0.9322235349796244]
['physicians', 0.9322235349796244]
['snaky', 0.9322235349796244]
['unprepared', 0.9322235349796244]
['chilly', 0.9322235349796244]
['desagreable', 0.9322235349796244]
['lithographically', 0.9322235349796244]
['allusion', 0.9322235349796244]
['strengthener', 0.9322235349796244]
['hateful', 0.9322235349796244]
['we_', 0.9322235349796244]
['parler', 0.9322235349796244]
['villainous', 0.9322235349796244]
['searched', 0.9322235349796244]
['integrity', 0.9322235349796244]
['lonesome', 0.9322235349796244]
['recovery', 0.9322235349796244]
['shakin', 0.9322235349796244]
['arch', 0.9322235349796244]
['disputes', 0.9322235349796244]
['forcibly', 0.9322235349796244]
['portraits', 0.9322235349796244]
['drawl', 0.9322235349796244]
['paster', 0.9322235349796244]
['annees', 0.9322235349796244]
['cooled', 0.9322235349796244]
['partridges', 0.9322235349796244]
['dismalness', 0.9322235349796244]
['12th', 0.9322235349796244]
['naming', 0.9322235349796244]
['consecrate', 0.9322235349796244]
['authorising', 0.9322235349796244]
['mrs', 0.9322235349796244]
['beseems', 0.9322235349796244]
['_caballo_', 0.9322235349796244]
['greetings', 0.9322235349796244]
['verse', 0.9322235349796244]
['cheerily', 0.9322235349796244]
['francis', 0.9322235349796244]
['start', 0.9322235349796244]
['whistling', 0.9322235349796244]
['loyally', 0.9322235349796244]
['moonlight', 0.9322235349796244]
['unenforceability', 0.9322235349796244]
['ceaseless', 0.9322235349796244]
['4557', 0.9322235349796244]
['adieux', 0.9322235349796244]
['inspired', 0.9322235349796244]
['conventional', 0.9322235349796244]
['_ameto', 0.9322235349796244]
['founders', 0.9322235349796244]
['stateroom', 0.9322235349796244]
['bless', 0.9322235349796244]
['obligated', 0.9322235349796244]
['heavy', 0.9322235349796244]
['punitive', 0.9322235349796244]
['anarchy', 0.9322235349796244]
['safety', 0.9322235349796244]
['visione', 0.9322235349796244]
['1913', 0.9322235349796244]
['hired', 0.9322235349796244]
['astern', 0.9322235349796244]
['combinations', 0.9322235349796244]
['culture', 0.9322235349796244]
['forgotten', 0.9322235349796244]
['richter', 0.9322235349796244]
['suddenness', 0.9322235349796244]
['petticoats', 0.9322235349796244]
['ordered', 0.9322235349796244]
['ancestors', 0.9322235349796244]
['graphically', 0.9322235349796244]
['orbit', 0.9322235349796244]
['ignorant', 0.9322235349796244]
['formally', 0.9322235349796244]
['meek', 0.9322235349796244]
['clytemnestra', 0.9322235349796244]
['tens', 0.9322235349796244]
['direst', 0.9322235349796244]
['tent', 0.9322235349796244]
['merry', 0.9322235349796244]
['strains', 0.9322235349796244]
['diplomats', 0.9322235349796244]
['fearest', 0.9322235349796244]
['examined', 0.9322235349796244]
['comete', 0.9322235349796244]
['cometh', 0.9322235349796244]
['necessary', 0.9322235349796244]
['lose', 0.9322235349796244]
['glare', 0.9322235349796244]
['tellings', 0.9322235349796244]
['reaching', 0.9322235349796244]
['additional', 0.9322235349796244]
['valerian', 0.9322235349796244]
['highest', 0.9322235349796244]
['kisses', 0.9322235349796244]
['beats', 0.9322235349796244]
['functions', 0.9322235349796244]
['_christus', 0.9322235349796244]
['swab', 0.9322235349796244]
['sway', 0.9322235349796244]
['met', 0.9322235349796244]
['tranquillized', 0.9322235349796244]
['witcheries', 0.9322235349796244]
['parkinson', 0.9322235349796244]
['astor', 0.9322235349796244]
['sham', 0.9322235349796244]
['schisms', 0.9322235349796244]
['detestation', 0.9322235349796244]
['abate', 0.9322235349796244]
['chinked', 0.9322235349796244]
['enraged', 0.9322235349796244]
['fictions', 0.9322235349796244]
['matting', 0.9322235349796244]
['palace', 0.9322235349796244]
['rattle', 0.9322235349796244]
['maria', 0.9322235349796244]
['observation', 0.9322235349796244]
['godliness', 0.9322235349796244]
['insinuated', 0.9322235349796244]
['perlite', 0.9322235349796244]
['deepen', 0.9322235349796244]
['inscrutable', 0.9322235349796244]
['impelling', 0.9322235349796244]
['etiquette', 0.9322235349796244]
['assigned', 0.9322235349796244]
['discreet', 0.9322235349796244]
['theorists', 0.9322235349796244]
['thinner', 0.9322235349796244]
['bragance', 0.9322235349796244]
['happening', 0.9322235349796244]
['idolatry', 0.9322235349796244]
['talker', 0.9322235349796244]
['filled', 0.9322235349796244]
['colonization', 0.9322235349796244]
['bow', 0.9322235349796244]
['swamping', 0.9322235349796244]
['waist', 0.9322235349796244]
['first', 0.9322235349796244]
['entrances', 0.9322235349796244]
['squat', 0.9322235349796244]
['arguing', 0.9322235349796244]
['roused', 0.9322235349796244]
['supposition', 0.9322235349796244]
['bedside', 0.9322235349796244]
['enthusiasm', 0.9322235349796244]
['seared', 0.9322235349796244]
['overmatch', 0.9322235349796244]
['undertone', 0.9322235349796244]
['dreamless', 0.9322235349796244]
['philosophically', 0.9322235349796244]
['declaration', 0.9322235349796244]
['zanchius', 0.9322235349796244]
['woodland', 0.9322235349796244]
['images', 0.9322235349796244]
['reconnoitered', 0.9322235349796244]
['fitness', 0.9322235349796244]
['occultations', 0.9322235349796244]
['powerless', 0.9322235349796244]
['flyin', 0.9322235349796244]
['shattered', 0.9322235349796244]
['washing', 0.9322235349796244]
['sweetly', 0.9322235349796244]
['carcass', 0.9322235349796244]
['misery', 0.9322235349796244]
['recall', 0.9322235349796244]
['dazed', 0.9322235349796244]
['emaciated', 0.9322235349796244]
['resentments', 0.9322235349796244]
['invigoration', 0.9322235349796244]
['sciving', 0.9322235349796244]
['showers', 0.9322235349796244]
['serene', 0.9322235349796244]
['rebels', 0.9322235349796244]
['swelling', 0.9322235349796244]
['quarrelsome', 0.9322235349796244]
['screened', 0.9322235349796244]
['faithfully', 0.9322235349796244]
['stoves', 0.9322235349796244]
['ardour', 0.9322235349796244]
['irritable', 0.9322235349796244]
['cur', 0.9322235349796244]
['marrying', 0.9322235349796244]
['teuton', 0.9322235349796244]
['easter', 0.9322235349796244]
['austria', 0.9322235349796244]
['relapsed', 0.9322235349796244]
['curt', 0.9322235349796244]
['consulted', 0.9322235349796244]
['cellar', 0.9322235349796244]
['pleasing', 0.9322235349796244]
['thronging', 0.9322235349796244]
['mayhap', 0.9322235349796244]
['carlo', 0.9322235349796244]
['assisted', 0.9322235349796244]
['access', 0.9322235349796244]
['apologetic', 0.9322235349796244]
['packing', 0.9322235349796244]
['composed', 0.9322235349796244]
['monseigneur', 0.9322235349796244]
['horns', 0.9322235349796244]
['flattering', 0.9322235349796244]
['accredited', 0.9322235349796244]
['approached', 0.9322235349796244]
['allied', 0.9322235349796244]
['incentive', 0.9322235349796244]
['prisoner', 0.9322235349796244]
['inexorable', 0.9322235349796244]
['disease', 0.9322235349796244]
['traitor', 0.9322235349796244]
['placidly', 0.9322235349796244]
['statues', 0.9322235349796244]
['deflected', 0.9322235349796244]
['swimmer', 0.9322235349796244]
['closets', 0.9322235349796244]
['sigur', 0.9322235349796244]
['nevertheless', 0.9322235349796244]
['wreckage', 0.9322235349796244]
['rushes', 0.9322235349796244]
['measure', 0.9322235349796244]
['conveys', 0.9322235349796244]
['gratification', 0.9322235349796244]
['conceive', 0.9322235349796244]
['oaths', 0.9322235349796244]
['luggage', 0.9322235349796244]
['prints', 0.9322235349796244]
['joined', 0.9322235349796244]
['spendthrifts', 0.9322235349796244]
['tourists', 0.9322235349796244]
['screws', 0.9322235349796244]
['disorganised', 0.9322235349796244]
['potency', 0.9322235349796244]
['mus', 0.9322235349796244]
['discovery', 0.9322235349796244]
['reiterate', 0.9322235349796244]
['rims', 0.9322235349796244]
['natives', 0.9322235349796244]
['chazy', 0.9322235349796244]
['schiller', 0.9322235349796244]
['rumor', 0.9322235349796244]
['pursues', 0.9322235349796244]
['contests', 0.9322235349796244]
['objurgatory', 0.9322235349796244]
['row', 0.9322235349796244]
['illustrating', 0.9322235349796244]
['requited', 0.9322235349796244]
['confucius', 0.9322235349796244]
['critic', 0.9322235349796244]
['fern', 0.9322235349796244]
['subjection', 0.9322235349796244]
['browed', 0.9322235349796244]
['cheerfully', 0.9322235349796244]
['resembling', 0.9322235349796244]
['cheap', 0.9322235349796244]
['trot', 0.9322235349796244]
['surfaces', 0.9322235349796244]
['contract', 0.9322235349796244]
['conjointly', 0.9322235349796244]
['weed', 0.9322235349796244]
['moon', 0.9322235349796244]
['grasp', 0.9322235349796244]
['piracy', 0.9322235349796244]
['roses', 0.9322235349796244]
['lumberman', 0.9322235349796244]
['brien', 0.9322235349796244]
['sum', 0.9322235349796244]
['version', 0.9322235349796244]
['pulpit', 0.9322235349796244]
['sur', 0.9322235349796244]
['naval', 0.9322235349796244]
['flag', 0.9322235349796244]
['presumed', 0.9322235349796244]
['hunted', 0.9322235349796244]
['mathematician', 0.9322235349796244]
['intolerable', 0.9322235349796244]
['oppressed', 0.9322235349796244]
['storm', 0.9322235349796244]
['rifle', 0.9322235349796244]
['electric', 0.9322235349796244]
['till_', 0.9322235349796244]
['unbiassed', 0.9322235349796244]
['workmen', 0.9322235349796244]
['credence', 0.9322235349796244]
['try', 0.9322235349796244]
['rudolph', 0.9322235349796244]
['separately', 0.9322235349796244]
['disinclines', 0.9322235349796244]
['contrasting', 0.9322235349796244]
['elixir', 0.9322235349796244]
['lifeless', 0.9322235349796244]
['warmed', 0.9322235349796244]
['steeped', 0.9322235349796244]
['princeps', 0.9322235349796244]
['discordant', 0.9322235349796244]
['loyalty', 0.9322235349796244]
['include', 0.9322235349796244]
['disclaimer', 0.9322235349796244]
['toils', 0.9322235349796244]
['wrestling', 0.9322235349796244]
['falsity', 0.9322235349796244]
['opiates', 0.9322235349796244]
['kaleidoscopic', 0.9322235349796244]
['provoke', 0.9322235349796244]
['sidewalks', 0.9322235349796244]
['tack', 0.9322235349796244]
['whilst', 0.9322235349796244]
['arbitrations', 0.9322235349796244]
['ambition', 0.9322235349796244]
['regiomontanus', 0.9322235349796244]
['acknowledgment', 0.9322235349796244]
['vapouring', 0.9322235349796244]
['why', 0.9322235349796244]
['oscillated', 0.9322235349796244]
['pipe', 0.9322235349796244]
['married', 0.9322235349796244]
['juror', 0.9322235349796244]
['luminous', 0.9322235349796244]
['thus', 0.9322235349796244]
['geographical', 0.9322235349796244]
['volume', 0.9322235349796244]
['monastic', 0.9322235349796244]
['intimidating', 0.9322235349796244]
['conclusion', 0.9322235349796244]
['squeak', 0.9322235349796244]
['aegir', 0.9322235349796244]
['rancour', 0.9322235349796244]
['infringed', 0.9322235349796244]
['increasing', 0.9322235349796244]
['dory', 0.9322235349796244]
['_a', 0.9322235349796244]
['garment', 0.9322235349796244]
['swaths', 0.9322235349796244]
['fortnight', 0.9322235349796244]
['blinded', 0.9322235349796244]
['assured', 0.9322235349796244]
['engagement', 0.9322235349796244]
['dogmas', 0.9322235349796244]
['legs', 0.9322235349796244]
['entail', 0.9322235349796244]
['eagerly', 0.9322235349796244]
['looming', 0.9322235349796244]
['braying', 0.9322235349796244]
['flanked', 0.9322235349796244]
['disaster', 0.9322235349796244]
['fair', 0.9322235349796244]
['reprieved', 0.9322235349796244]
['drew', 0.9322235349796244]
['carbon', 0.9322235349796244]
['autoisi', 0.9322235349796244]
['readers', 0.9322235349796244]
['adventurer', 0.9322235349796244]
['life', 0.9322235349796244]
['adaptations', 0.9322235349796244]
['ilion', 0.9322235349796244]
['flippancy', 0.9322235349796244]
['forsaken', 0.9322235349796244]
['prologue', 0.9322235349796244]
['warring', 0.9322235349796244]
['gasps', 0.9322235349796244]
['therefrom', 0.9322235349796244]
['circumstantial', 0.9322235349796244]
['crutches', 0.9322235349796244]
['reorganization', 0.9322235349796244]
['divulged', 0.9322235349796244]
['cherished', 0.9322235349796244]
['valued', 0.9322235349796244]
['nether', 0.9322235349796244]
['grosser', 0.9322235349796244]
['snaps', 0.9322235349796244]
['misshapen', 0.9322235349796244]
['decades', 0.9322235349796244]
['equipage', 0.9322235349796244]
['woodcraft', 0.9322235349796244]
['rivalled', 0.9322235349796244]
['unconsciousness', 0.9322235349796244]
['flocks', 0.9322235349796244]
['agree', 0.9322235349796244]
['ac', 0.9322235349796244]
['original', 0.9322235349796244]
['crestfallen', 0.9322235349796244]
['_chug_', 0.9322235349796244]
['axis', 0.9322235349796244]
['earnings', 0.9322235349796244]
['pinted', 0.9322235349796244]
['silky', 0.9322235349796244]
['misses', 0.9322235349796244]
['attentions', 0.9322235349796244]
['historian', 0.9322235349796244]
['remembers', 0.9322235349796244]
['effecting', 0.9322235349796244]
['attacking', 0.9322235349796244]
['session', 0.9322235349796244]
['obscure', 0.9322235349796244]
['hooted', 0.9322235349796244]
['whole', 0.9322235349796244]
['volcanic', 0.9322235349796244]
['formats', 0.9322235349796244]
['lunacy', 0.9322235349796244]
['stables', 0.9322235349796244]
['be', 0.9322235349796244]
['agreement', 0.9322235349796244]
['by', 0.9322235349796244]
['forgave', 0.9322235349796244]
['primarily', 0.9322235349796244]
['impudent', 0.9322235349796244]
['imps', 0.9322235349796244]
['redeemed', 0.9322235349796244]
['walker', 0.9322235349796244]
['shrugged', 0.9322235349796244]
['disordered', 0.9322235349796244]
['herondas', 0.9322235349796244]
['let', 0.9322235349796244]
['standing', 0.9322235349796244]
['ministere', 0.9322235349796244]
['jeer', 0.9322235349796244]
['unpalatable', 0.9322235349796244]
['delightful', 0.9322235349796244]
['venom', 0.9322235349796244]
['oblong', 0.9322235349796244]
['straining', 0.9322235349796244]
['competency', 0.9322235349796244]
['_xii_', 0.9322235349796244]
['lyon', 0.9322235349796244]
['injustice', 0.9322235349796244]
['grinning', 0.9322235349796244]
['thief', 0.9322235349796244]
['unbent', 0.9322235349796244]
['footprints', 0.9322235349796244]
['cajoling', 0.9322235349796244]
['boreale', 0.9322235349796244]
['rural', 0.9322235349796244]
['29th', 0.9322235349796244]
['boats', 0.9322235349796244]
['consumes', 0.9322235349796244]
['green', 0.9322235349796244]
['greed', 0.9322235349796244]
['devote', 0.9322235349796244]
['consent', 0.9322235349796244]
['buffon', 0.9322235349796244]
['crimes', 0.9322235349796244]
['strangers', 0.9322235349796244]
['baltic', 0.9322235349796244]
['truthfulness', 0.9322235349796244]
['crooning', 0.9322235349796244]
['neighborhoods', 0.9322235349796244]
['accord', 0.9322235349796244]
['merchantibility', 0.9322235349796244]
['chimneys', 0.9322235349796244]
['abrupt', 0.9322235349796244]
['comparative', 0.9322235349796244]
['profounder', 0.9322235349796244]
['partridge', 0.9322235349796244]
['comments', 0.9322235349796244]
['theirs', 0.9322235349796244]
['pays', 0.9322235349796244]
['responding', 0.9322235349796244]
['physical', 0.9322235349796244]
['reception', 0.9322235349796244]
['adresser', 0.9322235349796244]
['vibrating', 0.9322235349796244]
['purity', 0.9322235349796244]
['brazen', 0.9322235349796244]
['streaks', 0.9322235349796244]
['poetically', 0.9322235349796244]
['fires', 0.9322235349796244]
['inevitable', 0.9322235349796244]
['palaces', 0.9322235349796244]
['mostly', 0.9322235349796244]
['lunches', 0.9322235349796244]
['insatiably', 0.9322235349796244]
['twinkles', 0.9322235349796244]
['gnat', 0.9322235349796244]
['prided', 0.9322235349796244]
['parfaitement', 0.9322235349796244]
['dispatch', 0.9322235349796244]
['dangers', 0.9322235349796244]
['carmilla', 0.9322235349796244]
['bestial', 0.9322235349796244]
['heels', 0.9322235349796244]
['reunions', 0.9322235349796244]
['struck', 0.9322235349796244]
['winnowing', 0.9322235349796244]
['verily', 0.9322235349796244]
['bucket', 0.9322235349796244]
['flattened', 0.9322235349796244]
['robed', 0.9322235349796244]
['chunky', 0.9322235349796244]
['injury', 0.9322235349796244]
['nine', 0.9322235349796244]
['fr', 0.9322235349796244]
['fool', 0.9322235349796244]
['trailed', 0.9322235349796244]
['remercie', 0.9322235349796244]
['antiquity', 0.9322235349796244]
['1877', 0.9322235349796244]
['1874', 0.9322235349796244]
['1878', 0.9322235349796244]
['sensual', 0.9322235349796244]
['rudest', 0.9322235349796244]
['lifetimes', 0.9322235349796244]
['assistants', 0.9322235349796244]
['partly', 0.9322235349796244]
['straggling', 0.9322235349796244]
['shah', 0.9322235349796244]
['distances', 0.9322235349796244]
['incongruity', 0.9322235349796244]
['pyrotechnic', 0.9322235349796244]
['signal', 0.9322235349796244]
['donna', 0.9322235349796244]
['civilization', 0.9322235349796244]
['abroad', 0.9322235349796244]
['seeing', 0.9322235349796244]
['cialdini', 0.9322235349796244]
['himself', 0.9322235349796244]
['stragglers', 0.9322235349796244]
['saps', 0.9322235349796244]
['elliptical', 0.9322235349796244]
['skated', 0.9322235349796244]
['scornfully', 0.9322235349796244]
