['fascinated', 0.9998402104864278]
['eut', 0.9997591394576492]
['laudable', 0.9996728903287807]
['canace', 0.9996589240803749]
['sported', 0.9996275352985329]
['whimpers', 0.9996128411791085]
['offenbach', 0.9995994147287539]
['lazily', 0.9995521234299832]
['worlds', 0.9995454698865366]
['broods', 0.9995400957889727]
['packers', 0.9994554261557196]
['irregularity', 0.9994315584278122]
['moderating', 0.9994171034613474]
['alms', 0.9993475007516951]
['righteous', 0.999337912010963]
['churchly', 0.9993222956344123]
['eyeless', 0.9993192991069325]
['refusing', 0.9993090039180476]
['topics', 0.9992755528425883]
['phalanxes', 0.9992702398929468]
['subtly', 0.9992390936959507]
['blackmail', 0.9992356054066662]
['perseus', 0.9992286974565042]
['boars', 0.9992204060539133]
['generations', 0.9992105091254511]
['coiffe', 0.9991467283950972]
['sultan', 0.9991141294340096]
['amuse', 0.9991111395814295]
['intellectually', 0.9991106536954871]
['tapestry', 0.9991090792084466]
['hangchow', 0.9990982443395644]
['sociable', 0.9990954790051257]
['facilities', 0.9990949745648425]
['unanswered', 0.9990905938579343]
['consolation', 0.9990225932163282]
['hailed', 0.9990180727791735]
['trouble', 0.9989672177276895]
['practiced', 0.9989486278216431]
['unconsciously', 0.9989392216851846]
['bowels', 0.9989192718775177]
['practice', 0.9989120457807933]
['correspondent', 0.9988580241267551]
['displeased', 0.9988549458560562]
['thraldom', 0.9988436490816944]
['customers', 0.9988222294658572]
['scoffer', 0.998807010860067]
['hazelike', 0.9987989954167291]
['wing', 0.9987974435677451]
['cavemen', 0.9987947944819823]
['valor', 0.9987267232148516]
['carts', 0.9987127127919581]
['cadaverous', 0.9987079590469128]
['accident', 0.9987064971674698]
['nominations', 0.9987008265419262]
['_and', 0.9986871045129637]
['milliards', 0.9986660480744826]
['invasion', 0.9986575326818302]
['trenches', 0.9986504900753863]
['springin', 0.9986295297338754]
['whither', 0.9986278569206931]
['seizure', 0.9986263588921829]
['_really_', 0.998612613355124]
['intimidated', 0.9986107864617163]
['whirl', 0.9985915145547108]
['denies', 0.9985872450717641]
['patten', 0.9985451953892611]
['hope', 0.9985264095625184]
['enthusiastic', 0.998485590450693]
['persistent', 0.9984764764973922]
['rheumatic', 0.9984591499323304]
['rockiness', 0.9984308301664955]
['cooerdinating', 0.9983828421014065]
['dispose', 0.9983777009834933]
['curtly', 0.998367865280277]
['torn', 0.9983541259451163]
['flush', 0.9983457791922246]
['lightness', 0.9983107008223991]
['arrogance', 0.9982977506806255]
['catholic', 0.9982924917388255]
['unutterable', 0.9982853778431046]
['squashing', 0.998263585934616]
['tinned', 0.9982515769549496]
['piety', 0.9982275420988305]
['waddled', 0.9981949374823559]
['ransomed', 0.9981949374823559]
['anderson', 0.9981949374823559]
['dye', 0.9981897923475405]
['arriving', 0.9981832436653219]
['track', 0.9981782959321186]
['eternally', 0.9981780749210634]
['benefits', 0.9981330499853732]
['rooting', 0.9981327099920192]
['repayed', 0.9981045862033555]
['plume_', 0.9980805151982741]
['jason', 0.9980803322028815]
['reproaches', 0.9980568895241906]
['liquor', 0.9980536637319687]
['grunt', 0.9980453741321479]
['freezing', 0.9980434371983308]
['morality', 0.9980328794284427]
['voltaire', 0.998030814674043]
['rubbish', 0.9980168173976712]
['handed', 0.9979818066580161]
['freycinet', 0.9979614701989128]
['resisted', 0.9979370050408348]
['execrating', 0.9979185760384476]
['fruits', 0.9979180857153737]
['shrinking', 0.9979160353893778]
['indulgent', 0.9979148138290833]
['span', 0.9979011964303866]
['tremendously', 0.9978998201402056]
['shelf', 0.9978838290970097]
['sunward', 0.9978547531642505]
['sovereigns', 0.9978540979644854]
['gracefully', 0.9978202002134999]
['agitations', 0.9978069036975626]
['profile', 0.9978017066103182]
['sprang', 0.9977536816127404]
['booming', 0.997750891680367]
['victim', 0.9977501231417857]
['repaid', 0.9977424544661172]
['example', 0.997738777553245]
['scarf', 0.9977274332048568]
['few', 0.9976972208289782]
['approaches', 0.9976955197513693]
['lay', 0.9976757201480699]
['possessions', 0.9976578873927057]
['fences', 0.9976510227973571]
['bright', 0.9976403002005463]
['correctly', 0.9976270069923151]
['unceasing', 0.9976260767711775]
['wrest', 0.9976222591073031]
['despise', 0.9976070297869802]
['goals', 0.9975992395994034]
['_orlando', 0.9975964473224027]
['discovers', 0.9975936701719476]
['signatures', 0.9975913112803836]
['shrewdness', 0.9975908826012742]
['tyrant', 0.9975878392127995]
['blossom', 0.9975846735749788]
['ringing', 0.9975715598883508]
['pottery', 0.997569111715493]
['clanking', 0.9975647669271349]
['fang', 0.997556482447988]
['lonesomeness', 0.9975501289282152]
['nobility', 0.9975464599601671]
['hours', 0.9975411414821267]
['savant', 0.9975320544285087]
['mousedom', 0.9975320544285087]
['gloriously', 0.9975282662637563]
['came', 0.9975220048930783]
['interpellations', 0.9975194319446629]
['ledges', 0.9974998548727422]
['holding', 0.9974994428413398]
['rite', 0.9974993580068706]
['beer', 0.9974848656221033]
['marsh', 0.9974837406679946]
['ulster', 0.9974404590508631]
['grasps', 0.9974378086075454]
['helps', 0.9974205075923726]
['affirm', 0.9974166936512131]
['township', 0.9974123364778101]
['faun_', 0.9974028662938592]
['intact', 0.9973968962077723]
['moneyed', 0.9973939046477528]
['handsomely', 0.9973886602117032]
['allumettes', 0.997353217510103]
['circuit', 0.9973506160475339]
['spirited', 0.997331717896596]
['tables', 0.9973307513553438]
['excepting', 0.9973225044013578]
['ichthiosaurus', 0.997321850522863]
['_oyama_', 0.997321850522863]
['1880', 0.9973194898216098]
['withdraw', 0.9973104570642439]
['intricate', 0.9973039037829702]
['semi', 0.9973009044531772]
['depravity', 0.9972970747580017]
['sleeps', 0.9972970747580017]
['thing', 0.9972970747580017]
['drummed', 0.9972917015755319]
['theous', 0.9972847545196377]
['lissa', 0.997262843213032]
['fantastic', 0.997255774230766]
