['dramatic', 0.9987363100813326]
['fascinated', 0.9976943741559862]
['hosts', 0.9971803840621636]
['laudable', 0.995280087566892]
['damn', 0.9952093889463677]
['canace', 0.9950785665624882]
['whimpers', 0.9944136297606189]
['emerson', 0.9942638393822477]
['bottles', 0.9941252382071796]
['dying', 0.9938285038310031]
['lazily', 0.9935375246367972]
['worlds', 0.9934415197026688]
['broods', 0.9933639760769677]
['packers', 0.9921422657765393]
['moderating', 0.9915893021146474]
['eut', 0.9911770957284673]
['righteous', 0.9904466373017359]
['churchly', 0.9902213063612997]
['refusing', 0.9900295182766077]
['phalanxes', 0.9894701865902412]
['tiaras', 0.989377111931508]
['subtly', 0.9890207736398429]
['blackmail', 0.9889704406126879]
['perseus', 0.9888707648075207]
['_status_', 0.9888083989420754]
['swathing', 0.988795977875051]
['undoubtedly', 0.9873486548468037]
['soreness', 0.9873321726018903]
['affect', 0.9872752055513762]
['sultan', 0.9872176463540256]
['amuse', 0.9871745053416769]
['intellectually', 0.9871674944236198]
['tapestry', 0.9871447759239473]
['betide', 0.9871403736057683]
['lustre', 0.9870297060411812]
['hangchow', 0.9869884380444905]
['sociable', 0.9869485366366537]
['facilities', 0.9869412579953476]
['aegis', 0.9869292289170621]
['unanswered', 0.9868780481461108]
['richer', 0.9867168846692497]
['spins', 0.9866399575900677]
['sycamores', 0.9862597434916448]
['deceiving', 0.986176716427341]
['cities', 0.9858918518332824]
['calamity', 0.9856250336331374]
['steadily', 0.9855835815295909]
['its', 0.9852993301940888]
['practiced', 0.9848295998160057]
['scrimmage', 0.9847808693853185]
['gently', 0.9847488168475103]
['earnestly', 0.9844943412454439]
['severest', 0.9844800297017092]
['versatility', 0.9844236177890358]
['quaker', 0.9840713951584125]
['correspondent', 0.9835222660878615]
['displeased', 0.9834778492777735]
['preparations', 0.9834007600140688]
['thraldom', 0.9833148464978031]
['creditor', 0.9830554033113382]
['above', 0.9830269498622426]
['customers', 0.9830057797841056]
['gestures', 0.9830025553059845]
['scoffer', 0.9827861883351091]
['hazelike', 0.9826705323518231]
['wing', 0.9826481404999207]
['cavemen', 0.9826099164609255]
['huntsman', 0.9823851479779634]
['wealth', 0.9822989889201781]
['radiances', 0.9821163937244357]
['decidedly', 0.9820397932871603]
['valor', 0.9816277063695205]
['cadaverous', 0.9813569554949866]
['weighty', 0.9810942816783246]
['tides', 0.9809955827367945]
['huts', 0.9809631578239626]
['raillery', 0.9808824426414994]
['wow', 0.9808605787170146]
['invasion', 0.9806293462298048]
['guards', 0.9806205370722599]
['trenches', 0.9805277274498025]
['affirming', 0.9804558431223129]
['springin', 0.9802252876713304]
['_really_', 0.9799811988124025]
['intimidated', 0.9799548383050027]
['affections', 0.9799339777894508]
['compatriots', 0.9797770874070287]
['whirl', 0.9796767611905426]
['ends', 0.9796713824911474]
['denies', 0.9796151562078219]
['raise', 0.9795544429187905]
['resurrected', 0.9793364179800232]
['subduing', 0.9791689527669128]
['patten', 0.9790084152988345]
['disorganized', 0.9789930842364363]
['hope', 0.9787373519063063]
['ruminated', 0.9785074850235892]
['perfidious', 0.9780377586492212]
['persistent', 0.9780168605370559]
['previous', 0.9776677784274207]
['creek', 0.977667530973521]
['rockiness', 0.9773582230717612]
['establishers', 0.977296443757145]
['strengthens', 0.977254408099281]
