['consistently', 0.9989666194329293]
['denies', 0.9979675011370358]
['ambiguously', 0.9978152626769292]
['incongruities', 0.9971798261426413]
['cathedral', 0.9971309408476557]
['jerusalem', 0.9971172968713322]
['scouted', 0.996370158803301]
['tribune', 0.9961058448455334]
['eut', 0.9957814156947057]
['lazily', 0.9957043334215839]
['petition_', 0.9951484098942475]
['refusing', 0.9950293970921238]
['impersonal', 0.9949537136739144]
['usance', 0.994889660238559]
['noised', 0.9945548616846106]
['amnii', 0.9944829036627673]
['accidents', 0.9941258047461952]
['undoubtedly', 0.994118551644399]
['butting', 0.9940063294460034]
['amuse', 0.9936060821520747]
['arrivals', 0.9935467383964062]
['hangchow', 0.993513321674285]
['facilities', 0.993489800916114]
['worlds', 0.993460777093512]
['liquor', 0.9929996240454467]
['creator', 0.9924076317765091]
['topper', 0.9922517442639016]
['pastures', 0.992250942444546]
['taxes', 0.9922047519254956]
['intestine', 0.9922047519254956]
['gesticulations', 0.9922047519254956]
['sacrificial', 0.9921629721757336]
['dodging', 0.9920790854995224]
['blockhouse', 0.991777649003187]
['thraldom', 0.9916819192073938]
['1323', 0.9915221266437533]
['wing', 0.9913495450188932]
['scrap', 0.9913078763405664]
['flaring', 0.991190904829392]
['holding', 0.9910062610998991]
['evils', 0.9909944006530333]
['valor', 0.9908408260826793]
['tres', 0.9907860840257993]
['eagen', 0.9907119005530409]
['metz', 0.990404972287806]
['claim', 0.990260331531778]
['strikingly', 0.990260331531778]
['springin', 0.9901416756652097]
['cordial', 0.9901172976100109]
['freedmen', 0.9901101113512856]
['_really_', 0.9900199895896893]
['jump', 0.9900118259173613]
['cant', 0.9900118259173613]
['negotiations', 0.9896376907250419]
['preparatory', 0.9896267402981798]
['patten', 0.989535026004637]
['bottles', 0.9893522338468919]
['beyond', 0.9891788909057396]
['perseus', 0.9889034431144106]
['unscaleable', 0.9888482018286747]
['rockiness', 0.9887123525862402]
['sported', 0.9884671002606197]
['dispose', 0.9883301737600191]
['descant', 0.9880211271423059]
['secretary', 0.9875752893524188]
['squashing', 0.9875092999394621]
['surround', 0.9874507980939506]
['represents', 0.9872904048841321]
['surpassed', 0.9870974586400038]
['buckshot', 0.9870751287548719]
['slide', 0.9870263991647307]
['emanations', 0.9870263991647307]
['stoutest', 0.9869576013346916]
['exhibitions', 0.9865088140672605]
['tensity', 0.9864828062390649]
['affidavy', 0.9864624425241232]
['claret', 0.9864010338626786]
['format', 0.986301599615493]
['inconsequent', 0.9861486729759885]
['freezing', 0.9859256846667789]
['conducive', 0.9859027600616195]
['suspected', 0.9854573056162144]
['fiords', 0.9851716403305142]
['reigning', 0.9851716403305142]
['liable', 0.985021489007413]
['asparagus', 0.9850107810697877]
['indulgent', 0.985000446868909]
['baba', 0.9849742345790775]
['steamboats', 0.9849163474443599]
['occasioned', 0.9849129769619391]
['tremendously', 0.9848925914476101]
['gunboat', 0.984859188712847]
['services', 0.9845628233525575]
['preached', 0.984421250266326]
['sixteenth', 0.9842146965297432]
['daylight', 0.9842065246017111]
['unscathed', 0.9841973686088363]
['invades', 0.9840337418481531]
['duvall', 0.9839938651733124]
['arcanum', 0.983978153547556]
['feces', 0.9838041947937277]
['example', 0.9837341496388282]
['loi', 0.9835740417702415]
['accursed', 0.9835533020299282]
['bickering', 0.9832827846072096]
['languidly', 0.9831273541986432]
['fences', 0.9831028956329235]
['lawn', 0.9829721937870081]
['grata', 0.9829549151446811]
['luncheon', 0.9828074717068613]
['amazon', 0.9827984588246381]
['immortality', 0.9827903734650775]
['ennobles', 0.9826469816758139]
['sportsman', 0.9825862042224238]
['clanking', 0.982482423693146]
['fang', 0.9824228302204572]
['lustre', 0.982413640276464]
['gosh', 0.9824043842141997]
['coiffe', 0.9823863472501929]
['detection', 0.9823781143598305]
['blackest', 0.9823781143598305]
['vindar', 0.9822749741222934]
['sockets', 0.9822749741222934]
['grandnephew', 0.9822749741222934]
['patineurs', 0.9822385919079231]
['interpellations', 0.982156311575307]
['watchword', 0.982081003252545]
['platoon', 0.9819926791118551]
['felicitations', 0.9819023593838756]
['sign', 0.9817980028032491]
['depth', 0.9816963971355719]
['prematurely', 0.981377840095473]
['greatly', 0.9813076873908171]
['transferred', 0.9811176019435477]
['stitched', 0.9809644959701824]
['relinquish', 0.9808467624825331]
['dominating', 0.9808467624825331]
['refuted', 0.9807706245091758]
['_through_', 0.9807706245091758]
['yer', 0.9807351973021083]
['class', 0.9807285319972145]
['1880', 0.9807180503112976]
['trapper', 0.9806659488993129]
['jauntily', 0.9806659488993129]
['silver', 0.9806560842747847]
['withdraw', 0.9806530741830657]
['downloading', 0.9805933979170209]
['equanimity', 0.9805933979170209]
['appalachians', 0.9805933979170209]
['solved', 0.9805933979170209]
['horrid', 0.9805933979170209]
['waterfall', 0.9805933979170209]
['distinct', 0.9805933979170209]
['rabbit', 0.9805933979170209]
['semi', 0.9805843585454721]
['tongtoia', 0.9805393929685225]
['woolwich', 0.9804011607585856]
['carnot', 0.9803567067702095]
['cited', 0.9803556341309863]
['aint', 0.9803556341309863]
['lissa', 0.9803105692782327]
['steamer', 0.9802929720197311]
['webbed', 0.9802929720197311]
['groupe', 0.9802929720197311]
['weave', 0.9802476567587686]
['scotchman', 0.9802476567587686]
['faculty', 0.9801663840429614]
['foot', 0.9801020747212285]
['systems', 0.9801020747212285]
['walnut', 0.9801020747212285]
['hazing', 0.9801020747212285]
['sterile', 0.9801020747212285]
['proves', 0.9801020747212285]
['see', 0.9801020747212285]
