['topics', 0.9962638547976362]
['lustre', 0.9935662421922129]
['seizure', 0.9929158081687048]
['_really_', 0.9928449191855524]
['title', 0.9928443651433317]
['intimidated', 0.992835497464492]
['happily', 0.9924024021971074]
['lightness', 0.9912878849020539]
['consolation', 0.9911823962746308]
['piety', 0.990859015711365]
['robbing', 0.989688800927557]
['justify', 0.9892811496435916]
['protect', 0.9892811496435916]
['sor', 0.9892811496435916]
['goals', 0.9876187112324925]
['domicile', 0.9863510004559758]
['circuit', 0.98633650081727]
['catalogues', 0.9863088618862937]
['formulate', 0.9861145580733862]
['theous', 0.9859968373525817]
['fantastic', 0.9858473791538388]
['published', 0.9858473791538388]
['faculty', 0.9857804632279026]
['candlestick', 0.985706078592215]
['habitually', 0.985706078592215]
['makers', 0.985706078592215]
['intensest', 0.985706078592215]
['prosecuted', 0.985706078592215]
['lui', 0.985706078592215]
['princeton', 0.985706078592215]
['support', 0.985706078592215]
['begotten', 0.985706078592215]
['plenipotentiaries', 0.985706078592215]
['faggots', 0.985706078592215]
['hog', 0.985706078592215]
['delegating', 0.985706078592215]
['mistake', 0.985706078592215]
['sacrifice', 0.985706078592215]
['imbecility', 0.985706078592215]
['rackett', 0.985706078592215]
['dear', 0.9856329296749589]
['huntsman', 0.9852709417666378]
['loosed', 0.9851317718803572]
['traversing', 0.984552168608818]
['through', 0.9845359065249507]
['carts', 0.9834125097979663]
['tiny', 0.9833774914711736]
['badly', 0.9829292159637357]
['gutindex', 0.9826387429745442]
['acclaimed', 0.9826387429745442]
['spume', 0.9811317855656999]
['feverish', 0.981033679119173]
['revealment', 0.981033679119173]
['coachmen', 0.9809615995825065]
['grayish', 0.9807291412335972]
['refusing', 0.9804155271844328]
['shoved', 0.980288304752456]
['situations', 0.9801877152103886]
['carboniferous', 0.9801531822452144]
['marcia', 0.9799494072258]
['weigh', 0.9799494072258]
['dominates', 0.9799494072258]
['direction', 0.9796223972463647]
['manufactories', 0.9795141368012942]
['watering', 0.9795141368012942]
['exist', 0.9791454743991427]
['button', 0.978925681733959]
['_must_', 0.978925681733959]
['steamer', 0.9788273038165206]
['webbed', 0.9788273038165206]
['groupe', 0.9788273038165206]
['ladder', 0.9787179663542023]
['_great', 0.9787179663542023]
['flippered', 0.9787179663542023]
['wicked', 0.9787179663542023]
['meant', 0.9787179663542023]
['ecumenical', 0.9787179663542023]
['orchestra', 0.9787179663542023]
['employers', 0.9787179663542023]
['butcher', 0.9787179663542023]
['regularity', 0.9787179663542023]
['comite', 0.9787179663542023]
['usurers', 0.9787179663542023]
['warier', 0.9787179663542023]
['que', 0.978610466663974]
['restore', 0.978610466663974]
['freedmen', 0.9783661798321768]
['ont', 0.9783382058495718]
['bulderent', 0.9770247183340762]
['_do_', 0.9769377768530099]
['sages', 0.9769377768530099]
['courts', 0.9751328934549846]
['inconsequently', 0.9750740426283463]
['void', 0.9750267220111349]
['reducible', 0.9750267220111349]
['descend', 0.9750267220111349]
['slouched', 0.9750267220111349]
['seemingly', 0.9750267220111349]
['apothecary', 0.9744679387200184]
['restricted', 0.9742296530592721]
['bondage', 0.9724599934213273]
['_finality_', 0.9724281115302437]
['er', 0.9724281115302437]
['ferret', 0.9724281115302437]
['shedding', 0.9724281115302437]
['herenberg', 0.9724281115302437]
['injunctions', 0.9724281115302437]
['manfully', 0.9724281115302437]
['warned', 0.9724281115302437]
['undersecretary', 0.972102729327527]
['maigs', 0.9719623435080983]
['cited', 0.9718322888328544]
['aint', 0.9718322888328544]
['involve', 0.9716877592500112]
['notion', 0.9716877592500112]
['heartfelt', 0.9716642115960495]
['whither', 0.9713324373975922]
