['denies', 0.9973708990872998]
['ambiguously', 0.9971739738728717]
['incongruities', 0.9963520168215292]
['cathedral', 0.9962887821619649]
['tribune', 0.9949627883895233]
['undoubtedly', 0.9949281082771323]
['refusing', 0.9935703695190715]
['usance', 0.9933896155241052]
['amnii', 0.9928634631585875]
['accidents', 0.9924015445299519]
['amuse', 0.9917292670829867]
['hangchow', 0.9916092785008216]
['facilities', 0.9915788536637398]
['worlds', 0.9915413104405265]
['creator', 0.9901790340011193]
['sported', 0.9900545554101277]
['pastures', 0.9899763514445968]
['taxes', 0.9899166025620728]
['intestine', 0.9899166025620728]
['gesticulations', 0.9899166025620728]
['dodging', 0.9897540491057131]
['blockhouse', 0.9893641315603322]
['wing', 0.9888103656535725]
['scrap', 0.9887564659135941]
['fascinated', 0.9887191881332676]
['flaring', 0.9886051596017471]
['holding', 0.9883663171568238]
['evils', 0.9883509752974762]
['valor', 0.988152321782612]
['tres', 0.9880815112181739]
['eagen', 0.9879855525736254]
['claim', 0.987401433906903]
['strikingly', 0.987401433906903]
['cordial', 0.9872164150509926]
['_really_', 0.9870905440801879]
['jump', 0.9870799841144434]
['cant', 0.9870799841144434]
['patten', 0.9864632284996873]
['happily', 0.9863650649235831]
['perseus', 0.9856462562575881]
['dispose', 0.9849047143997709]
['coiffe', 0.9848107924800297]
['descant', 0.9845049529241303]
['squashing', 0.9838428884129704]
['arrivals', 0.9838110950650127]
['surpassed', 0.9833101587981974]
['buckshot', 0.9832812743926754]
['slide', 0.9832182411422022]
['emanations', 0.9832182411422022]
['stoutest', 0.9831292489951248]
['exhibitions', 0.982548728614075]
['tensity', 0.9825150866740512]
['affidavy', 0.982488745571227]
['claret', 0.9824093115450666]
['inconsequent', 0.9820828748372207]
['trouble', 0.981615297911081]
['whom', 0.98101234223253]
['bulky', 0.9809500118795805]
['fiords', 0.9808190525213705]
['reigning', 0.9808190525213705]
['bowels', 0.9807618071072202]
['indulgent', 0.9805976084190607]
['baba', 0.9805637020015097]
['steamboats', 0.9804888231804224]
['lustre', 0.9798513718432453]
['sixteenth', 0.9795812157550854]
['daylight', 0.9795706451103292]
['unscathed', 0.97955880154689]
['arcanum', 0.9792752400019407]
['feces', 0.9790502189075647]
['example', 0.9789596133067291]
['accursed', 0.9787256812626417]
['fences', 0.9781430664867967]
['grata', 0.9779516490922834]
['clair', 0.9778937441389329]
['amazon', 0.9777492679439748]
['immortality', 0.9777388092782466]
['ennobles', 0.9775533275095254]
['sportsman', 0.9774747099707455]
['clanking', 0.9773404666069647]
['fang', 0.9772633805842899]
['detection', 0.9772055392186053]
['blackest', 0.9772055392186053]
['vindar', 0.9770721240922375]
['sockets', 0.9770721240922375]
['grandnephew', 0.9770721240922375]
['scoffed', 0.9770624588286079]
['patineurs', 0.9770250625588955]
['interpellations', 0.9769186303726247]
['watchword', 0.9768212166993797]
['platoon', 0.9767069666581459]
['felicitations', 0.9765901352622752]
['depth', 0.9763237166458302]
['barrel', 0.9762164451060253]
['meerschaums', 0.9761461858609173]
['straggle', 0.9759606806831905]
['scalp', 0.9758387077666524]
['greatly', 0.9758209084212688]
['deprecatory', 0.9757251431185608]
['transferred', 0.9755750269440323]
['stitched', 0.975376979574044]
['track', 0.9753104330910259]
['refuted', 0.9751262007695061]
['_through_', 0.9751262007695061]
['class', 0.975071752787452]
['trapper', 0.9749907995909652]
['jauntily', 0.9749907995909652]
['withdraw', 0.974974145742418]
['downloading', 0.974896952623945]
['equanimity', 0.974896952623945]
['appalachians', 0.974896952623945]
['solved', 0.974896952623945]
['horrid', 0.974896952623945]
['waterfall', 0.974896952623945]
['distinct', 0.974896952623945]
['rabbit', 0.974896952623945]
['semi', 0.974885259913842]
['tongtoia', 0.9748270955322759]
['bnf', 0.974679881303272]
['bill', 0.9746642645370945]
['cited', 0.9745893977228027]
['aint', 0.9745893977228027]
['lissa', 0.9745311049248759]
['steamer', 0.9745083423200694]
['webbed', 0.9745083423200694]
['groupe', 0.9745083423200694]
['weave', 0.9744497256112846]
['scotchman', 0.9744497256112846]
['faculty', 0.9743445968089025]
['foot', 0.9742614106878453]
['systems', 0.9742614106878453]
['walnut', 0.9742614106878453]
['hazing', 0.9742614106878453]
['sterile', 0.9742614106878453]
['proves', 0.9742614106878453]
['see', 0.9742614106878453]
['absurd', 0.9742614106878453]
['minnows', 0.9742614106878453]
['frances', 0.9742614106878453]
['busily', 0.9742614106878453]
['wrangling', 0.9742614106878453]
['recites', 0.9742614106878453]
['footman', 0.9740827494583827]
['makes', 0.9739575361296738]
['winning', 0.9739575361296738]
['pekin', 0.9738863357047606]
['henceforward', 0.9736940817950199]
['curtain', 0.9736940817950199]
['dimmed', 0.9734815145278557]
['bother', 0.973095420143768]
['creeps', 0.9730925487135333]
['_barranca_', 0.9713975514253702]
['together', 0.9707638763253296]
['dupes', 0.9704239907565434]
['eut', 0.9701086369155124]
['advocacy', 0.9700238420961674]
['mixes', 0.9699861895463207]
['bergs', 0.9699861895463207]
['consumed', 0.9699861895463207]
['quivering', 0.9699280159297575]
['oatmeal', 0.9696304119864219]
['flashes', 0.9696196662602372]
['abiding', 0.9694812638761671]
['vegetable', 0.9694812638761671]
['ridgepole', 0.968983597746584]
['gunboat', 0.968690110280824]
['rugby', 0.9686658059835348]
['dismissed', 0.9683176909383949]
['baying', 0.9683176909383949]
['chymera', 0.9682112381039245]
['trace', 0.9680909786602789]
['bites', 0.9679597447643171]
['kinks', 0.9679593135729854]
['investigate', 0.9678597161140501]
['raillery', 0.9675076818024558]
['purchases', 0.9673066579615712]
['china', 0.9672901475888835]
['baptize', 0.9671063770742435]
['s_', 0.966994060040325]
['gravitating', 0.9666578898138881]
['windfall', 0.9666578898138881]
['dye', 0.9663124969792112]
['hundreds', 0.966291383813487]
['moulded', 0.9662829687571955]
['projecting', 0.9662702137698392]
['rounding', 0.9662572962816769]
['feverish', 0.965962326440851]
['revealment', 0.965962326440851]
['chase', 0.965919936561863]
['jason', 0.9658277242881422]
['vows', 0.9656830299915947]
['xix', 0.9650952420613633]
['intermittent', 0.9650733679198872]
['shallow', 0.9650733679198872]
['match', 0.9650733679198872]
['_political', 0.9650733679198872]
['voltaire', 0.9649462558118874]
['energetic', 0.9644064480870781]
['organization', 0.9642396442232061]
['privately', 0.9637563679191232]
['cambridge', 0.9637314666822793]
['severest', 0.9636138527048957]
['occurs', 0.9634952981792281]
['daughters', 0.9634952981792281]
['xxvi', 0.9634952981792281]
['lurid', 0.9634952981792281]
['politics', 0.9634952981792281]
['qualities', 0.9634952981792281]
['chatty', 0.9634771914977062]
['irrelevant', 0.9634771914977062]
['recommendations', 0.9634713846278717]
['microscopes', 0.9633220751908649]
['profusely', 0.9632125708415412]
['sert', 0.9629717744166028]
['pottsdam', 0.9625297972567005]
['espionage', 0.9618182169772774]
['missing', 0.9617376226266624]
['suggestive', 0.9616798750762022]
['resisted', 0.9616081896326512]
['des', 0.9615686434808676]
['practice', 0.9612663486917714]
['scrubbing', 0.9610221720761315]
['loosening', 0.9608870324164419]
['fauna', 0.9607955042987865]
['finger', 0.9606336689228339]
['helping', 0.9605722744845493]
['camps', 0.9604385756607065]
['anear', 0.9597446326300069]
['youthful', 0.9597224895678932]
['record', 0.9596928782760538]
['scouted', 0.9596803963683351]
['spends', 0.9596014509378801]
['dreariest', 0.9592931333651817]
['pulsated', 0.9592931333651817]
['diversion', 0.9592931333651817]
['lifting', 0.9592931333651817]
['deny', 0.9592931333651817]
['hope', 0.9588652863278238]
['pathetic', 0.9588330198280589]
['succeeding', 0.9586276301094683]
['gapped', 0.9585127477479349]
['compassionate', 0.9582988104894239]
['exquisitely', 0.9582676025882998]
['fairy', 0.9580257746707289]
['breaker', 0.9580146122746572]
['milon', 0.9579455799470292]
['affirm', 0.9579346613791108]
['kindly', 0.9576661960944934]
['won', 0.9575778292510541]
['way', 0.9573020916570489]
['angry', 0.9572962902375345]
['wrappings', 0.9572604746225366]
['spotless', 0.9572013576990116]
['france', 0.9568497855768013]
['purses', 0.9564018475914942]
