['veenah', 0.9955738567660566]
['topics', 0.9947434948593779]
['germain', 0.9943875298004136]
['ambiguously', 0.9933888443994427]
['superintend', 0.9933721948227896]
['temporarily', 0.9924132172299371]
['huntsman', 0.9919552794646842]
['arter', 0.9915325598291299]
['wilder', 0.9913868161668493]
['aegis', 0.9906926602865544]
['_ad', 0.9899397878235567]
['prescience', 0.9898222592279946]
['clair', 0.9892845280377949]
['hampered', 0.9889888690216969]
['muscle', 0.9883700530679782]
['fastening', 0.9863012607744582]
['mare', 0.9862621811679199]
['volition', 0.9855229574089922]
['impersonal', 0.9847296131418561]
['blackmail', 0.9844988427399527]
['shoes', 0.9836025694907629]
['newsletter', 0.9834422951414147]
['rug', 0.9834273307406606]
['packers', 0.9832141651020458]
['boulevard', 0.9825570213090652]
['des', 0.981371331000672]
['title', 0.981223866285154]
['pneumonia', 0.9811082087699404]
['freight', 0.9805701738980346]
['_short', 0.9802428029966601]
['track', 0.98017288762981]
['undoubtedly', 0.9797774130551384]
['complex', 0.9795867389849229]
['consolation', 0.9794516577796798]
['italy', 0.9793312939641797]
['dramatic', 0.9790297173281223]
['daystar', 0.978937626359994]
['desires', 0.9787335670876433]
['sovereigns', 0.9782416272908928]
['locating', 0.9781549106336405]
['bowels', 0.9780839153912781]
['robbing', 0.9772276708703573]
['caesars', 0.9767038233977609]
['topper', 0.9765532799923715]
['taxes', 0.9764110781551277]
['intestine', 0.9764110781551277]
['gesticulations', 0.9764110781551277]
['deposits', 0.9761355598807678]
['dodging', 0.9760308034707976]
['distinctly', 0.9759919332866038]
['constructed', 0.975883859089311]
['rebellious', 0.9755460997301221]
['establish', 0.9753240592800632]
['blockhouse', 0.9751186372529572]
['rabats', 0.9750598517895401]
['than', 0.9743682135978254]
['blest', 0.9737852962217745]
['ringing', 0.973569277344842]
['predicate', 0.972616472443028]
['question', 0.9726011425865059]
['seam', 0.9725723578724579]
['feebly', 0.9725723578724579]
['osiris', 0.9725651208636638]
['ceremony', 0.9725284988876107]
['pagan', 0.9724020095391726]
['recovering', 0.9723019767189209]
['hundreds', 0.9721260454754063]
['eagen', 0.971893613923807]
['justify', 0.9718741143738213]
['protect', 0.9718741143738213]
['sor', 0.9718741143738213]
['vieillard', 0.9715178237456367]
['raise', 0.9712654164635365]
['negligence', 0.9708445566977147]
['claim', 0.9705271370332286]
['strikingly', 0.9705271370332286]
['syndicates', 0.9702218541202366]
['seizure', 0.9700990549659607]
['muddy', 0.9700921623256625]
['freedmen', 0.9700725611091154]
['needleworkers', 0.969873374057905]
['_really_', 0.9697998468644247]
['jump', 0.9697751430671018]
['cant', 0.9697751430671018]
['funk', 0.9697452418282972]
['coachmen', 0.9696729606652161]
['decision', 0.9696444750453537]
['si', 0.9695437507360417]
['comedians', 0.9694065441776342]
['purchases', 0.9691593074869365]
['reckless', 0.9687020874770556]
['whitish', 0.968460495410631]
['obdurate', 0.9673980993133635]
['creek', 0.9663094718722214]
['sported', 0.9660105489661451]
['telephone', 0.9659758970309464]
['up', 0.9658510464178789]
['wolverine', 0.9654583492452093]
['engineering', 0.9654405010758457]
['capacity', 0.965348107769364]
['refusest', 0.964847965334038]
['pony', 0.9646300051461187]
['exercised', 0.9640946463963488]
