['aegis', 0.9989509988927693]
['prescience', 0.9988528987156752]
['receding', 0.9987088237173969]
['muscle', 0.9986892251078897]
['underwent', 0.9984974934182473]
['lustre', 0.9984778302932151]
['affect', 0.9984681481244079]
['packers', 0.9981081211242018]
['alms', 0.9977331824557725]
['desires', 0.9976031269558494]
['ballads', 0.9975894914409189]
['accustomed', 0.9975576988787576]
['caesars', 0.997374360902]
['deposits', 0.9973103137008794]
['constructed', 0.9972819452930359]
['strengthens', 0.997261812145159]
['imposing', 0.997259144342536]
['steering', 0.9969145612206544]
['news', 0.9968920653104542]
['recovering', 0.9968782425500189]
['wayfarers', 0.9968455900077234]
['hoots', 0.9968240503965234]
['humbert', 0.9967974453475938]
['funk', 0.9965900809685431]
['scatters', 0.9965817977887768]
['uses', 0.9965710713088085]
['chanty', 0.9964003847259133]
['precise', 0.9963601219902642]
['molten', 0.9963140648477284]
['presumption', 0.9962566169032361]
['sacrificial', 0.9962150996170162]
['monetary', 0.9962111727790179]
['engineering', 0.996104907121376]
['elapsed', 0.9960707369866496]
['banquets', 0.9960590374255376]
['maintenon', 0.9960402893241509]
['sacrifices', 0.9960203850084502]
['uncertainty', 0.9960081162305202]
['exercised', 0.9959532200558524]
['spiritualists', 0.9958358748807884]
['1698', 0.995796120555037]
['bayan', 0.9957655236356417]
['dispelled', 0.9956750835380053]
['coast', 0.995664126959416]
['unlocked', 0.9956391261883152]
['magnanimity', 0.9956009650363147]
['monopolise', 0.9955709839070713]
['allumettes', 0.9954024675128442]
['metz', 0.9953660718225122]
['anything', 0.9953049994651717]
['illustrated', 0.9951921251070155]
['direction', 0.9951788409611975]
['_areopagitica_', 0.9951607570330436]
['opposition', 0.9951512955254782]
['creation', 0.9949589853156144]
['remarking', 0.9949221558933246]
['manifold', 0.9948910663010498]
['chased', 0.994877677261033]
['immersed', 0.994871757338013]
['wailing', 0.9947241451658607]
['taller', 0.9946911609038444]
['sundays', 0.9946488449548356]
['increases', 0.9946452280018963]
['previous', 0.9946231500021134]
['confined', 0.9945353714130403]
['begins', 0.9944583014753468]
['lindsay', 0.9944575789114953]
['thrush', 0.9944129675368537]
['talked', 0.9943513913110688]
['nods', 0.9943100141163793]
['paved', 0.9942481803931441]
['hutch', 0.9942326444329207]
['tried', 0.9942313865054635]
['amaze', 0.9942197376294494]
['shy', 0.994182978787758]
['organizations', 0.9941346409774863]
['reconciles', 0.9941277410389422]
['smith', 0.9940972030075964]
['catholic', 0.9940680243028647]
['bloodstain', 0.9939869490733336]
['responsible', 0.9939623090992679]
['angle', 0.9938809769591868]
['carvalho', 0.9938775005978805]
['summon', 0.9937583742937993]
['buckshot', 0.9937579205761872]
['correspond', 0.9937571740001079]
['righteousness', 0.9936997481321324]
['stumble', 0.9936077348378474]
['conductor', 0.9935839955372932]
['filenames', 0.993569944496059]
['decide', 0.9934202688361979]
['european', 0.9932795254601343]
['hungry', 0.993229265636073]
['correspondents', 0.9932240456502307]
['doan', 0.9932102758898056]
['capacities', 0.9931962135697716]
['awash', 0.9931936307360346]
['acute', 0.9931474609421219]
['soreness', 0.9931375270091638]
['individualities', 0.9931058225462792]
['owned', 0.9930783033919063]
['upward', 0.9930392877976407]
['intelligence', 0.9929819105212289]
['foremast', 0.9929554368266785]
['telescopes', 0.992931478745077]
['freycinet', 0.9929180376382966]
['hospital', 0.9928751212993693]
['amoundt', 0.9928369161320586]
['retaining', 0.9928231650051303]
['silas', 0.9928124491495939]
['british', 0.9927970297254651]
['appetites', 0.9927943199982056]
['attractive', 0.9927589543078367]
['desperation', 0.9927535442647116]
['span', 0.9927086433189819]
['tremendously', 0.9927038620127413]
['virtue', 0.9926288852299522]
['yellowish', 0.9925189260944127]
['bridle', 0.9924819831027485]
['astonished', 0.992477946647317]
['prelate', 0.9924733864050956]
['jet', 0.9924533271144312]
['disavowed', 0.992428997956719]
['uncontrollable', 0.9923843448735489]
['agitations', 0.9923810652848102]
['displaced', 0.9923591196206492]
['triumphed', 0.992317347111197]
['noting', 0.9923052935679544]
['thunderous', 0.9922672136161531]
['perishable', 0.9922449006896557]
['ruminated', 0.9922379847837853]
['sa', 0.9922288200969103]
['tapping', 0.9922224345434314]
['crack', 0.9922048485412769]
['slabs', 0.9921741114930203]
['tickled', 0.9921694738761384]
['symbolical', 0.9921624691577247]
['traveling', 0.9921565889602478]
['sorrow', 0.9921527134968782]
['hoarding', 0.9920789335114075]
['imprisoned', 0.9920211567892749]
['perplexity', 0.9920073048264315]
['_with', 0.9919864466822836]
['scattering', 0.9919765791295467]
['burnings', 0.9919736236159408]
['arouse', 0.9919658912377483]
['statesmanship', 0.9919606356959424]
['thirdly', 0.991880466728523]
['opprest', 0.9918783440083011]
['dip', 0.9918285604892563]
['constraint', 0.9918082908818726]
['450', 0.9917266060597392]
['_slowly_', 0.9917056382765755]
['collegiate', 0.9916929856190702]
['craven', 0.9916850983381664]
['veins', 0.9916663274577312]
['calculate', 0.9916516039452281]
['suspenders', 0.9915554290283988]
['continents', 0.9915504245023034]
['xxix', 0.9915412394760404]
['ecoutez', 0.99152559585258]
['directly', 0.9915165857185132]
['fang', 0.991511088371491]
['detection', 0.9914894928021238]
['blackest', 0.9914894928021238]
['nobility', 0.9914762697088056]
['owning', 0.991457778639391]
['dios', 0.9914523845447439]
['constitutions', 0.9913276398672153]
['digestion', 0.9913162805990665]
['sleep', 0.9912949407787413]
['parlance', 0.9912868347046868]
['unfounded', 0.9912462927991655]
['wipe', 0.9912151500196376]
['throes', 0.9910544444155198]
['mxmiv', 0.9910141555673722]
['rejoicing', 0.9910006159156932]
['devotions', 0.9909962987065918]
['ridiculing', 0.9909885205229982]
['gaff', 0.9909593727371682]
['arises', 0.9909022618106929]
['credibility', 0.9908891775953789]
['flights', 0.9908664758727556]
['dentist', 0.990863007148008]
['dismay', 0.9908616356626987]
['administrations', 0.9908367714015563]
['heroism_', 0.9908307376947452]
['paddles', 0.9908307376947452]
['_oime', 0.9908267051760256]
['particularity', 0.9908222637619164]
['shocks', 0.9908155406838849]
['_think_', 0.9908037347837296]
['financial', 0.9907831237155257]
['1633', 0.9907684964539818]
['legally', 0.9907684964539818]
['musical', 0.9907636828923151]
['translucent', 0.9907598991393016]
['wearies', 0.9907378920361757]
['dried', 0.9907325906701014]
['matska', 0.9907271014767923]
['class', 0.9906928253593088]
['contradictory', 0.9906735852489384]
['chambers', 0.9906645239214625]
['chortasoo', 0.9906636633808794]
['ascetics', 0.9906490725123103]
['tiers', 0.9906468790392743]
['martin', 0.9906367803785427]
['intricate', 0.9906336164806845]
['va', 0.9906197204782105]
['perfect', 0.9906045839270884]
['confess', 0.9905682899418619]
['talking', 0.9905246498562528]
['fellowship', 0.9905051132644495]
['lissa', 0.9904909698484416]
['artfully', 0.9904761544692544]
['state', 0.9904761544692544]
['weave', 0.9904605861845893]
['scotchman', 0.9904605861845893]
['cordial', 0.9904542781014596]
['judging', 0.9904419528079804]
['edged', 0.9904110953235127]
['bedsteads', 0.9904110953235127]
['amie', 0.9904110953235127]
['receiving', 0.9904110953235127]
['darted', 0.9904110953235127]
['lupus', 0.9904110953235127]
['game', 0.9904110953235127]
['renewal', 0.9904110953235127]
['surging', 0.9903965755036059]
['reins', 0.9903343271676257]
['hitchin', 0.9902061919618907]
['esteem', 0.9901939651597423]
['education', 0.9900994259274281]
['jealous', 0.9900480484750223]
['subduing', 0.989969164876214]
['haul', 0.9899478132492304]
['maternally', 0.9899345656368257]
['weaken', 0.9898844039864055]
['halting', 0.9898569588576497]
['soles', 0.9897908327497219]
['highroad', 0.9897055724512294]
['wilder', 0.9896996529626882]
['animating', 0.9896866569676422]
['_suttee_', 0.9896441935547649]
['thoughtfulness', 0.9896441935547649]
['income', 0.9896441935547649]
['detect', 0.9896378979610949]
['familiars', 0.989629502723087]
['immeasurably', 0.9896084327024022]
['mondaine', 0.9895616890247786]
['were', 0.9895052259809263]
['interposition', 0.9895050032780446]
['indelibly', 0.9894834662867794]
['beads', 0.9894642605464142]
['censure', 0.9894331640683367]
['trisagion', 0.9894157030015004]
['seduced', 0.9893521088960358]
['uncertainly', 0.9893465240304772]
['enervating', 0.9892792961723907]
['unscaleable', 0.9892284559616046]
['constantly', 0.9892159361309407]
['dakota_', 0.9892094311367872]
['peremptorily', 0.9892070455512745]
['dictionary', 0.9892059930915746]
['admonitions', 0.9891777864913515]
['cloister', 0.9891184373077467]
['else', 0.9890780662475613]
['alighted', 0.9890777773974793]
['tipper', 0.989063470568124]
['veenah', 0.9890251517066537]
['tien', 0.9889673524685976]
['irritate', 0.9889650117128909]
['princesses', 0.9889520015394883]
['sparkled', 0.9888679175147082]
['referring', 0.9888668535193481]
['blackstone', 0.9888475998309119]
['re', 0.9887910405201017]
['reluctance', 0.9887876362052985]
['imagination', 0.9887391614211851]
['aigrette', 0.9887391614211851]
['dams', 0.9887391614211851]
['worldscape', 0.9887226281531262]
['hasty', 0.9886726381659741]
['graspin', 0.9886530479197336]
['amorosa', 0.9886109194570699]
['utrecht', 0.9885026169074821]
['sordid', 0.9884594962994081]
['moat', 0.9884128794753337]
['ballroom', 0.988400943588051]
['interlocking', 0.9883772003479532]
['succeeds', 0.9883302116166193]
['speck', 0.9882904756592827]
['reflected', 0.9882615341020156]
['coxswain', 0.9882063003142847]
['statistics', 0.9881982950509713]
['reproduce', 0.9881256831976691]
['anciently', 0.988091023321647]
['spunk', 0.988074441551402]
['for', 0.9880279557158081]
['convenience', 0.9880155613970775]
['scalps', 0.9879948552438187]
['tearing', 0.9879181762880344]
['genus', 0.9878686002672661]
['sphinx', 0.9878395731132628]
['mme', 0.9878301305631328]
['geometric', 0.9878181098950654]
['hunchback', 0.9877726572302552]
['article', 0.9877509085966435]
['courteous', 0.9876597719191033]
['greeks', 0.9876557796547281]
['along', 0.9876401589413708]
['alleghanies', 0.9876127995715752]
['nervousness', 0.987607451357449]
['epicurean', 0.9875864023681312]
['fulfilment', 0.9875528602505594]
['winters', 0.9875523033148689]
['irrational', 0.9875290868725035]
['top', 0.9875113364645149]
['computer', 0.9874016983003592]
['deride', 0.987365600963849]
['illuminates', 0.9873249898848516]
['remorselessly', 0.9872839745465722]
['prophetically', 0.9872669336406016]
['respectfully', 0.9871865180949998]
['hidden', 0.9871834914326957]
['minister', 0.9871779176218565]
['disclose', 0.9871371590658161]
['demonstrates', 0.9871325059603748]
['scrubs', 0.9871158294535831]
['curving', 0.9870467797330836]
['concini', 0.9870055248350482]
['quilting', 0.9869554269838587]
['explain', 0.9869502056284752]
['illuminated', 0.9869291913371567]
['mane', 0.9869188285127005]
['aurore', 0.9868857285065045]
['rhapsodies', 0.9868766565198804]
['wrap', 0.9868332475796098]
['xxiii', 0.9868287938436326]
['new', 0.9867785021126998]
['surreptitiously', 0.9867594679613519]
['improvisation', 0.9867188636637635]
['musquitoes', 0.986716919289166]
['stole', 0.986690286939264]
['streamed', 0.9866850971742608]
['gill', 0.9866835234551379]
['groupes', 0.986676832366203]
['seriousness', 0.9866597951584748]
['variety', 0.986607207179192]
['convenient', 0.9866027610137742]
['droite', 0.9866027610137742]
['raking', 0.9864966363141552]
['bamboo', 0.9864785377749299]
['complained', 0.986459765331609]
['lorenzo', 0.9864483109830979]
['craft', 0.9864436426242503]
['tumults', 0.9864277949584711]
['grunt', 0.9864190488459297]
['seigneurs', 0.9863722424871798]
['attritions', 0.9863635043751922]
['howlin', 0.986339363496881]
['annual', 0.986339363496881]
['chivalry', 0.9863313713422034]
['displease', 0.9861782459527768]
['skinned', 0.9861716358993726]
['cages', 0.986127709577963]
['apprentice', 0.9861205277895672]
['germain', 0.9860835933823792]
['exiles', 0.9860131121117285]
['ditty', 0.9858735275540053]
['papers', 0.9858228116294969]
['bodied', 0.9857588844624017]
['wittgenstein', 0.9857472677492835]
['starry', 0.9857195292447125]
['undo', 0.9856534345017576]
['blooms', 0.9856464875841653]
['kiang', 0.9856426845807862]
['allusions', 0.9856416898660382]
['ritho', 0.985617409124664]
['eras', 0.9855462763494196]
['management', 0.9855462252972153]
['brass', 0.9855410711712643]
['events', 0.9854844550834443]
['interrogation', 0.9854437064173529]
['disclosure', 0.9854278260032031]
['enumerated', 0.9853805026150572]
['preserver', 0.985352496687884]
['skimming', 0.9853220763351594]
['older', 0.9853051334074305]
['employer', 0.9852206790095169]
['awesome', 0.9851601560227271]
['view', 0.9851150462665624]
['servitude', 0.98510669046992]
['hawks', 0.9850905874249967]
['76', 0.9850302846236827]
['flame', 0.9850139552974032]
['words', 0.9849886640771679]
['iss', 0.9849805493445263]
['fountain', 0.9849102266511591]
['sickness', 0.9847851312634666]
['puzzling', 0.984756573669092]
['39', 0.9847304493113508]
['mastiff', 0.9846304590657479]
['multitude', 0.9845875336723662]
['impassive', 0.9845767571007233]
