['dramatic', 0.9974483069894637]
['fascinated', 0.995344388473649]
['hosts', 0.9943065192064201]
['eut', 0.9929823109655782]
['laudable', 0.990469364843391]
['damn', 0.9903266073732381]
['canace', 0.990062445605675]
['sported', 0.9891479051500768]
['whimpers', 0.9887197787340684]
['emerson', 0.9884173160366224]
['offenbach', 0.9883285869991931]
['bottles', 0.9881374470240987]
['dying', 0.9875382691542036]
['brick', 0.9870998481873319]
['woodman_', 0.9870636480669054]
['lazily', 0.986950712376945]
['worlds', 0.9867568553905325]
['broods', 0.9866002762133227]
['latent', 0.9855119831467433]
['systematic', 0.9850915798919171]
['gutenberg', 0.984752850599467]
['withstood', 0.9841961072754912]
['packers', 0.9841333501197835]
['voiced', 0.9839853262568197]
['field', 0.983854003962573]
['irregularity', 0.9834379423507159]
['moderating', 0.9830167838717772]
['spiritualists', 0.9825383336721099]
['concludes', 0.9820132015285714]
['resplendent', 0.9818567658764071]
['creak', 0.9817842000762903]
['unlocked', 0.9817132960183262]
['pensants', 0.9811174799068926]
['alms', 0.9809888461800097]
['righteous', 0.980709469574638]
['churchly', 0.9802544723658491]
['eyeless', 0.9801671658363904]
['command', 0.9800307993858751]
['folding', 0.9799421815544557]
['refusing', 0.979867206227231]
['cord', 0.9796713718080059]
['bulwarks', 0.9796600256661973]
['emerald', 0.9792721766936485]
['topics', 0.9788925789879644]
['caught', 0.9788750149951715]
['phalanxes', 0.9787377814105975]
['tiaras', 0.9785498413529621]
['caesars', 0.9779795118954452]
['subtly', 0.9778303088831716]
['blackmail', 0.9777286744302149]
['perseus', 0.9775274050748076]
['_status_', 0.9774014734355647]
['swathing', 0.9773763923223571]
['boars', 0.9772858275857171]
['schermie', 0.9772105446544596]
['generations', 0.9769974716530029]
['wakefield', 0.9769030488939567]
['handily', 0.976689197571654]
['lower', 0.9763496124815368]
['depleted', 0.9761844074370205]
['calculations', 0.9761405237565733]
['quiver', 0.9753445215300808]
['restaurants', 0.9753048710425842]
['cobwebs', 0.9751892263498434]
['perkins', 0.9751811547598705]
['coiffe', 0.9751391625765418]
['fidgety', 0.9749982959641251]
['implies', 0.9749819384470814]
['kitchen', 0.9744555622268336]
['soreness', 0.9744206184183847]
['affect', 0.9743055882812597]
['sultan', 0.9741893624576602]
['impassive', 0.9741299299621274]
['amuse', 0.9741022504074242]
['intellectually', 0.9740880936824717]
['nigger', 0.9740874803827444]
['tapestry', 0.9740422195831633]
['betide', 0.9740333302469728]
['hangchow', 0.9737265359107695]
['legitimate', 0.9736990902319904]
['sociable', 0.973645965398982]
['facilities', 0.9736312680765828]
['aegis', 0.9736069784826478]
['anywhither', 0.9735266508371785]
['unanswered', 0.9735036322316563]
['snarling', 0.973284969564077]
['richer', 0.9731782045208028]
['disagreed', 0.9731421252349133]
['eliminate', 0.9730866733296346]
['spins', 0.9730228702988788]
['consequently', 0.9727035640893443]
['delectation', 0.9724012617431924]
['sycamores', 0.972255126849223]
['useless', 0.972137841445821]
['deceiving', 0.9720874752944073]
['fag', 0.9720348452414078]
['consolation', 0.9715223722366594]
['cities', 0.9715122653612814]
['hailed', 0.971390665225037]
['filial', 0.9713332514763288]
['uses', 0.9712425506181469]
['drouth', 0.9711829885020378]
['calamity', 0.9709734954254479]
['steadily', 0.9708897936871267]
['exactly', 0.9708787402385626]
['its', 0.9703158220701013]
['italy', 0.9703041860999397]
['imitation', 0.9702109074212004]
['trouble', 0.9699089574547982]
['dictionary', 0.9698245783399916]
['hatch', 0.9696612052770989]
['practiced', 0.9693673237835476]
['scrimmage', 0.9692689253572028]
['gently', 0.96920420359636]
['agency', 0.9691311426298369]
['processes', 0.9690978608813365]
['unconsciously', 0.9690932675183049]
['earnestly', 0.9686903563261138]
['severest', 0.9686614578870442]
['production', 0.9685843827809762]
['versatility', 0.9685475487063556]
['bowels', 0.9685120118874074]
['gallic', 0.9684396700417962]
['prelate', 0.9684382165735537]
['imperturbable', 0.9683101785975652]
['practice', 0.9683014730450971]
['products', 0.9678431085709195]
['advance', 0.967836501157189]
['quaker', 0.9678363267432478]
['receding', 0.9675138155960548]
['shantyin', 0.9673354216427076]
['wilhelmstrasse', 0.9672216276096803]
['dimly', 0.9671540131998387]
['elapsed', 0.9670463890063727]
['correspondent', 0.9667275034547905]
['pout', 0.9666802535447507]
['displeased', 0.9666378152629505]
['preparations', 0.966482153551579]
['thraldom', 0.9663086735580083]
['intensely', 0.9659151091366717]
['dress', 0.9658630741379118]
['creditor', 0.9657847955435094]
['above', 0.9657273412059298]
['customers', 0.9656845937410522]
['gestures', 0.9656780827464143]
['belief', 0.9655676542260072]
['pennsylvania', 0.9654638552318974]
['garland', 0.9654030916513591]
['scoffer', 0.9652411859419547]
['hazelike', 0.9650076487744756]
['wing', 0.9649624342553532]
['cavemen', 0.9648852507535323]
['sert', 0.9648145726204986]
['sunny', 0.9646059327493447]
['appreciative', 0.9644126004460651]
['shinar', 0.9643335771242671]
['wealth', 0.9642574134804891]
['rabats', 0.9641671811184407]
['carry', 0.9640841541865076]
['radiances', 0.9638887099893475]
['curving', 0.9637883422972359]
['decidedly', 0.9637340353357695]
['_alow_', 0.9636661168076065]
['stowed', 0.9634839605848433]
['unacceptable', 0.963475886504389]
['extended', 0.9634489504134519]
['departments', 0.9629225206620772]
['valor', 0.9629019330202079]
['sporadic', 0.9627471301518534]
['despatch', 0.9625721340658514]
['carts', 0.9624937267189666]
['cadaverous', 0.9623552220716287]
['wisest', 0.9623310613231281]
['accident', 0.9623126288961907]
['drawing', 0.962180744704091]
['nominations', 0.9621474101089698]
['night', 0.9620750964926937]
['triste', 0.9620653301435087]
['regained', 0.9620188873441675]
['engendered', 0.9620088462045129]
['hasty', 0.9620002556006793]
['thoughts', 0.9619138276438707]
['preliminaries', 0.9618810268023291]
['weighty', 0.9618248206399753]
['exert', 0.961820309274484]
['_and', 0.9617476064248962]
['promiscuous', 0.9616283130949578]
['tides', 0.9616255238065281]
['huts', 0.9615600501312078]
['firmament', 0.9615311442023824]
['manages', 0.9614384850951591]
['raillery', 0.961397066820276]
['wow', 0.96135291831322]
['milliards', 0.9611341081076104]
['digression', 0.9610622885908903]
['snout', 0.9609636776347621]
['tamen', 0.960929428109693]
['invasion', 0.9608860044661551]
['violates', 0.9607673700323679]
['trenches', 0.9606808117785816]
['methinks', 0.9605528981516814]
['affirming', 0.9605356600817035]
['apothecary', 0.9604777789036527]
['pagan', 0.9603485197709017]
['springin', 0.960070113333152]
['whither', 0.9600213744130638]
['seizure', 0.9599777280019619]
['room', 0.9599653451838718]
['livery', 0.9597982164430823]
['sings', 0.9597507464750311]
['_really_', 0.9595772393883056]
['intimidated', 0.9595240112019503]
['affections', 0.9594818888181726]
['accumulated', 0.9594468901366973]
['compatriots', 0.9591650895097878]
['whirl', 0.9589625068179426]
['ends', 0.9589516459339158]
['myriads', 0.9588882906496528]
['denies', 0.9588381115833994]
['raise', 0.9587155168922653]
['hour', 0.9585030671385579]
['oracle', 0.9583754360847927]
['resurrected', 0.9582752722530097]
