['incongruities', 0.9969826531471325]
['cathedral', 0.9969303500273828]
['tribune', 0.9958335842418905]
['usance', 0.9945323698551303]
['laudable', 0.9945221811730741]
['canace', 0.9942883006577914]
['amnii', 0.9940971748154181]
['accidents', 0.9937151092596831]
['undoubtedly', 0.9937073490558853]
['fascinated', 0.9926588108209988]
['broods', 0.9922983874602138]
['creator', 0.9918768098976645]
['taxes', 0.9916597456630009]
['intestine', 0.9916597456630009]
['gesticulations', 0.9916597456630009]
['dodging', 0.9915252932447812]
['packers', 0.990880499357504]
['arrivals', 0.9907156905669212]
['scrap', 0.9907001648497332]
['flaring', 0.9905750152529464]
['evils', 0.9903647724494526]
['claim', 0.9895793807449562]
['strikingly', 0.9895793807449562]
['jump', 0.9893135008129004]
['cant', 0.9893135008129004]
['churchly', 0.9886510792570911]
['blackmail', 0.9871993540302333]
['descant', 0.9871836219516212]
['slide', 0.98611934737693]
['emanations', 0.98611934737693]
['happily', 0.9859027144489451]
['affidavy', 0.985515961599755]
['claret', 0.9854502595399812]
['worlds', 0.98539196883092]
['fiords', 0.9841349127234958]
['reigning', 0.9841349127234958]
['sixteenth', 0.9831110640135685]
['refusing', 0.9831103709759954]
['daylight', 0.9831023207436226]
['unscathed', 0.9830925246077519]
['feces', 0.9826718619700381]
['grata', 0.9817632047716286]
['amazon', 0.9815958097779969]
['immortality', 0.9815871591289735]
['sported', 0.9814234356185166]
['scouted', 0.9813834643579027]
['lustre', 0.981184086567306]
['detection', 0.9811460768494051]
['blackest', 0.9811460768494051]
['vindar', 0.9810357255424017]
['sockets', 0.9810357255424017]
['grandnephew', 0.9810357255424017]
['eut', 0.9809044750896793]
['platoon', 0.9807336938222283]
['felicitations', 0.9806370593731641]
['whom', 0.9803684849254102]
['bulky', 0.9803040409967004]
['scoffer', 0.9800220569857044]
['greatly', 0.9800008107737874]
['transferred', 0.9797974354660567]
['stitched', 0.9796336250592326]
['refuted', 0.979426199037889]
['_through_', 0.979426199037889]
['class', 0.97938116361989]
['trapper', 0.9793142050127094]
['jauntily', 0.9793142050127094]
['downloading', 0.9792365816145915]
['equanimity', 0.9792365816145915]
['appalachians', 0.9792365816145915]
['solved', 0.9792365816145915]
['horrid', 0.9792365816145915]
['waterfall', 0.9792365816145915]
['distinct', 0.9792365816145915]
['rabbit', 0.9792365816145915]
['steamer', 0.9789151513831389]
['webbed', 0.9789151513831389]
['groupe', 0.9789151513831389]
['weave', 0.978866667897025]
['scotchman', 0.978866667897025]
['foot', 0.9787109074634405]
['systems', 0.9787109074634405]
['walnut', 0.9787109074634405]
['hazing', 0.9787109074634405]
['sterile', 0.9787109074634405]
['proves', 0.9787109074634405]
['see', 0.9787109074634405]
['absurd', 0.9787109074634405]
['minnows', 0.9787109074634405]
['frances', 0.9787109074634405]
['busily', 0.9787109074634405]
['wrangling', 0.9787109074634405]
['recites', 0.9787109074634405]
['makes', 0.9784595644892797]
['winning', 0.9784595644892797]
['pekin', 0.9784006726667235]
['cadaverous', 0.9783633231276848]
['amuse', 0.9782740841578186]
['henceforward', 0.9782416541896287]
['curtain', 0.9782416541896287]
['hangchow', 0.9779588930055594]
['facilities', 0.9778789717390182]
['trenches', 0.9774009406551072]
['intimidated', 0.9767360590524078]
['bnf', 0.9766084411861574]
['bill', 0.975705348818235]
['dupes', 0.975536872281157]
['barrel', 0.9754099625058383]
['perseus', 0.9752112978602805]
['mixes', 0.9751747549030827]
['bergs', 0.9751747549030827]
['consumed', 0.9751747549030827]
['petition_', 0.9751174238127204]
['oatmeal', 0.9748804815338915]
['abiding', 0.974757117044783]
['vegetable', 0.974757117044783]
['persistent', 0.9744868878540276]
['clair', 0.9744672813648517]
['denies', 0.9741672306275867]
['investigate', 0.9734158904553422]
['cooerdinating', 0.9729188747308852]
['torn', 0.9724379904422087]
['gravitating', 0.9724218269887427]
['windfall', 0.9724218269887427]
['vows', 0.9716154937155677]
['intermittent', 0.9711112255094433]
['shallow', 0.9711112255094433]
['match', 0.9711112255094433]
['_political', 0.9711112255094433]
['moulded', 0.9707641036133644]
['wing', 0.9706065887322768]
['energetic', 0.9705595978400732]
['organization', 0.9704216297933259]
['meerschaums', 0.9704047849865838]
['scalp', 0.9700232996501663]
['occurs', 0.9698059607829818]
['daughters', 0.9698059607829818]
['xxvi', 0.9698059607829818]
['lurid', 0.9698059607829818]
['politics', 0.9698059607829818]
['qualities', 0.9698059607829818]
['waddled', 0.9697722008460535]
['ransomed', 0.9697722008460535]
['anderson', 0.9697722008460535]
['huntsman', 0.9695975828904113]
['arriving', 0.9695763747462962]
['immanent', 0.9692949735633746]
['valor', 0.9688780108777626]
['rooting', 0.9687301316316265]
['baptize', 0.9678618712727463]
['scrubbing', 0.967760370411852]
['camps', 0.9672776618243181]
['morality', 0.967058356723157]
['coiffe', 0.966865893996123]
['youthful', 0.9666853673939918]
['creeps', 0.9666161645411132]
['dreariest', 0.9663302351130492]
['pulsated', 0.9663302351130492]
['diversion', 0.9663302351130492]
['lifting', 0.9663302351130492]
['deny', 0.9663302351130492]
['_really_', 0.9660888876842767]
['rounding', 0.9651131063759457]
['feverish', 0.9648081343279112]
['revealment', 0.9648081343279112]
['chymera', 0.964643613820521]
['patten', 0.9644410282206479]
['purses', 0.9639387734195133]
['puzzlement', 0.9639387734195133]
['prearranged', 0.9632567252759385]
['profile', 0.963187108249592]
['virus', 0.9629311951020414]
['folk', 0.9629311951020414]
['admirably', 0.9626586776553393]
['purchases', 0.9625965179401499]
['down', 0.9624785893237859]
['scooping', 0.9624785893237859]
['neighbor', 0.9624785893237859]
['flaunting', 0.9624785893237859]
['sprang', 0.9623828757274703]
['booming', 0.9623361551764588]
['finger', 0.9615378269966423]
['ridgepole', 0.9615182256271343]
['galette', 0.9614463067275479]
['inrushing', 0.9612156788876121]
['spends', 0.9605293167893627]
['reefs', 0.9604754893449676]
['develop', 0.9604754893449676]
['palates', 0.9604754893449676]
['organised', 0.9604754893449676]
['passed', 0.9604754893449676]
['trace', 0.9604107610669491]
['suggestive', 0.9603804682328685]
['dispose', 0.9603470565601697]
['correctly', 0.9602615669380589]
['topper', 0.9602611598528494]
['bites', 0.9602479403396058]
['elevation', 0.9601555005280127]
['reptile', 0.960153330060578]
['cardboard', 0.960153330060578]
['ezra', 0.960153330060578]
['mother', 0.960153330060578]
['trouble', 0.9598951645724089]
['recommendations', 0.9598651273778573]
['ont', 0.9598067039597049]
['blossom', 0.9595526463193921]
['carlsfeld', 0.959441761575056]
['realms', 0.959441761575056]
['china', 0.9594171770803723]
['_oime', 0.9593555139246872]
['intention', 0.9593366570795466]
['barren', 0.9590787331298369]
['rigging', 0.9590787331298369]
['impediments', 0.9590787331298369]
['undistinguishable', 0.9590787331298369]
['caligula', 0.9590787331298369]
['kraighten', 0.9590787331298369]
['display', 0.9590787331298369]
['guitar', 0.9590787331298369]
['avoidable', 0.9590787331298369]
['stepmothers', 0.9590787331298369]
['skelter', 0.9590787331298369]
['tiring', 0.9590787331298369]
['never', 0.9590787331298369]
['shortening', 0.9590787331298369]
['buildings', 0.9590787331298369]
['waken', 0.9590787331298369]
['rusted', 0.9590787331298369]
['ted', 0.9590787331298369]
['illumined', 0.9590787331298369]
['embarrassment', 0.9590787331298369]
['cried', 0.9590787331298369]
['divination', 0.9590787331298369]
['gaul', 0.9590787331298369]
['illustrations', 0.9590787331298369]
['trance', 0.9590787331298369]
['behaving', 0.9590787331298369]
['corresponding', 0.9590787331298369]
['part', 0.9590787331298369]
['ached', 0.9590787331298369]
['conceit', 0.9590787331298369]
['withdrew', 0.9590787331298369]
['coupled', 0.9590787331298369]
['dish', 0.9590787331298369]
['posture', 0.9590787331298369]
['lad', 0.9590787331298369]
['umbrella', 0.9590787331298369]
['_where', 0.9590787331298369]
['horatius', 0.9590787331298369]
['stringin', 0.9590787331298369]
['efforts', 0.9590787331298369]
['water', 0.9590787331298369]
['sculptured', 0.9590787331298369]
['nobility', 0.9589127164210165]
['grisettes', 0.9587715179766475]
['savant', 0.958671479614302]
['mousedom', 0.958671479614302]
['kindly', 0.9586385104948667]
['gloriously', 0.9586080425409729]
['exist', 0.9584640036904104]
['sociable', 0.9584437076545226]
['perfect', 0.9583713523793869]
['unanswered', 0.9582192699621013]
['surpasses', 0.9580738256790875]
['entertainment', 0.9580738256790875]
['bowels', 0.9580333390142763]
['squashing', 0.9575578065312134]
['chemicals', 0.9571786830424094]
['reminiscent', 0.9571786830424094]
['roger', 0.9571786830424094]
['dreadful', 0.9571786830424094]
['peaceful', 0.9571786830424094]
['degradation', 0.9569750188600556]
['nineteenths', 0.9569750188600556]
['1323', 0.9565191359750705]
['honolulu', 0.9561813577398715]
['contradictory', 0.9556347635630585]
['des', 0.9556117951887889]
['spirited', 0.9553166193861042]
