['whimpers', 0.9994876395436256]
['spain', 0.998986607184749]
['robbing', 0.9988975206679201]
['prematurely', 0.9986222842474235]
['happily', 0.9984403193004353]
['trenches', 0.9982140778317675]
['intimidated', 0.998161534636257]
['arriving', 0.9975957306032356]
['rooting', 0.9975288550614204]
['billy', 0.9974242557799564]
['indentations', 0.9971830763833561]
['experiencing', 0.997152296884602]
['victim', 0.997022545085744]
['satires', 0.9969898354216283]
['lonesomeness', 0.996757875598681]
['marsh', 0.9966700183228836]
['judging', 0.996359013520469]
['candlestick', 0.9963320720049946]
['habitually', 0.9963320720049946]
['makers', 0.9963320720049946]
['intensest', 0.9963320720049946]
['prosecuted', 0.9963320720049946]
['lui', 0.9963320720049946]
['princeton', 0.9963320720049946]
['support', 0.9963320720049946]
['begotten', 0.9963320720049946]
['plenipotentiaries', 0.9963320720049946]
['faggots', 0.9963320720049946]
['hog', 0.9963320720049946]
['delegating', 0.9963320720049946]
['mistake', 0.9963320720049946]
['sacrifice', 0.9963320720049946]
['imbecility', 0.9963320720049946]
['rackett', 0.9963320720049946]
['title', 0.9963276202990013]
['financial', 0.9962787513583425]
['rounding', 0.9961402204377472]
['feverish', 0.9961064792600216]
['revealment', 0.9961064792600216]
['orphan', 0.9959344087540142]
['hullo', 0.9957197664183299]
['consistently', 0.9957186780263031]
['huntsman', 0.9956981372213604]
['suggestive', 0.9956166157804499]
['medium', 0.9954974269651231]
['canace', 0.9954901746418086]
['travels', 0.9952738634978374]
['sociable', 0.9952153486745249]
['attorney', 0.9950143814754615]
['ruled', 0.9950104471347607]
['superadded', 0.9945091266197266]
['justify', 0.9944989243784241]
['protect', 0.9944989243784241]
['sor', 0.9944989243784241]
['swineherd', 0.9940330528771023]
['respected', 0.9940330528771023]
['superfluous', 0.9940330528771023]
['broods', 0.9939189853229454]
['creeps', 0.9938441903520955]
['danae', 0.9937871426464575]
['sooner', 0.9937070027761511]
['cassia', 0.9935647460231251]
['outshowering', 0.9935647460231251]
['descriptive', 0.9935647460231251]
['shade', 0.9935647460231251]
['voulais', 0.9935538075414849]
['energies', 0.9935440882986548]
['brightly', 0.9933548317620665]
['daintiness', 0.9931470214243704]
['unscrupulous', 0.9931470214243704]
['fogyism', 0.9930884345513915]
['relented', 0.9930028344417324]
['ridgepole', 0.9929041563170684]
['infinity', 0.9928851756065168]
['involve', 0.9927348655777793]
['notion', 0.9927348655777793]
['whither', 0.9925960811310051]
['traversed', 0.9925772575106859]
['theatrical', 0.9925772575106859]
['savages', 0.9925772575106859]
['publishing', 0.9925772575106859]
['pig', 0.9925772575106859]
['artfully', 0.9923096293905254]
['state', 0.9923096293905254]
['congratulating', 0.9922531354263072]
['southeastward', 0.9922531354263072]
['amadee', 0.9922531354263072]
['tormented', 0.9922531354263072]
['python', 0.9922531354263072]
['quote', 0.9922531354263072]
['rheinfeldt', 0.9922531354263072]
['rules', 0.9922531354263072]
['bounty', 0.9922531354263072]
['smile', 0.9922531354263072]
['puff', 0.9922531354263072]
['sightless', 0.9922531354263072]
['flourished', 0.9921952991945675]
['guest', 0.9921762598003713]
['regular', 0.9921762598003713]
['_all', 0.9920379722033996]
['forger', 0.9920379722033996]
['bulky', 0.991658869586971]
['severs', 0.991551330972032]
['cooerdinating', 0.9914457080301563]
['_descending_', 0.9913951675464915]
['prelate', 0.9911160374599188]
['snare', 0.9909717421449198]
['seagull', 0.9909006172285595]
['landowners', 0.9909006172285595]
['exquisite', 0.9909006172285595]
['completion', 0.9903848932198966]
['rashness', 0.9903848932198966]
['halloo', 0.9903668384688512]
['nigger', 0.9902112863735674]
['radicalism', 0.9902042237227933]
['term', 0.9902042237227933]
['christians', 0.9902042237227933]
['dank', 0.9902042237227933]
['beginnings', 0.9901629061102174]
['harder', 0.9900857328493332]
['provinces', 0.9900432655436177]
['trotter', 0.9897341249546545]
['visionary', 0.9897341249546545]
['hoo', 0.9896565476020518]
['conseilleurs', 0.989502300676413]
['groves', 0.9894836287088196]
['jealousies', 0.9894830564429209]
['wrangled', 0.9894830564429209]
['ingen', 0.9893846070377237]
['_fat_', 0.9893846070377237]
['smokehouse', 0.9893846070377237]
['traveller', 0.9893846070377237]
['emblem', 0.9891569449951207]
['ladder', 0.9890777394427882]
['_great', 0.9890777394427882]
['flippered', 0.9890777394427882]
['wicked', 0.9890777394427882]
['meant', 0.9890777394427882]
['ecumenical', 0.9890777394427882]
['orchestra', 0.9890777394427882]
['employers', 0.9890777394427882]
['butcher', 0.9890777394427882]
['regularity', 0.9890777394427882]
['comite', 0.9890777394427882]
['usurers', 0.9890777394427882]
['warier', 0.9890777394427882]
['intention', 0.9889519278051899]
