['topics', 0.9984062444837749]
['denies', 0.9981351965258628]
['ambiguously', 0.9979955188047693]
['arter', 0.9974326992707871]
['incongruities', 0.9974125102342231]
['cathedral', 0.9973676583183945]
['chymera', 0.9969782652041965]
['_ad', 0.9969497759021113]
['consolation', 0.9967746147449077]
['clair', 0.9967511032345916]
['purchases', 0.9967341703376252]
['tribune', 0.9964271399147119]
['dimmed', 0.9961026497560035]
['discovers', 0.9960296261106699]
['_short', 0.9959132929753733]
['refusing', 0.9954395066388152]
['usance', 0.9953112990541809]
['rug', 0.9949752197811947]
['whitling', 0.9949602884890856]
['amnii', 0.9949381027442168]
['wakefield', 0.9947680638180881]
['accidents', 0.9946104669888575]
['des', 0.9943518472476759]
['amuse', 0.9941336251481245]
['deprecatory', 0.9940894583547869]
['heresy', 0.9940699269073361]
['hangchow', 0.9940485180593105]
['facilities', 0.9940269379283934]
['streamlets', 0.9940041909391505]
['worlds', 0.9940003087743963]
['track', 0.9939884830575729]
['complex', 0.9938107646665268]
['dramatic', 0.9936418774849425]
['baptize', 0.9935825542174676]
['bill', 0.9934820241452513]
['locating', 0.993376638898151]
['creator', 0.9930340553207269]
['attack', 0.9930212724103511]
['severest', 0.9929011733359802]
['pastures', 0.9928902939558722]
['taxes', 0.992847914478094]
['intestine', 0.992847914478094]
['gesticulations', 0.992847914478094]
['dodging', 0.9927326164122464]
['rebellious', 0.9925856557911168]
['blockhouse', 0.9924560505376765]
['_with', 0.9923880692502848]
['rise', 0.992360716445267]
['finger', 0.992319748544721]
['idiotic', 0.992304006012639]
['spends', 0.9921183659554834]
['wing', 0.9920632681298975]
['scrap', 0.9920250374093188]
['flaring', 0.9919177168669128]
['resplendent', 0.9917803659338149]
['holding', 0.9917483075380761]
['kindly', 0.991740803621871]
['evils', 0.9917374256611299]
['beatrice', 0.9917195203896734]
['valor', 0.9915965220682404]
['tres', 0.9915462966143859]
['eagen', 0.991478233797602]
['firmament', 0.9912860101058255]
['chicanery', 0.991273470222848]
['retributive', 0.9911428047011049]
['contradictory', 0.9911410056920376]
['recommendations', 0.9911058630148293]
['claim', 0.9910639223827186]
['strikingly', 0.9910639223827186]
['affirming', 0.991060512404177]
['seizure', 0.9909341292715442]
['cordial', 0.9909326897610964]
['coursing', 0.9909257740558137]
['frozen', 0.9908831078281805]
['needleworkers', 0.9908657035433277]
['_really_', 0.9908434103338536]
['jump', 0.990835920221659]
['cant', 0.990835920221659]
['affections', 0.9908218114615369]
['coachmen', 0.9908049388448107]
['accustomed', 0.9907204076554909]
['tablets', 0.9906999645906343]
['exhaled', 0.9906073846148413]
['compound', 0.9905539498884991]
['bnf', 0.9904396641699225]
['treetops', 0.990418928982023]
['patten', 0.9903984596405397]
['deafness', 0.9902700623988775]
['taels', 0.9902088407965204]
['midside', 0.9899916152662879]
['deserves', 0.9899706349065305]
['perseus', 0.9898189867614346]
['inequalities', 0.9895614839570476]
['communicative', 0.9895179737754197]
['witted', 0.9895151866782751]
['philanthropist', 0.9895032227667663]
['lustre', 0.9893968672557784]
['grandes', 0.9893690850685044]
['assign', 0.9893226601355597]
['dispose', 0.9892930161431158]
['landing', 0.9892285778435381]
['rapids', 0.9892159201843945]
['paused', 0.9891493782082763]
['barkin', 0.9891312428542809]
['sordid', 0.9890378822598549]
['descant', 0.989009468035472]
['transcendently', 0.9889969159988797]
['shy', 0.9889490315015889]
['late', 0.9889052240030635]
['produces', 0.9888139794053565]
['maris', 0.9888107057998674]
['excessive', 0.9887425951270273]
['maltese', 0.9886781267759837]
['squashing', 0.9885398701609476]
['yawned', 0.9884663345387634]
['sardonically', 0.9883720719419722]
['laws', 0.9883615371614096]
['piety', 0.9883019850584057]
['_me_', 0.9882863549969225]
['hundredth', 0.9882863549969225]
['competition', 0.9882485532288098]
['scrutinize', 0.9881819569125216]
['invented', 0.988181312721213]
['surpassed', 0.9881620086526253]
['buckshot', 0.9881415211393825]
['unapproving', 0.9881314959807395]
['resolution', 0.9881036617587937]
['slide', 0.9880968120816582]
['emanations', 0.9880968120816582]
['sma', 0.9880753275651873]
['stoutest', 0.9880336905543562]
