['topics', 0.9959099589915442]
['ambiguously', 0.9948559172308998]
['arter', 0.9934115583245857]
['incongruities', 0.9933597473745198]
['veenah', 0.9931121127624409]
['_ad', 0.9921722362568547]
['spain', 0.991936994114321]
['clair', 0.9916623843070779]
['germain', 0.991265971339913]
['robbing', 0.9912281819945628]
['tribune', 0.9908310000388798]
['superintend', 0.9896859246797436]
['temporarily', 0.9881935804030698]
['usance', 0.9879674272813141]
['rug', 0.9871049499473619]
['plains', 0.9869979916780688]
['accidents', 0.9861688880084883]
['des', 0.9855051944016205]
['heresy', 0.9847817046684909]
['worlds', 0.9846030442555497]
['track', 0.9845726960206608]
['complex', 0.9841166188495166]
['arrivals', 0.9836938191272337]
['dramatic', 0.9836832051348974]
['locating', 0.9830025256417392]
['creator', 0.9821233563675162]
['pastures', 0.9817544228192395]
['taxes', 0.9816456647316498]
['intestine', 0.9816456647316498]
['gesticulations', 0.9816456647316498]
['dodging', 0.9813497763016418]
['rebellious', 0.9809726325296335]
['cathedral', 0.9806579090225098]
['blockhouse', 0.9806400276877455]
['aegis', 0.9805985915714073]
['_with', 0.9804655678973895]
['spends', 0.9797734306626483]
['_short', 0.9797418740420929]
['billy', 0.9795062284894231]
['mare', 0.9786214449004447]
['tres', 0.9783053340562685]
['eagen', 0.9781306650377377]
['indentations', 0.9775872974835708]
['volition', 0.9774710777239441]
['experiencing', 0.9773424020433457]
['contradictory', 0.9772652394646678]
['claim', 0.9770674212340968]
['strikingly', 0.9770674212340968]
['wilder', 0.9769037446053848]
['avidity', 0.9768598416085836]
['seizure', 0.9767343342945295]
['cordial', 0.9767306400913073]
['needleworkers', 0.9765587339395255]
['_really_', 0.9765015230687043]
['jump', 0.9764823012585069]
['cant', 0.9764823012585069]
['coachmen', 0.9764027940188343]
['consolation', 0.976300304980393]
['accustomed', 0.9761858623581801]
['tablets', 0.9761333994975026]
['blackmail', 0.9758773682604593]
['shoes', 0.9744826033944881]
['newsletter', 0.9742331872353098]
['lustre', 0.9727892720681]
['scrap', 0.971907348439306]
['sordid', 0.971868011975319]
['descant', 0.9717950927968337]
['transcendently', 0.9717628806137987]
['shy', 0.9716399950422069]
['melt', 0.9715326001607489]
['late', 0.9715275722373145]
['produces', 0.971293412014732]
['china', 0.9710060191960994]
['title', 0.9707809067737811]
['pneumonia', 0.9706009225570802]
['yawned', 0.9704012539978533]
['sardonically', 0.9701593487103013]
['piety', 0.969979485346678]
['_me_', 0.9699393740549648]
['hundredth', 0.9699393740549648]
['freight', 0.969763642032776]
['invented', 0.9696698049705602]
['surpassed', 0.9696202651061643]
['buckshot', 0.9695676881779772]
['unapproving', 0.9695419606999867]
['slide', 0.969452951709504]
['emanations', 0.969452951709504]
['sma', 0.9693978161805484]
['maintenant', 0.9688019281170799]
['humbert', 0.9687728607113553]
['undoubtedly', 0.968529961375913]
['trice', 0.9681895024448711]
['tensity', 0.9681730326213861]
['claret', 0.9679804951168012]
['italy', 0.9678357185937361]
['canace', 0.9677091562024699]
['daystar', 0.9672230999044182]
['hungry', 0.9669903111708165]
['bowels', 0.9658945697201966]
['eyeless', 0.9654124516220473]
['fiords', 0.9650858212269622]
['reigning', 0.9650858212269622]
['firmer', 0.9649814908212974]
['field', 0.9643934215638088]
['medium', 0.9641755177907794]
['manly', 0.9641411461065325]
['complained', 0.9639927120789668]
['charmingly', 0.9639845051986772]
['nominations', 0.9633801600746928]
['long', 0.9632981938955583]
['deftness', 0.9628161744698039]
['unscathed', 0.962791845505954]
['bobbed', 0.9625442372087409]
['fiammetta_', 0.9622263841358831]
['huntsman', 0.9619916222123706]
['example', 0.9617011712648099]
['wakefield', 0.9615564399081964]
['rabats', 0.9611885744581723]
['wing', 0.9606570001348795]
['purchases', 0.9603873203216573]
['watertown', 0.9603798741724066]
['blest', 0.9592051332171732]
['scouted', 0.9590307294114023]
['harmful', 0.9589640476983516]
['suspenders', 0.9588297745731031]
['fang', 0.9586135984231708]
['detection', 0.9585083124989883]
['blackest', 0.9585083124989883]
['prowlings', 0.9585061335916075]
['vindar', 0.9582654632039667]
['sockets', 0.9582654632039667]
['grandnephew', 0.9582654632039667]
['snout', 0.9577187794263959]
['platoon', 0.9576007842589677]
['incapacitating', 0.9575885065579406]
['prescience', 0.9575684327256779]
['felicitations', 0.9573881215505023]
['seam', 0.957317579621498]
['feebly', 0.957317579621498]
['translation', 0.9570457159116186]
['deportment', 0.9569688207682921]
['namesake', 0.9569293524721079]
['kritters', 0.9569193413457285]
['hundreds', 0.9566230360197363]
['hugest', 0.9566034981233658]
['broods', 0.9564592684923828]
['jotted', 0.9563464964620214]
['superadded', 0.9563121588032019]
['sparkle', 0.9563095388370683]
['justify', 0.9562309852144113]
['protect', 0.9562309852144113]
['sor', 0.9562309852144113]
['greatly', 0.9559879340220271]
['yards', 0.9558425625774628]
['litigation', 0.9557684678578603]
['desires', 0.9556695292688357]
['certainty', 0.9555515425003422]
['transferred', 0.9555403675051604]
['dismay', 0.9554472902098812]
['administrations', 0.9553260682745399]
['raise', 0.9552837400968952]
['particularity', 0.955255338477088]
['feigned', 0.955253221081574]
['shocks', 0.9552225611294821]
['eminently', 0.9547973298754083]
['wilderness', 0.9547344039077464]
['class', 0.954624281170308]
['trapper', 0.9544769258648655]
['jauntily', 0.9544769258648655]
['withdraw', 0.9544466116457122]
['1901', 0.9544385130579542]
['heures', 0.9543099576199787]
['downloading', 0.9543061006338648]
['equanimity', 0.9543061006338648]
['appalachians', 0.9543061006338648]
['solved', 0.9543061006338648]
['horrid', 0.9543061006338648]
['waterfall', 0.9543061006338648]
['distinct', 0.9543061006338648]
['rabbit', 0.9543061006338648]
