['dramatic', 0.9987236910191375]
['hosts', 0.9971522277016828]
['damn', 0.995161550455338]
['whimpers', 0.994357844909878]
['lazily', 0.9934729911010478]
['worlds', 0.9933760274726884]
['arrivals', 0.9925664766895783]
['packers', 0.9920637993462753]
['field', 0.9919240756382333]
['spiritualists', 0.9912660020374362]
['creak', 0.9908887985583577]
['unlocked', 0.9908533336785365]
['alms', 0.9904909774581722]
['veenah', 0.9904668530262905]
['righteous', 0.990351238520531]
['churchly', 0.9901236574512382]
['eyeless', 0.9900799883628424]
['folding', 0.9899674554451284]
['cord', 0.9898320014896284]
['scrap', 0.9894444772152611]
['topics', 0.9894424639291358]
['tiaras', 0.9892710329929585]
['caesars', 0.9889857648961798]
['spain', 0.9888404357523568]
['lower', 0.9881705197819423]
['robbing', 0.9878594077707202]
['perkins', 0.9875860791467391]
['soreness', 0.9872056731343769]
['affect', 0.9871481372174479]
['sultan', 0.9870900032405723]
['impassive', 0.9870602762211032]
['nigger', 0.9870390437377375]
['aegis', 0.9867987057002532]
['unanswered', 0.9867470138440093]
['disagreed', 0.9865661948251531]
['spins', 0.9865065457430555]
['cities', 0.98575096948822]
['hailed', 0.9856901473809674]
['uses', 0.985616063232839]
['drouth', 0.9855862713795889]
['calamity', 0.9854814868722143]
['bottles', 0.9851750322227457]
['dictionary', 0.9849068200967128]
['unconsciously', 0.9845410321411607]
['prelate', 0.9842133879456182]
['advance', 0.9839124211809414]
['quaker', 0.9839123339423596]
['receding', 0.9837510199159891]
['temporarily', 0.9836593821343239]
['wilhelmstrasse', 0.983604872965878]
['elapsed', 0.983517221903516]
['correspondent', 0.9833577213320636]
['gestures', 0.9828328207780889]
['huntsman', 0.9826730633935544]
['cathedral', 0.9825793900087552]
['jerusalem', 0.9824965452928945]
['plains', 0.9820046333496176]
['radiances', 0.9819378100889012]
['curving', 0.9818876080519393]
['decidedly', 0.9818604447284687]
['_alow_', 0.9818264731546534]
['despatch', 0.9812792835074484]
['hasty', 0.9809932406260958]
['underhand', 0.9809865702459037]
['wow', 0.980669454657243]
['digression', 0.980524087121578]
['tamen', 0.9804576328009942]
['trenches', 0.9803332795755566]
['methinks', 0.9802692995787022]
['apothecary', 0.9802317263398767]
['whither', 0.9800034413746244]
['seizure', 0.9799816102584823]
['_really_', 0.979781293366038]
['intimidated', 0.979754669625643]
['hour', 0.9792440125553427]
['competitors', 0.9792362819166223]
['promontories', 0.9790425035505657]
['negotiations', 0.9790270678873702]
['subduing', 0.9789609363249517]
['kind_', 0.9788149214313951]
['chased', 0.9785124821733492]
['eggs', 0.9784424665564175]
['ruminated', 0.9782928632408163]
['inflammation', 0.9781420489838101]
['interposition', 0.977987385738297]
['perfidious', 0.9778184462328955]
['increases', 0.9775373859418102]
['previous', 0.9774447714311505]
['creek', 0.9774445215062045]
['rockiness', 0.9771321248913102]
['strengthens', 0.9770272732344543]
['homely', 0.9768493708964535]
['emerson', 0.9768430261357042]
['bolted', 0.9759840440057033]
['flush', 0.9758926573614274]
['zuylen', 0.9755511061780897]
['lightness', 0.9753814521603996]
['catholic', 0.9751160869716773]
['keepers', 0.9748079601727166]
['polemics', 0.9747339526347216]
['site', 0.974416045297508]
['carvalho', 0.9743168633155604]
['piety', 0.9741695608378902]
['dried', 0.9740829003649459]
['jetes', 0.9737711847735525]
['_first', 0.9737658958518611]
['waddled', 0.9736944062169013]
['ransomed', 0.9736944062169013]
['anderson', 0.9736944062169013]
['sma', 0.9736690774124163]
['arriving', 0.9735239895151722]
['track', 0.9734518850542356]
['conductor', 0.9730856454593317]
['hearts', 0.9727911994290893]
['rooting', 0.9727875506000241]
['pricks', 0.9725397738779038]
['totally', 0.9725086145793446]
['fastening', 0.9724864849115507]
['recked', 0.972256924669026]
['sangamo', 0.9722267223450014]
['written', 0.972180731893536]
['perceive', 0.9720814078920728]
['provocation', 0.9718035611046666]
['narratives', 0.9717996339448465]
['billy', 0.971635694790325]
['hungry', 0.971597596879704]
['grunt', 0.9715147849035364]
['freezing', 0.9714865575187901]
['slight', 0.971417947409925]
['soups', 0.971417947409925]
['aforementioned', 0.9713506896025549]
['outer', 0.9711213955164567]
['profanation', 0.9710703299682271]
['ye', 0.9710538501620081]
['mare', 0.9704111143489286]
['freycinet', 0.9702920334681095]
['amoundt', 0.969951738664318]
['antagonistic', 0.9697885860113292]
['appetites', 0.9697730530890125]
['shrinking', 0.9696299014745863]
['quietude', 0.9694187360152952]
['span', 0.9694136498912909]
['tremendously', 0.9693935928959947]
['shelf', 0.9691605517229778]
['irregularities', 0.9690059716004045]
['employer', 0.9690012774055656]
['indentations', 0.9689798076248897]
['seein', 0.9688292511723394]
['bits', 0.9688292511723394]
['volition', 0.9688189542294205]
['experiencing', 0.9686408612768532]
['fearful', 0.9681295912602167]
['agitations', 0.9680395000753611]
['politely', 0.9676264611774217]
['consist', 0.9676263512959591]
['piemont', 0.967527316204143]
['panels', 0.9674044896589636]
['shantyin', 0.967339365592177]
['victim', 0.9672120238963093]
['look', 0.9671350054446304]
['example', 0.9670466820090001]
['muscle', 0.9670087572030354]
['oncommon', 0.9669944591578309]
['unfriendly', 0.9669925361272919]
['antagonists', 0.966990069192668]
['banquets', 0.9669362873492025]
['endurance', 0.9668972074089638]
['irregularity', 0.9668878873552903]
['nominations', 0.9668806964853108]
['maintenon', 0.9667789953614495]
['internal', 0.9667503275675133]
['livery', 0.9664993209421193]
['wisdom', 0.9663185274551971]
['prescience', 0.9663163521972613]
['erratic', 0.9663156026041203]
['century', 0.9659432315153028]
['thirdly', 0.9659395503161657]
['sans', 0.9659251380479936]
['dip', 0.9657218099865542]
['advising', 0.9656811447035459]
['beginnings', 0.9652770850859077]
['_slowly_', 0.9652061663282239]
['moulded', 0.9651788227973709]
['despise', 0.9651266913231835]
['selected', 0.9650445252248565]
['goals', 0.9650131631168819]
['harder', 0.9650046793732707]
['shrewdness', 0.9648913746492337]
['seasoned', 0.9648874920329402]
['populous', 0.9647388518055067]
['ringing', 0.9646097802822897]
['pottery', 0.9645741024926966]
['outreach', 0.9645077571096962]
['assassin', 0.9645077571096962]
['remorselessly', 0.964438551605233]
['consolation', 0.9644107035962812]
['fang', 0.9643900532547787]
['hurling', 0.9643466447166433]
['curtly', 0.964333274150269]
['lonesomeness', 0.9642974619408472]
['nobility', 0.9642439932204389]
['glowed', 0.9640341433949078]
['savant', 0.964034058073965]
['mousedom', 0.964034058073965]
['participated', 0.9638135112685066]
['collocations', 0.9637318046500005]
['amaze', 0.9636287587508665]
['mesmerised', 0.9636070163705633]
['marsh', 0.9633299704616016]
['statistics', 0.9628699676299189]
['defended', 0.9628103857950345]
['hewn', 0.9626843120436227]
['sexes', 0.9626833545439074]
['sketches', 0.962599931439098]
['jerky', 0.9622838972445225]
['demonstrate', 0.962254122865241]
['ridiculing', 0.9621979449999232]
['moneyed', 0.9620207693494671]
['dentist', 0.9616714317324031]
['particularity', 0.961500518207509]
['portmanteaus', 0.9614739170954695]
['allumettes', 0.9614278262769954]
['circuit', 0.9613899145609679]
['smiling', 0.9613536819580377]
['arcade', 0.9613268331987693]
['insignia', 0.9612666582885389]
['steering', 0.9611708842924646]
['wearies', 0.9611465891301536]
['excepting', 0.9609802370358661]
['tasting', 0.9609501638793599]
['attempted', 0.9609340805233691]
['bays', 0.9608660422414237]
['speedy', 0.9608660422414237]
['withdraw', 0.9608046684042044]
['intricate', 0.960709165919692]
['heures', 0.9606870876918572]
['magical', 0.9606808902981464]
['depravity', 0.960609644958507]
['sleeps', 0.960609644958507]
['thing', 0.960609644958507]
['drummed', 0.9605313403269555]
['exigencies', 0.9604902950034735]
['laces', 0.9604902950034735]
['theous', 0.9604300992737752]
['disappointing', 0.9602466415085779]
['historique', 0.9601801167691133]
['lissa', 0.9601107807320675]
['vulcan', 0.9600907205688092]
['yells', 0.9600907205688092]
['command', 0.9600760706089986]
['fantastic', 0.9600077628176554]
['published', 0.9600077628176554]
['tips', 0.9599659397875091]
['cordial', 0.9599568633380364]
['judging', 0.95990516023832]
['coal', 0.9598847880966342]
['scales', 0.9598847880966342]
