['quare', 0.9334713320044264]
['souci', 0.9334713320044264]
['extend', 0.9334713320044264]
['lookin', 0.9334713320044264]
['eradicate', 0.9334713320044264]
['sextus', 0.9334713320044264]
['conditioned', 0.9334713320044264]
['eighteen', 0.9334713320044264]
['boiled', 0.9334713320044264]
['holystoned', 0.9334713320044264]
['outlived', 0.9334713320044264]
['haberdashery', 0.9334713320044264]
['haf', 0.9334713320044264]
['hat', 0.9334713320044264]
['topping', 0.9334713320044264]
['locksmithing', 0.9334713320044264]
['mollard', 0.9334713320044264]
['addington', 0.9334713320044264]
['complications', 0.9334713320044264]
['role', 0.9334713320044264]
['circumstances', 0.9334713320044264]
['embark', 0.9334713320044264]
['deranging', 0.9334713320044264]
['cooks', 0.9334713320044264]
['meadow', 0.9334713320044264]
['dusty', 0.9334713320044264]
['pavilions', 0.9334713320044264]
['admired', 0.9334713320044264]
['temperate', 0.9334713320044264]
['quarter', 0.9334713320044264]
['bursting', 0.9334713320044264]
['disasters', 0.9334713320044264]
['herds', 0.9334713320044264]
['unburied', 0.9334713320044264]
['illness', 0.9334713320044264]
['erudition', 0.9334713320044264]
['diplomatist', 0.9334713320044264]
['orally', 0.9334713320044264]
['imagines', 0.9334713320044264]
['aggressive', 0.9334713320044264]
['welcomed', 0.9334713320044264]
['fit', 0.9334713320044264]
['loveliest', 0.9334713320044264]
['compels', 0.9334713320044264]
['reformatory', 0.9334713320044264]
['chabot', 0.9334713320044264]
['zion', 0.9334713320044264]
['exasperating', 0.9334713320044264]
['rumpus', 0.9334713320044264]
['dyes', 0.9334713320044264]
['beware', 0.9334713320044264]
['pouvoirs', 0.9334713320044264]
['24th', 0.9334713320044264]
['investment', 0.9334713320044264]
['dwells', 0.9334713320044264]
['cessation', 0.9334713320044264]
['fragrance', 0.9334713320044264]
['learn', 0.9334713320044264]
['knocked', 0.9334713320044264]
['installed', 0.9334713320044264]
['signs', 0.9334713320044264]
['preservation', 0.9334713320044264]
['syringes', 0.9334713320044264]
['also', 0.9334713320044264]
['seize', 0.9334713320044264]
['insane', 0.9334713320044264]
['untouched', 0.9334713320044264]
['bell', 0.9334713320044264]
['acted', 0.9334713320044264]
['satire', 0.9334713320044264]
['infect', 0.9334713320044264]
['vow', 0.9334713320044264]
['vox', 0.9334713320044264]
['breasted', 0.9334713320044264]
['into', 0.9334713320044264]
['enthusiasms', 0.9334713320044264]
['beverage', 0.9334713320044264]
['humpback', 0.9334713320044264]
['glows', 0.9334713320044264]
['_shoon', 0.9334713320044264]
['flowing', 0.9334713320044264]
['harassing', 0.9334713320044264]
['archytas', 0.9334713320044264]
['maw_', 0.9334713320044264]
['lock', 0.9334713320044264]
['directs', 0.9334713320044264]
['physicians', 0.9334713320044264]
['snaky', 0.9334713320044264]
['unprepared', 0.9334713320044264]
['chilly', 0.9334713320044264]
['desagreable', 0.9334713320044264]
['lithographically', 0.9334713320044264]
['allusion', 0.9334713320044264]
['strengthener', 0.9334713320044264]
['hateful', 0.9334713320044264]
['we_', 0.9334713320044264]
['parler', 0.9334713320044264]
['villainous', 0.9334713320044264]
['searched', 0.9334713320044264]
['integrity', 0.9334713320044264]
['lonesome', 0.9334713320044264]
['recovery', 0.9334713320044264]
['shakin', 0.9334713320044264]
['arch', 0.9334713320044264]
['disputes', 0.9334713320044264]
['forcibly', 0.9334713320044264]
['portraits', 0.9334713320044264]
['drawl', 0.9334713320044264]
['paster', 0.9334713320044264]
['annees', 0.9334713320044264]
['cooled', 0.9334713320044264]
['partridges', 0.9334713320044264]
['dismalness', 0.9334713320044264]
['12th', 0.9334713320044264]
['naming', 0.9334713320044264]
['consecrate', 0.9334713320044264]
['authorising', 0.9334713320044264]
['mrs', 0.9334713320044264]
['beseems', 0.9334713320044264]
['_caballo_', 0.9334713320044264]
['greetings', 0.9334713320044264]
['verse', 0.9334713320044264]
['cheerily', 0.9334713320044264]
['francis', 0.9334713320044264]
['start', 0.9334713320044264]
['whistling', 0.9334713320044264]
['loyally', 0.9334713320044264]
['moonlight', 0.9334713320044264]
['unenforceability', 0.9334713320044264]
['ceaseless', 0.9334713320044264]
['4557', 0.9334713320044264]
['adieux', 0.9334713320044264]
['inspired', 0.9334713320044264]
['conventional', 0.9334713320044264]
['_ameto', 0.9334713320044264]
['founders', 0.9334713320044264]
['stateroom', 0.9334713320044264]
['bless', 0.9334713320044264]
['obligated', 0.9334713320044264]
['heavy', 0.9334713320044264]
['punitive', 0.9334713320044264]
['anarchy', 0.9334713320044264]
['safety', 0.9334713320044264]
