['undoubtedly', 0.9975319615512502]
['happily', 0.996682545108063]
['whom', 0.9953801981605275]
['bulky', 0.9953650328419433]
['barrel', 0.9942133299433794]
['arrivals', 0.9931377962105039]
['incongruities', 0.9928994046112893]
['cathedral', 0.9927763218803276]
['laudable', 0.992633873967655]
['canace', 0.9923193704386931]
['rounding', 0.9917902141161535]
['feverish', 0.9917184463273128]
['revealment', 0.9917184463273128]
['fascinated', 0.9909123601515422]
['suggestive', 0.9906765022953453]
['tribune', 0.9901953491056659]
['broods', 0.9896434967251023]
['summon', 0.9892798224889607]
['monarch', 0.9892462099580824]
['meerschaums', 0.9883924709632206]
['scalp', 0.9882428487314658]
['packers', 0.9877368359182526]
['usance', 0.9871332560401722]
['armchairs', 0.9871120139285835]
['creeps', 0.9869065374496374]
['danae', 0.986785196466066]
['sported', 0.9867729688739629]
['amnii', 0.9861091298648096]
['ripening', 0.9854285524066445]
['heap', 0.9853167292155458]
['accidents', 0.9852100310685743]
['ridgepole', 0.9849070765927079]
['fearfully', 0.984855591563222]
['churchly', 0.9847388927665071]
['records', 0.9845441743678836]
['expositions', 0.9844903272475178]
['trace', 0.9844727183008785]
['bites', 0.9844088584397633]
['crop', 0.9843197176227073]
['china', 0.984083025069407]
['boughs', 0.983927921252434]
['hurled', 0.983927921252434]
['rosy', 0.983927921252434]
['employee', 0.983927921252434]
['constrictor', 0.9836799173786852]
['headstones', 0.9836799173786852]
['artfully', 0.9836425124666027]
['state', 0.9836425124666027]
['congratulating', 0.9835223492960173]
['southeastward', 0.9835223492960173]
['amadee', 0.9835223492960173]
['tormented', 0.9835223492960173]
['python', 0.9835223492960173]
['quote', 0.9835223492960173]
['rheinfeldt', 0.9835223492960173]
['rules', 0.9835223492960173]
['bounty', 0.9835223492960173]
['smile', 0.9835223492960173]
['puff', 0.9835223492960173]
['sightless', 0.9835223492960173]
['mouthing', 0.9832215568322314]
['blackmail', 0.9827867305422281]
['clair', 0.9825561295915942]
['forward', 0.9816224902832509]
['chymera', 0.9810439246952568]
['creator', 0.9808840385295943]
['snare', 0.98079681424835]
['huntsman', 0.9805684377281261]
['anear', 0.980411294273152]
['taxes', 0.9803732303995175]
['intestine', 0.9803732303995175]
['gesticulations', 0.9803732303995175]
['dodging', 0.9800568291810419]
['pathetic', 0.9799676934298146]
['thoughtless', 0.9792649659208079]
['explicit', 0.9791102949506746]
['recovering', 0.9790706634689476]
['purchases', 0.9788457640460605]
['voided', 0.9787036839069319]
['txt', 0.9787022466131563]
['bill', 0.9781848620122159]
['scrap', 0.9781150892476947]
['now_', 0.9780906458801949]
['flaring', 0.9778205799674645]
['akin', 0.977803932499119]
['conseilleurs', 0.9776712990134219]
['evils', 0.9773258244243359]
['jesuit', 0.9769465851688295]
['wakened', 0.9769041625045508]
['eut', 0.9767588923958849]
['engender', 0.976736016675135]
['domiciled', 0.976736016675135]
['keeps', 0.976736016675135]
['presumptuous', 0.976736016675135]
['beech', 0.976736016675135]
['aristocratic', 0.976668984146821]
['ox', 0.976668984146821]
['newman', 0.976668984146821]
['baptize', 0.9765873768148715]
['motion', 0.9765471903251685]
['easterly', 0.9764137215625084]
['button', 0.9763791899486802]
['_must_', 0.9763791899486802]
['fellowship', 0.9763253804459447]
['inasmuch', 0.976152532766763]
['attributed', 0.976152532766763]
['curve', 0.976152532766763]
['enjoyed', 0.976152532766763]
['claim', 0.975477595172873]
['strikingly', 0.975477595172873]
['jump', 0.9748519111161288]
['cant', 0.9748519111161288]
['scouted', 0.9735256625955299]
['coiffe', 0.9733940886152623]
['condemning', 0.9733799782491697]
['refilled', 0.9733528787056182]
['nosin', 0.9733528787056182]
['worlds', 0.9733001485852156]
['scoffer', 0.973135284177901]
['fault', 0.9727419229864501]
['entrance', 0.9727419229864501]
