['laudable', 0.9986544800537759]
['sported', 0.9984679184714397]
['churchly', 0.9972123577449037]
['blackmail', 0.9968557696008101]
['coiffe', 0.9964901864268824]
['trouble', 0.9957517943681674]
['bowels', 0.9955545758099258]
['practice', 0.995524852270295]
['happily', 0.9951521853324804]
['scoffer', 0.9950928057937708]
['cadaverous', 0.9946853699946034]
['intimidated', 0.994285664137174]
['persistent', 0.9937331988575598]
['whom', 0.9932490587369065]
['tinned', 0.9928081060007046]
['waddled', 0.99257512744084]
['ransomed', 0.99257512744084]
['anderson', 0.99257512744084]
['jason', 0.9921037146302659]
['voltaire', 0.9919000311913395]
['barrel', 0.9915439079383525]
['fascinated', 0.9913210859638399]
['profile', 0.9909576271699805]
['booming', 0.990748607052781]
['topics', 0.9906289407760718]
['correctly', 0.9902390246910483]
['despise', 0.9901568512470541]
['savant', 0.9898484505815439]
['mousedom', 0.9898484505815439]
['gloriously', 0.9898328684949157]
['ledges', 0.989716002206105]
['robbing', 0.9895828140699577]
['tables', 0.9890204185054209]
['excepting', 0.988986495812025]
['ichthiosaurus', 0.9889838061741617]
['_oyama_', 0.9889838061741617]
['depravity', 0.9888818945257544]
['sleeps', 0.9888818945257544]
['thing', 0.9888818945257544]
['fantastic', 0.9887120105752796]
['published', 0.9887120105752796]
['torchlight', 0.9887091147319825]
['folly', 0.9887091147319825]
['make', 0.9887091147319825]
['foresaw', 0.9887091147319825]
['glonglim', 0.9887091147319825]
['stench', 0.9886524498144971]
['candlestick', 0.9885993106547029]
['habitually', 0.9885993106547029]
['makers', 0.9885993106547029]
['intensest', 0.9885993106547029]
['prosecuted', 0.9885993106547029]
['lui', 0.9885993106547029]
['princeton', 0.9885993106547029]
['support', 0.9885993106547029]
['begotten', 0.9885993106547029]
['plenipotentiaries', 0.9885993106547029]
['faggots', 0.9885993106547029]
['hog', 0.9885993106547029]
['delegating', 0.9885993106547029]
['mistake', 0.9885993106547029]
['sacrifice', 0.9885993106547029]
['imbecility', 0.9885993106547029]
['rackett', 0.9885993106547029]
['dear', 0.9885409678068733]
['forfend', 0.988389634095362]
['feverish', 0.9878981210982305]
['revealment', 0.9878981210982305]
['through', 0.9876659930689381]
['incongruous', 0.9876218955309244]
['packers', 0.987555402557508]
['_xi_', 0.9874145693772337]
['exactly', 0.987173785156646]
['clair', 0.9869715419465941]
['akin', 0.9867705273137604]
['grossness', 0.9864710837608837]
['undulating', 0.9864710837608837]
['gushing', 0.9864710837608837]
['recollected', 0.9864710837608837]
['busy', 0.9859990944174547]
['deposits', 0.9854921529281175]
['quavered', 0.9852540465608147]
['smoky', 0.9849938918964426]
['purchases', 0.9847463463220645]
['monarch', 0.9842854288016571]
['rabats', 0.9842177351810008]
['yell', 0.9842122995379974]
['paying', 0.9841166773099081]
['marcia', 0.9840078469101408]
['weigh', 0.9840078469101408]
['dominates', 0.9840078469101408]
['accounts', 0.9839332446143989]
['chymera', 0.9838903837654349]
['smarting', 0.9837980001321929]
['tranquil', 0.9837980001321929]
['plottings', 0.9837980001321929]
['horn_', 0.9833279327116697]
['consolation', 0.9830453995741513]
['raillery', 0.9829976615502591]
['upsetting', 0.9829740069220148]
['sometime', 0.9828838964610404]
['cognac', 0.9828838964610404]
['apothecary', 0.98259276889046]
['assemblage', 0.9823925294411686]
['impotent', 0.982277307467044]
['thou', 0.9821028665742384]
['armchairs', 0.9811667166707663]
['volunteered', 0.9810783871990252]
['596', 0.9810539548125529]
['danae', 0.9806891365558883]
['doubled', 0.9806749053214311]
['retired', 0.9806749053214311]
['brigantine', 0.9806165410538806]
['void', 0.9800815622135901]
['reducible', 0.9800815622135901]
['descend', 0.9800815622135901]
['slouched', 0.9800815622135901]
['seemingly', 0.9800815622135901]
['hesper', 0.9798221049904793]
['delirious', 0.9798221049904793]
['personnes', 0.9798221049904793]
['husky', 0.9798221049904793]
['chariots', 0.9798221049904793]
['big', 0.9798221049904793]
['grabbing', 0.9798221049904793]
['finances', 0.9796473982332393]
['gloaming', 0.9792717012414017]
['that', 0.9791915222074781]
['suffused', 0.9789278466136707]
['refusing', 0.9788695694984465]
['liveliness', 0.9787497396847308]
['chiuso', 0.9787497396847308]
['untiring', 0.9787497396847308]
['entitled', 0.9787497396847308]
['radically', 0.9787497396847308]
['tarred', 0.9787497396847308]
['neat', 0.9787304002626902]
['_from', 0.9787304002626902]
['son', 0.9787304002626902]
['terribly', 0.9787304002626902]
['solar', 0.9787304002626902]
['lear', 0.9787304002626902]
['extricate', 0.9787109883152522]
['ripening', 0.9787066652988257]
['heap', 0.9785432574685355]
['gapped', 0.9782908594009553]
['artifices', 0.9779678067485005]
['freeing', 0.9779678067485005]
['breathed', 0.9779678067485005]
['pessimistic', 0.9779678067485005]
['situated', 0.9779678067485005]
['bald', 0.9779678067485005]
['headgear', 0.9779678067485005]
['perforation', 0.9779678067485005]
['pinks', 0.9779678067485005]
['sceptre', 0.9779678067485005]
['saturninus', 0.9779678067485005]
['souffrante', 0.9779678067485005]
['valparaiso', 0.9779678067485005]
['chang', 0.9779678067485005]
['odd', 0.9779678067485005]
['overrun', 0.9779678067485005]
['catechism', 0.9779678067485005]
['strained', 0.9779678067485005]
['piles', 0.9779678067485005]
['streak', 0.9779678067485005]
['lighten', 0.9779678067485005]
['name', 0.9777563457569481]
['maigs', 0.977637444441227]
['regained', 0.977588362388517]
['involve', 0.9774184387718762]
['notion', 0.9774184387718762]
['rift', 0.9773564613822429]
['des', 0.9773502433206328]
['expositions', 0.977335631830095]
['readiest', 0.9770159121427637]
['jetes', 0.9769038482456266]
['coasts', 0.9768267535526587]
['unkind', 0.9767332451579924]
['huntsman', 0.9766260736057946]
['boughs', 0.9765137849261039]
['hurled', 0.9765137849261039]
['rosy', 0.9765137849261039]
['employee', 0.9765137849261039]
['flattered', 0.9761574486569724]
['determine', 0.9761574486569724]
['constrictor', 0.9761513755321787]
['headstones', 0.9761513755321787]
['disparagingly', 0.9760325453032691]
['congratulating', 0.9759211204459235]
['southeastward', 0.9759211204459235]
