['consistently', 0.994691478662823]
['osiris', 0.9934163413088416]
['withstood', 0.9933186977331439]
['wilder', 0.992430293490433]
['eut', 0.9910995406376567]
['topics', 0.9910765618121098]
['denies', 0.9895589641167551]
['ambiguously', 0.9887769084641067]
['nominations', 0.9879979920586379]
['arter', 0.9856256815216443]
['incongruities', 0.9855126430925887]
['cathedral', 0.9852615171862434]
['jerusalem', 0.9851914274809154]
['signatures', 0.9851653880593864]
['bottles', 0.9849548519209426]
['psychic', 0.9844682221095465]
['clerge', 0.9839610463137585]
['conclusions', 0.9835531491189233]
['chymera', 0.9830813048826869]
['_ad', 0.9829217932614965]
['consolation', 0.981941065826634]
['clair', 0.9818094248648467]
['purchases', 0.9817146175635494]
['scouted', 0.9813533464269981]
['hampered', 0.9813075143969098]
['declarations', 0.9812657516948382]
['tribune', 0.9799955540228887]
['jubilant', 0.9798300490204337]
['summarized', 0.978941608264982]
['fiammetta_', 0.9784734498379449]
['dimmed', 0.978178733409981]
['lazily', 0.9779329722122025]
['discovers', 0.977769873971532]
['_short', 0.9771185246701785]
['decidedly', 0.9770021339541476]
['cultures', 0.9769797302940855]
['mesmerised', 0.9769299481164174]
['fastening', 0.9767450331615808]
['thoughts', 0.9758478590558651]
['sailing', 0.9757382669656083]
['matter', 0.9755607773317414]
['sod', 0.9752703245537477]
['petition_', 0.9750771686479172]
['hosts', 0.9747265688679801]
['refusing', 0.974465794658892]
['illustrated', 0.9744298441688276]
['impersonal', 0.9740770056171413]
['usance', 0.9737479603078538]
['compounded', 0.9733488818964705]
['lithe', 0.973192925395606]
['anaxagoras', 0.9729247665941335]
['pyramids', 0.9723549403637147]
['noised', 0.9720280854389768]
['endurance', 0.9720208653278624]
['rug', 0.9718662522364512]
['gunboat', 0.9717891714605935]
['whitling', 0.9717826519220709]
['_premier', 0.971755416935282]
['amnii', 0.971658433921899]
['wakefield', 0.9707063858622079]
['boulevard', 0.9703888157630874]
['accidents', 0.9698240011112653]
['depleted', 0.9697949406482375]
['cordon', 0.969582972157579]
['mass', 0.9694351634766983]
['spurs', 0.9693750653604953]
['flowery', 0.969342298065982]
['amaze', 0.9692583079115242]
['butting', 0.9692102512493618]
['encouraged', 0.9690134134283651]
['quiver', 0.9687297224051585]
['des', 0.9683759890095924]
['amuse', 0.9671541633300863]
['mattered', 0.9670017597351813]
['deprecatory', 0.9669068734250207]
['heresy', 0.9667975168378444]
['foamlike', 0.9667229698806725]
['hangchow', 0.9666776486836101]
['lethargy', 0.9666599198847424]
['facilities', 0.9665568215163535]
['streamlets', 0.9664294611085602]
['worlds', 0.9664077248655369]
['track', 0.9663415126692332]
['anoint', 0.9663126416175611]
['dozens', 0.9662191701198228]
['dutchman', 0.9660714752214734]
['crests', 0.9659353752345274]
['consequently', 0.9653802245485766]
['complex', 0.9653464672803976]
['sycamores', 0.9648114764304022]
['unfrequent', 0.9644369021930456]
['dramatic', 0.9644008678391711]
['baptize', 0.9640687168254003]
['liquor', 0.9640387614135744]
['bill', 0.9635058488846702]
['locating', 0.9629157968165569]
['sert', 0.9628122514166406]
['noble', 0.9628107345701845]
['languish', 0.9625746002971715]
['eloquently', 0.962201402610324]
['growl', 0.9618756036791443]
['sings', 0.9617142291850119]
['foothold', 0.961378978299882]
['creator', 0.9609976711403104]
['attack', 0.9609260996166747]
['defenses', 0.9608771877693703]
['processes', 0.9608071500338567]
['sing', 0.9605773978815828]
['shot', 0.9604120442569879]
['severest', 0.9602536648199563]
['topper', 0.9601968701447754]
['pastures', 0.9601927511635472]
['egg', 0.9601365037510078]
['taxes', 0.9599554684394783]
['intestine', 0.9599554684394783]
['gesticulations', 0.9599554684394783]
['sacrificial', 0.9597408440308708]
['spake', 0.9595976867210458]
['enraptured', 0.9593205409104723]
['dodging', 0.9593099144926525]
['valley', 0.9592654801035564]
['ridiculous', 0.9592536317339564]
['bowling', 0.9591041450274366]
['rebellious', 0.9584870818778924]
['recent', 0.9582656645302644]
['chamberlains', 0.9578353064457136]
['blockhouse', 0.9577614219782864]
['paintings', 0.957458717980985]
['_jesus', 0.9574351769760978]
['_with', 0.9573807947052844]
['thraldom', 0.9572696538148765]
['rise', 0.9572276463319256]
['ruts', 0.9571733983929792]
['finger', 0.9569982670297126]
['tomahawks', 0.9569760876856263]
['fans', 0.9569513201578854]
['idiotic', 0.9569101245821888]
['obstructing', 0.9568341616431065]
['bally', 0.9567575878198621]
['1323', 0.9564487924007584]
['talk', 0.9563470051254098]
['incapacitated', 0.9561432093604809]
['manufacture', 0.9558714456152482]
['spends', 0.9558707257795742]
['spiritualists', 0.9557071136130816]
['wing', 0.9555622330177312]
['scrap', 0.9553481791879627]
['ringing', 0.9551312300539947]
['faire_', 0.9548485734367994]
['flaring', 0.9547472914001548]
['assemble', 0.954335851023954]
['resplendent', 0.9539782634350306]
['holding', 0.9537987684561172]
['kindly', 0.9537567540243289]
['evils', 0.953737840819909]
['babe', 0.9536519887414973]
['extended', 0.9536426977741016]
['beatrice', 0.9536375891931986]
['disdain', 0.9536354800120677]
['totally', 0.9534825345665482]
['balancing', 0.9530409989101425]
['departments', 0.952975032594545]
['valor', 0.9529489215102657]
['archbishop', 0.952906562907653]
['sporadic', 0.9527525867008712]
['tres', 0.952667709160964]
