['damn', 0.9964948614235651]
['consistently', 0.9963406031899209]
['whimpers', 0.9959126295979601]
['arrivals', 0.9946149011013389]
['packers', 0.9942507444161761]
['field', 0.9941495237762624]
['creak', 0.9933995335993525]
['veenah', 0.9930938618034701]
['churchly', 0.9928452391737882]
['cord', 0.9926339536054155]
['caesars', 0.9920209108318767]
['spain', 0.9919156294222863]
['robbing', 0.9912049391502775]
['nigger', 0.9906106393457256]
['aegis', 0.9904365302393279]
['unanswered', 0.9903990828881185]
['arter', 0.9900911512178779]
['incongruities', 0.9900132288661666]
['hailed', 0.9896334526225646]
['unconsciously', 0.9888009941834228]
['prelate', 0.9885636375057227]
['advance', 0.9883456068726952]
['_ad', 0.988227242335248]
['temporarily', 0.9881622967202475]
['gestures', 0.9875635073624611]
['clair', 0.9874604379647303]
['huntsman', 0.9874477736411041]
['scouted', 0.9871460430749668]
['hampered', 0.9871144490445294]
['plains', 0.9869635400222507]
['tribune', 0.9862100571616108]
['topics', 0.9862004415584165]
['wow', 0.9859962908450346]
['tamen', 0.9858428398370586]
['trenches', 0.9857527541012123]
['apothecary', 0.9856791854588905]
['whither', 0.9855138080108589]
['intimidated', 0.9853335892349818]
['promontories', 0.9848176717371264]
['interposition', 0.9840533082540873]
['impersonal', 0.9821301419120267]
['usance', 0.9819033165347328]
['site', 0.9814661069134426]
['jetes', 0.9809989478621656]
['waddled', 0.9809433268459129]
['ransomed', 0.9809433268459129]
['anderson', 0.9809433268459129]
['arriving', 0.9808198711500777]
['hosts', 0.9805148905830435]
['rooting', 0.9802863695754832]
['pricks', 0.980106871631146]
['lazily', 0.9800598401598319]
['recked', 0.9799019659761009]
['written', 0.9798467693197855]
['perceive', 0.9797748156110859]
['provocation', 0.9795735338814974]
['narratives', 0.979570688912411]
['billy', 0.9794519257736415]
['slight', 0.9792941821130097]
['soups', 0.9792941821130097]
['accidents', 0.9791983591925979]
['bottles', 0.9788890044819044]
['mare', 0.9785647977576386]
['des', 0.9782001808809261]
['antagonistic', 0.9781138169070785]
['indentations', 0.9775279101417134]
['seein', 0.9774188418906353]
['bits', 0.9774188418906353]
['volition', 0.9774113824324947]
['experiencing', 0.9772823657976258]
['cathedral', 0.9772200301867644]
['heresy', 0.977112070715551]
['jerusalem', 0.9771116987260727]
['foamlike', 0.9770606822252447]
['agitations', 0.9768467191454774]
['dozens', 0.9767133909324961]
['piemont', 0.976475675605876]
['panels', 0.9763866958495007]
['victim', 0.9762472670587081]
['muscle', 0.9761000137038219]
['oncommon', 0.9760896557101401]
['prescience', 0.9755984118014248]
['dip', 0.9751677050597647]
['beginnings', 0.9748455311090458]
['despise', 0.9747365807160504]
['selected', 0.9746770567800741]
['harder', 0.9746481910803876]
['seasoned', 0.9745632965571585]
['dramatic', 0.9745353534023429]
['pottery', 0.9743362664400064]
['outreach', 0.9742882035721028]
['assassin', 0.9742882035721028]
['remorselessly', 0.9742380687342469]
['lonesomeness', 0.9741358585487712]
['nobility', 0.9740971239763]
['savant', 0.9739450397655084]
['mousedom', 0.9739450397655084]
['participated', 0.9737852681054785]
['marsh', 0.973434974582746]
['creator', 0.9731139824539723]
['ridiculing', 0.9726148965642383]
['topper', 0.9725619551713378]
['moneyed', 0.9724865444544383]
['taxes', 0.9723955463779653]
['intestine', 0.9723955463779653]
['gesticulations', 0.9723955463779653]
['sacrificial', 0.9722475963507661]
['portmanteaus', 0.972090385950892]
['worlds', 0.9720447374138724]
['arcade', 0.9719838333382137]
['dodging', 0.9719505377015936]
['excepting', 0.9717327472062157]
['bays', 0.9716500205857284]
['speedy', 0.9716500205857284]
['magical', 0.9715158901762051]
['depravity', 0.9714642776118793]
['sleeps', 0.9714642776118793]
['thing', 0.9714642776118793]
['drummed', 0.9714075510546979]
['exigencies', 0.9713778164164856]
['laces', 0.9713778164164856]
['fantastic', 0.9710282535734156]
['published', 0.9710282535734156]
['decidedly', 0.97100564613877]
['tips', 0.9709979555378577]
['judging', 0.9709539247506077]
['coal', 0.9709391664733852]
['scales', 0.9709391664733852]
['china', 0.9709291933225329]
['hesselius', 0.9707924912373199]
['candlestick', 0.9707389980294571]
['habitually', 0.9707389980294571]
['makers', 0.9707389980294571]
['intensest', 0.9707389980294571]
['prosecuted', 0.9707389980294571]
['lui', 0.9707389980294571]
['princeton', 0.9707389980294571]
['support', 0.9707389980294571]
['begotten', 0.9707389980294571]
['plenipotentiaries', 0.9707389980294571]
['faggots', 0.9707389980294571]
['hog', 0.9707389980294571]
['delegating', 0.9707389980294571]
['mistake', 0.9707389980294571]
['sacrifice', 0.9707389980294571]
['imbecility', 0.9707389980294571]
['rackett', 0.9707389980294571]
['title', 0.9707034844157715]
['dear', 0.9705892553135912]
['spends', 0.9695797539359223]
['plea', 0.9695425435594335]
['weaken', 0.9692595823079176]
['chercher', 0.9690044661260916]
['sanction', 0.9688170848060005]
['familiars', 0.9684849595082208]
['undoubtedly', 0.9684465746473082]
['through', 0.9683435457117013]
['portuguese', 0.9680517777589541]
['equaled', 0.9678152152749526]
['blackmail', 0.9677434703598995]
['nominations', 0.9677337311527331]
['orphan', 0.9675666279103062]
['watertown', 0.9674503119485042]
['vieillard', 0.9666693154253211]
['leucothea', 0.9665827449007919]
['cargoes', 0.9664804923843954]
['expects', 0.9660486046844058]
['metz', 0.9660221849321663]
['hullo', 0.9658543124515591]
['contradictory', 0.9658074981398086]
['claim', 0.9655099845501552]
['strikingly', 0.9655099845501552]
['saddle', 0.9652435826373181]
['syndicates', 0.9651527334613303]
['freedmen', 0.9649780263666743]
['tried', 0.9649393692496375]
['espied', 0.9647656101979554]
['needleworkers', 0.9647449317914576]
['jump', 0.9646299789823506]
['cant', 0.9646299789823506]
['pail', 0.9646161398009561]
['hates', 0.9646161398009561]
['inflamed', 0.9646161398009561]
['_areopagitica_', 0.9645167347654701]
['coachmen', 0.9645104021151927]
['immense', 0.9644325925854891]
['si', 0.9643591968366786]
['medium', 0.9640805930145162]
['fastening', 0.964037597707647]
['canace', 0.9640227373949166]
['misinterpreted', 0.9635927388926869]
['alertly', 0.963318818989064]
['spiritualists', 0.9631397616062775]
['eight', 0.9624171938510472]
['nervousness', 0.9623401210339458]
['travels', 0.9622971089696561]
['darkly', 0.9618343054730591]
['sociable', 0.9618303052694237]
['consolation', 0.9617690785416477]
['1698', 0.9616743264880336]
['scrap', 0.9615727573773203]
['unscaleable', 0.9605093651311136]
['worried', 0.9604017597928258]
['abundant', 0.9604017597928258]
['foyer', 0.9604017597928258]
['attorney', 0.9602270836097251]
['real', 0.9601554320560864]
['aurore', 0.9601468679753875]
['_descending_', 0.9597761950329408]
['thinks', 0.9595016245833575]
['repulsions', 0.9595016245833575]
['parisians', 0.9595016245833575]
['fester', 0.9595016245833575]
['lustre', 0.9590757569677186]
['hide', 0.9589738763914056]
['marcia', 0.9589545501238812]
['weigh', 0.9589545501238812]
['dominates', 0.9589545501238812]
['caves', 0.9587897223300329]
['pony', 0.9586089864989819]
['noiseless', 0.9582979416315014]
['perpetual', 0.958152977858468]
['mesmerised', 0.957732476553959]
['descant', 0.9575805366187158]
['track', 0.957565363231691]
['seam', 0.95720448324285]
['feebly', 0.95720448324285]
['affect', 0.9569932182229143]
['italy', 0.9569902609410128]
['endurance', 0.9567319573550622]
['upsetting', 0.956301097072618]
