['consistently', 0.9982086997018425]
['topics', 0.9969888870230935]
['ambiguously', 0.9962128950911995]
['prematurely', 0.9959649569514508]
['turvy', 0.9955962750268434]
['happily', 0.9954320194474329]
['xix', 0.9952304070402634]
['incongruities', 0.9951114057758386]
['clair', 0.993861796799222]
['scouted', 0.993707898304743]
['whom', 0.9936387484843532]
['tribune', 0.9932497266626166]
['recovering', 0.9926171740197649]
['lazily', 0.9925537318313288]
['scoffed', 0.9923154572128581]
['barrel', 0.9920320254098973]
['expanse', 0.9913588773015949]
['impersonal', 0.9912525796511452]
['satires', 0.9911838536837279]
['usance', 0.9911415470446628]
['prelate', 0.9910999366091067]
['xii', 0.9907033786131246]
['arrivals', 0.9906935789770066]
['accidents', 0.9898174515324942]
['_descending_', 0.9895656095718403]
['des', 0.9893288362769999]
['financial', 0.9891012362779752]
['oliffe', 0.9889299143215992]
['apothecary', 0.9888551838673459]
['foamlike', 0.9887710437260389]
['rounding', 0.9886955080084738]
['worlds', 0.9886646678722488]
['track', 0.9886423253178072]
['feverish', 0.9885966871128161]
['revealment', 0.9885966871128161]
['cord', 0.9885351168459608]
['spain', 0.9881279324070116]
['chatty', 0.9877641163651617]
['irrelevant', 0.9877641163651617]
['suggestive', 0.9871619788108407]
['germain', 0.9871399103409039]
['robbing', 0.9870842688507879]
['creator', 0.9868391066216652]
['topper', 0.9865688854110956]
['pastures', 0.9865674955076114]
['taxes', 0.9864874271444317]
['intestine', 0.9864874271444317]
['gesticulations', 0.9864874271444317]
['sacrificial', 0.9864150045727378]
['dodging', 0.9862695922891157]
['rebellious', 0.9859919367585952]
['fairy', 0.9859377808593448]
['undermines', 0.9859340001199588]
['blockhouse', 0.9857470710583441]
['ruled', 0.9853866368540818]
['nigger', 0.9853859292996671]
['summon', 0.9852388159038682]
['jetes', 0.9852129058863762]
['monarch', 0.9851925330176268]
['yell', 0.985123625050402]
['accosted', 0.9850942122673304]
['ringing', 0.9848595426339598]
['superintend', 0.9848134304876615]
['dispelled', 0.9846576298145034]
['decide', 0.9844392106185654]
['crew', 0.9843951042581129]
['rug', 0.9842513910146029]
['hosts', 0.9842470321307883]
['joint', 0.9841538420684681]
['tres', 0.984028255458132]
['eagen', 0.9838996630681598]
['bottles', 0.983791394622398]
['allumettes', 0.9834982558337608]
['barbarians', 0.9834729352614427]
['metz', 0.9833676222009827]
['claim', 0.9831168965364455]
['strikingly', 0.9831168965364455]
['british', 0.9829652761530147]
['seizure', 0.9828716759129613]
['cordial', 0.9828689562181614]
