['arrivals', 0.9914154691253144]
['bottles', 0.9897316914833245]
['wilder', 0.9896673556933459]
['veenah', 0.9889907395038379]
['behooves', 0.9883244753428609]
['scrap', 0.9878100589101537]
['spain', 0.9871124876009171]
['raking', 0.9869066088708431]
['curtly', 0.9862790572371201]
['displease', 0.9861349071301498]
['germain', 0.9860399577717363]
['robbing', 0.9859795571390616]
['proserpine', 0.9854745944726685]
['fiammetta_', 0.9853081367360315]
['prima', 0.9853067494152378]
['terrestrials', 0.9851275867853279]
['doomed', 0.9846054659714292]
['livery', 0.9845338026749985]
['_short', 0.9843834007635752]
['wilts', 0.9843157964480131]
['nominations', 0.9836172672128043]
['superintend', 0.9835144888321401]
['sobs', 0.9832480446157637]
['hid', 0.9832274272127802]
['consolations', 0.9823550434748473]
['schuyler', 0.9821995882782122]
['_whether', 0.9814171661663106]
['shantyin', 0.9811502089069033]
['temporarily', 0.9811291990727101]
['marcy', 0.9804984815548671]
['huntsman', 0.9799901586299976]
['emerson', 0.9799478961015011]
['cathedral', 0.9798819808480272]
['jerusalem', 0.9797863084472812]
['hugged', 0.9792199465174732]
['plains', 0.9792182288047829]
['hazed', 0.978263999964225]
['underhand', 0.9780425286984877]
['beef', 0.9780303856811449]
['wondered', 0.9778665060049491]
['frock', 0.9777666613979106]
['catastrophe', 0.9772041591679497]
['lovingly', 0.9768883162290383]
['competitors', 0.9760212255324301]
['similarly', 0.9758955817958248]
['negotiations', 0.9757796167799542]
['consolation', 0.9753495669700218]
['angry', 0.9750311214624076]
['informed', 0.9740692664705903]
['execrating', 0.9737529947467245]
['escaped', 0.9725830942141847]
['marauders', 0.9722485068923186]
['grant', 0.9720272259599462]
['forlorn', 0.9713327115669512]
['irregularity', 0.9713275349818378]
['paintings', 0.9709655892935877]
['keepers', 0.9709072219642563]
['forests', 0.9707152825846477]
['suffering', 0.9705788422758624]
['headforemost', 0.9704779516447378]
['praying', 0.9699981636367102]
['wing', 0.9696712389423915]
['carry', 0.9689109935947607]
['usque', 0.9685431816030325]
['quietly', 0.9685034590581374]
['totally', 0.9682518454471474]
['spendthrift', 0.9676791357086819]
['captions', 0.9676135398513754]
['billy', 0.9672437626623048]
['clutches', 0.967060507719391]
['sailing', 0.966882750686498]
['matter', 0.9666404774553565]
['ye', 0.9665718251479563]
['trout', 0.9662802023916333]
['duty', 0.9659180622590319]
['mare', 0.9658295680511215]
['falling', 0.9655499765602001]
['command', 0.9654290415977442]
['honorably', 0.9653204736308395]
['indentations', 0.9641766376370297]
['volition', 0.9639908776841729]
['craftily', 0.9639599583907567]
['experiencing', 0.9637852087993072]
['sewers', 0.9636479230966979]
['scuffle', 0.9635632686497745]
['ni', 0.9634413494154911]
['treetops', 0.9633876993281303]
['resuming', 0.9631931297121545]
['avidity', 0.963013907912953]
['replica', 0.9623435824940614]
['naples', 0.9620781968205772]
['preacher', 0.9618216570245349]
['launched', 0.9617760486236]
['blackmail', 0.9614435707911348]
['review', 0.9614426874476782]
['balkan', 0.961118238460133]
['heartily', 0.960994765840781]
['_status_', 0.9608771158691872]
['clotho', 0.9604600101956217]
['emptied', 0.9603846306085077]
['archdukes', 0.9602774810669558]
['generations', 0.9601777023528792]
['take', 0.9601647117168821]
['wakefield', 0.9600142363565038]
['guide', 0.9598519980194324]
['afro', 0.9597945360770279]
['moulded', 0.9597871079021459]
['marvel', 0.9595240928616408]
['shoes', 0.9592142471668107]
['preserves', 0.9591754791052424]
['inextricable', 0.9591650468319028]
['lunatic', 0.959047439842243]
['newsletter', 0.9588155926340575]
['insistent', 0.9585027320523349]
['cordon', 0.9584807774034414]
['pout', 0.9583396154180454]
['impression', 0.958029226645499]
['chasseurs', 0.957963558992721]
['visitation', 0.9579087786915901]
['desirable', 0.9574914091429241]
['_gul_', 0.9573918074654711]
['quiver', 0.9573160920638765]
['tend', 0.9573120650261946]
['maris', 0.9572421702341416]
['especially', 0.9571082977314468]
['inner', 0.9569145515532707]
['1513', 0.9565586486725217]
['latest', 0.9565533152019777]
['rains', 0.9560585635144657]
['ultimate', 0.9559665414279341]
['vienne', 0.9559095117929374]
['brick', 0.955334154800059]
['competition', 0.9550940075792141]
['osiris', 0.9550665515194172]
['tapestry', 0.9550615287839516]
['sod', 0.9549920128110332]
['mattered', 0.9549574241787366]
['melt', 0.9544991069584084]
['legitimate', 0.9544674984692078]
['sociable', 0.9543755280179337]
['church', 0.9543378851270045]
['needs', 0.9542865524658786]
['bookshelf', 0.9542733162277471]
['radio', 0.9541362072538845]
['opportunity', 0.9540585834745813]
['collection', 0.953813329662214]
['china', 0.9536574458202098]
