['consistently', 0.9992408824431727]
['denies', 0.9985069338245044]
['ambiguously', 0.9983951000126698]
['incongruities', 0.997928310676003]
['cathedral', 0.9978923997184364]
['jerusalem', 0.9978823769037036]
['scouted', 0.9973335320319404]
['tribune', 0.9971393679724936]
['refusing', 0.9963486134192732]
['impersonal', 0.9962930166591306]
['usance', 0.996245963241539]
['noised', 0.9960000214574555]
['amnii', 0.9959471613597563]
['butting', 0.9955970716961755]
['hangchow', 0.9952349100036786]
['facilities', 0.9952176317413942]
['worlds', 0.9951963109482561]
['creator', 0.9944226742789567]
['pastures', 0.9943075708730567]
['sacrificial', 0.9942429482377348]
['blockhouse', 0.9939598912549994]
['thraldom', 0.9938895684997495]
['1323', 0.9937721854712939]
['scrap', 0.9936147979880303]
['holding', 0.993393232543611]
['evils', 0.9933845199030462]
['valor', 0.993271704589547]
['tres', 0.9932314912762734]
['metz', 0.9929515279978428]
['springin', 0.9927581112690642]
['cordial', 0.992740203239542]
['freedmen', 0.9927349242403619]
['_really_', 0.992668721126369]
['jump', 0.9926627241227578]
['cant', 0.9926627241227578]
['patten', 0.9923124686637562]
['rockiness', 0.9917081358019428]
['dispose', 0.9914273886444319]
['coiffe', 0.9913740503945283]
['descant', 0.9912003641378175]
['surround', 0.9907814025204121]
['buckshot', 0.9905054372081703]
['stoutest', 0.9904191019983642]
['exhibitions', 0.9900894245253756]
['tensity', 0.9900703192706153]
['affidavy', 0.9900553601606542]
['claret', 0.9900102495842321]
['freezing', 0.9896610598164644]
['conducive', 0.9896442194859856]
['suspected', 0.9893169902917764]
['fiords', 0.9891071416255046]
['reigning', 0.9891071416255046]
['asparagus', 0.9889889750053]
['steamboats', 0.9889196044120245]
['occasioned', 0.9889171284680577]
['tremendously', 0.988902153344347]
['gunboat', 0.9888776158184704]
['services', 0.9886599069168324]
['lustre', 0.9885575958540929]
['preached', 0.9885559078493472]
['sixteenth', 0.9884041742355512]
['daylight', 0.9883981711673302]
['invades', 0.9882712455932267]
['duvall', 0.988241952334824]
['feces', 0.988102621172868]
['example', 0.9880511662601772]
['loi', 0.98793355160987]
['bickering', 0.9877195951711149]
['languidly', 0.9876054165657031]
['lawn', 0.9874914362990423]
['ennobles', 0.9872525366804825]
['gosh', 0.9870743254790902]
['patineurs', 0.9869525350618017]
['felicitations', 0.9867055398885671]
['depth', 0.9865542407798813]
['prematurely', 0.986320229952026]
['scalp', 0.9862788042803474]
['greatly', 0.9862686960336804]
['deprecatory', 0.9862143109267534]
['whither', 0.986128640651359]
['stitched', 0.9860165888806547]
['relinquish', 0.9859301022944453]
['dominating', 0.9859301022944453]
['1880', 0.985835550807727]
['trapper', 0.9857972773024635]
['jauntily', 0.9857972773024635]
['semi', 0.9857373413291716]
['tongtoia', 0.985704309782031]
['carnot', 0.9855701091739021]
['cited', 0.9855693212170812]
['aint', 0.9855693212170812]
['lissa', 0.9855362167423009]
['steamer', 0.985523289861047]
['webbed', 0.985523289861047]
['groupe', 0.985523289861047]
['weave', 0.985490001437319]
['scotchman', 0.985490001437319]
['faculty', 0.9854302987997562]
['foot', 0.9853830574089746]
['systems', 0.9853830574089746]
['walnut', 0.9853830574089746]
['hazing', 0.9853830574089746]
['sterile', 0.9853830574089746]
['proves', 0.9853830574089746]
['see', 0.9853830574089746]
['absurd', 0.9853830574089746]
['minnows', 0.9853830574089746]
['frances', 0.9853830574089746]
['busily', 0.9853830574089746]
['wrangling', 0.9853830574089746]
['recites', 0.9853830574089746]
['footman', 0.9852815957125846]
['makes', 0.9852104870742994]
['winning', 0.9852104870742994]
['unfrequent', 0.9851853886414345]
['henceforward', 0.9850608713809803]
['curtain', 0.9850608713809803]
['dimmed', 0.9849401544487821]
['huntsman', 0.9849398162002684]
['creeps', 0.9847192607972745]
['happily', 0.9845134431551594]
['symmes', 0.9837493774769775]
['brightly', 0.9835045122233982]
['passer', 0.9834269459949335]
['together', 0.983396807954235]
['browse', 0.9833834852207425]
['lightin', 0.9831205069129413]
['sparkled', 0.9830674605393166]
['alms', 0.9830598309038407]
['advocacy', 0.9829765425810295]
['mixes', 0.982955159701306]
['bergs', 0.982955159701306]
['consumed', 0.982955159701306]
['quivering', 0.9829221229096115]
['clumps', 0.9828202663824342]
['flood', 0.9828202663824342]
['premature', 0.9828202663824342]
['oatmeal', 0.9827531136565463]
['flashes', 0.9827470111595976]
['abiding', 0.9826684124579408]
['vegetable', 0.9826684124579408]
['flush', 0.9825174127123759]
['ridgepole', 0.9823857879070226]
['arrogance', 0.9820098247033396]
['dismissed', 0.9820076194896231]
['baying', 0.9820076194896231]
['signatures', 0.9816452699880301]
['china', 0.9814240777124323]
['projecting', 0.98084485738692]
['chase', 0.98064593499153]
['contrariwise', 0.9806385916615882]
['vows', 0.9805113957712546]
['perch', 0.980285218501557]
['_all', 0.9802356347509676]
['forger', 0.9802356347509676]
['intermittent', 0.980165168734722]
['shallow', 0.980165168734722]
['match', 0.980165168734722]
['_political', 0.980165168734722]
['voltaire', 0.9800929817798457]
['smiled', 0.9798081522797517]
['murmurs', 0.9797425874640836]
['cambridge', 0.97940310314072]
