['undoubtedly', 0.9743842478781376]
['outworks', 0.9637278641951357]
['combat', 0.9573207736958301]
['pout', 0.9543042646448567]
['raking', 0.9533246161475641]
['goschen', 0.9495363799346979]
['livery', 0.9448660251755232]
['chattering', 0.9439205881016909]
['ni', 0.9348377730288995]
['misty', 0.9336140621183661]
['balkan', 0.9306970544593732]
['buy', 0.9306118814648643]
['hosts', 0.9297260521630321]
['sameness', 0.9283937702315619]
['sert', 0.9276184178029059]
['resolute', 0.9214884437701292]
['frock', 0.9207424873100444]
['sod', 0.9197776550876696]
['schaff', 0.9180575750808271]
['impart', 0.917913850691501]
['_jesus', 0.9171525743349797]
['convincing', 0.9171034968023296]
['interesse', 0.9158413392601101]
['lessening', 0.9142278658942197]
['endeavors', 0.9138943770034158]
['bullet', 0.910892886220172]
['englishwoman', 0.9092389689468472]
['squealed', 0.9091341177665466]
['special', 0.9085139995873347]
['grub', 0.9076104569872496]
['foiling', 0.9068556986964151]
['night', 0.9063794965708946]
['guide', 0.9045868059253998]
['instinctive', 0.9028756071155152]
['accidents', 0.902109940901265]
