['intimidated', 0.9981380320967599]
['candlestick', 0.9962851820149652]
['habitually', 0.9962851820149652]
['makers', 0.9962851820149652]
['intensest', 0.9962851820149652]
['prosecuted', 0.9962851820149652]
['lui', 0.9962851820149652]
['princeton', 0.9962851820149652]
['support', 0.9962851820149652]
['begotten', 0.9962851820149652]
['plenipotentiaries', 0.9962851820149652]
['faggots', 0.9962851820149652]
['hog', 0.9962851820149652]
['delegating', 0.9962851820149652]
['mistake', 0.9962851820149652]
['sacrifice', 0.9962851820149652]
['imbecility', 0.9962851820149652]
['rackett', 0.9962851820149652]
['inasmuch', 0.9943224669021626]
['attributed', 0.9943224669021626]
['curve', 0.9943224669021626]
['enjoyed', 0.9943224669021626]
['involve', 0.99264198968679]
['notion', 0.99264198968679]
['happily', 0.9921019034158464]
['fantastic', 0.9906625482240982]
['published', 0.9906625482240982]
['jump', 0.989522432936759]
['cant', 0.989522432936759]
['cannibal', 0.9889678553754219]
['sermons', 0.9889678553754219]
['cookery', 0.9889678553754219]
['title', 0.9888420201980056]
['ont', 0.9887407212894976]
['_really_', 0.9876714772950806]
['descant', 0.9874341954124845]
['maigs', 0.9871074957655152]
['huntsman', 0.9855212689866845]
['advisable', 0.9841746876621834]
['whither', 0.9841086396187961]
['justify', 0.9832857994890626]
['protect', 0.9832857994890626]
['sor', 0.9832857994890626]
['seizure', 0.9821279628217213]
['feverish', 0.980283526708167]
['revealment', 0.980283526708167]
['foot', 0.9791271312651563]
['systems', 0.9791271312651563]
['walnut', 0.9791271312651563]
['hazing', 0.9791271312651563]
['sterile', 0.9791271312651563]
['proves', 0.9791271312651563]
['see', 0.9791271312651563]
['absurd', 0.9791271312651563]
['minnows', 0.9791271312651563]
['frances', 0.9791271312651563]
['busily', 0.9791271312651563]
['wrangling', 0.9791271312651563]
['recites', 0.9791271312651563]
['studiously', 0.9787850205547879]
['freedmen', 0.9783807955775439]
['admitted', 0.9781167132106835]
['overhauled', 0.9781167132106835]
['leon', 0.9781167132106835]
['temperament', 0.9781167132106835]
['incursion', 0.9781167132106835]
['scourged', 0.9781167132106835]
['titilation', 0.9781167132106835]
['roadside', 0.9763339130034752]
['robbing', 0.9762841700359651]
['faculty', 0.9754991052519966]
['seafaring', 0.9749348127909445]
['theodoric', 0.9728970587955204]
['cited', 0.9720726655709474]
['aint', 0.9720726655709474]
['relented', 0.9712913200220628]
['lustre', 0.971222984985605]
['apothecary', 0.9705200717933264]
['refusing', 0.9688779625464126]
['danae', 0.9685385941779345]
['hoo', 0.9682159965541389]
['ladder', 0.9668143349511629]
['_great', 0.9668143349511629]
['flippered', 0.9668143349511629]
['wicked', 0.9668143349511629]
['meant', 0.9668143349511629]
['ecumenical', 0.9668143349511629]
['orchestra', 0.9668143349511629]
['employers', 0.9668143349511629]
['butcher', 0.9668143349511629]
['regularity', 0.9668143349511629]
['comite', 0.9668143349511629]
['usurers', 0.9668143349511629]
['warier', 0.9668143349511629]
['undersecretary', 0.9667630118975994]
['proposition', 0.9661469956257858]
['policies', 0.9646920146178684]
['departs', 0.9635766243132291]
['torchlight', 0.9632415963765377]
['folly', 0.9632415963765377]
['make', 0.9632415963765377]
['foresaw', 0.9632415963765377]
['glonglim', 0.9632415963765377]
['button', 0.9615146600617993]
['_must_', 0.9615146600617993]
['congratulating', 0.9607705060116084]
['southeastward', 0.9607705060116084]
['amadee', 0.9607705060116084]
['tormented', 0.9607705060116084]
['python', 0.9607705060116084]
['quote', 0.9607705060116084]
['rheinfeldt', 0.9607705060116084]
['rules', 0.9607705060116084]
['bounty', 0.9607705060116084]
['smile', 0.9607705060116084]
['puff', 0.9607705060116084]
['sightless', 0.9607705060116084]
['springin', 0.9600973038216105]
['wooden', 0.9596510975592913]
['therefore', 0.9596510975592913]
['effects', 0.9596510975592913]
['undeveloped', 0.9596510975592913]
['nightdress', 0.9596510975592913]
['playfulness', 0.9596510975592913]
['charnel', 0.9596510975592913]
['fro', 0.9596510975592913]
['breakfast', 0.9596510975592913]
['portrayed', 0.9596510975592913]
['ingins', 0.9596510975592913]
['crown', 0.9596510975592913]
['restlessness', 0.9596510975592913]
['infraction', 0.9596510975592913]
['shoots', 0.9596510975592913]
['perfumes', 0.9596510975592913]
['humbled', 0.9596510975592913]
['nonnon', 0.9596510975592913]
['intent', 0.9596510975592913]
['depuis', 0.9596510975592913]
['whoever', 0.9596510975592913]
['puttered', 0.9596510975592913]
['entering', 0.9596510975592913]
['seriously', 0.9596510975592913]
['surges', 0.9596510975592913]
['snatch', 0.9596510975592913]
['wandering', 0.9596510975592913]
['fashionably', 0.9596510975592913]
['presentin', 0.9596510975592913]
['attenuated', 0.9596510975592913]
['moon_', 0.9596510975592913]
['bodiless', 0.9596510975592913]
['circumference', 0.9596510975592913]
['quailed', 0.9596510975592913]
['practised', 0.9596510975592913]
['motives', 0.9596510975592913]
['wants', 0.9596510975592913]
['beckoning', 0.9596510975592913]
['formed', 0.9596510975592913]
['readings', 0.9596510975592913]
['tightened', 0.9596510975592913]
['former', 0.9596510975592913]
['runnin', 0.9596510975592913]
['pretence', 0.9596510975592913]
['single', 0.9596510975592913]
['squeezes', 0.9596510975592913]
['ives', 0.9596510975592913]
['newspaper', 0.9596510975592913]
['situation', 0.9596510975592913]
['engaged', 0.9596510975592913]
['dubious', 0.9596510975592913]
['amuck', 0.9596510975592913]
['foppishly', 0.9596510975592913]
['world', 0.9596510975592913]
['tremulous', 0.9596510975592913]
['sensational', 0.9596510975592913]
['leadership', 0.9596510975592913]
['rush', 0.9596510975592913]
['ruse', 0.9596510975592913]
['rust', 0.9596510975592913]
['morn', 0.9596510975592913]
['substances', 0.9596510975592913]
['recognizing', 0.9596510975592913]
['ascanius', 0.9596510975592913]
['gloating', 0.9596510975592913]
['emergency', 0.9596510975592913]
['sightseeing', 0.9596510975592913]
['_charlotte', 0.9596510975592913]
['crum', 0.9596510975592913]
['unfavourable', 0.9596510975592913]
['jerking', 0.9596510975592913]
['emeralds', 0.9596510975592913]
['barrier', 0.9596510975592913]
['mousing', 0.9596510975592913]
['bede', 0.9596510975592913]
['evades', 0.9596510975592913]
['enriches', 0.9596510975592913]
['whiles', 0.9596510975592913]
['twelve', 0.9596510975592913]
['1857', 0.9596510975592913]
['punched', 0.9596510975592913]
['_himself_', 0.9596510975592913]
['reject', 0.9596510975592913]
['transcribe', 0.9596510975592913]
['jolly', 0.9596510975592913]
['_two', 0.9596510975592913]
['patriotism', 0.9596510975592913]
['assayed', 0.9596510975592913]
['sheol', 0.9596510975592913]
['votre', 0.9596510975592913]
['treed', 0.9596510975592913]
['hurrying', 0.9596510975592913]
['kicking', 0.9596510975592913]
['speaker', 0.9596510975592913]
['rivoli', 0.9596510975592913]
['scarcely', 0.9596510975592913]
['loss', 0.9596510975592913]
['convicts', 0.9596510975592913]
['homo', 0.9596510975592913]
['contending', 0.9596510975592913]
['fountains', 0.9596510975592913]
['phosphorus', 0.9596510975592913]
['astringents', 0.9596510975592913]
['trygaeus', 0.9596510975592913]
['_bang_', 0.9596510975592913]
['budding', 0.9596510975592913]
['before', 0.9596510975592913]
['northeast', 0.9596510975592913]
['shoemakers', 0.9596510975592913]
['hideously', 0.9596510975592913]
['colonies', 0.9596510975592913]
['meets', 0.9596510975592913]
['bearded', 0.9596510975592913]
['shakespeare', 0.9596510975592913]
['carte', 0.9596510975592913]
['fumed', 0.9596510975592913]
['magnificence', 0.9596510975592913]
['round', 0.9596510975592913]
['visit', 0.9596510975592913]
['recommenced', 0.9596510975592913]
['paraphernalia', 0.9596510975592913]
['threads', 0.9596510975592913]
['janus', 0.9596510975592913]
['source', 0.9596510975592913]
['hallucinations', 0.9596510975592913]
['tradesmen', 0.9596510975592913]
['frenchman', 0.9596510975592913]
['commingled', 0.9596510975592913]
['have', 0.9596510975592913]
['precipice', 0.9596510975592913]
['demurred', 0.9596510975592913]
['excesses', 0.9596510975592913]
['racked', 0.9596510975592913]
['equal', 0.9596510975592913]
['onward', 0.9596510975592913]
['recommending', 0.9596510975592913]
['scurried', 0.9596510975592913]
['jurisprudence', 0.9596510975592913]
['hippocrates', 0.9596510975592913]
['screwed', 0.9596510975592913]
['insured', 0.9596510975592913]
['appetite', 0.9596510975592913]
['sallow', 0.9596510975592913]
['revolved', 0.9596510975592913]
['would', 0.9596510975592913]
['frankly', 0.9596510975592913]
['purposelessness', 0.9596510975592913]
['gesticulated', 0.9596510975592913]
['chests', 0.9596510975592913]
['eerie', 0.9596510975592913]
['setting', 0.9596510975592913]
['adjudicator', 0.9596510975592913]
['entertain', 0.9596510975592913]
['witch', 0.9596510975592913]
['succeeded', 0.9596510975592913]
['barbaric', 0.9596510975592913]
['jewellers', 0.9596510975592913]
['ridges', 0.9596510975592913]
['tarry', 0.9596510975592913]
['toes', 0.9596510975592913]
['drudgery', 0.9596510975592913]
['poche', 0.9596510975592913]
['somebody', 0.9596510975592913]
['vellum', 0.9596510975592913]
['cobras', 0.9596510975592913]
['harbour', 0.9596510975592913]
['startling', 0.9596510975592913]
['higher', 0.9596510975592913]
['restraint', 0.9596510975592913]
['unseen', 0.9596510975592913]
['disinclined', 0.9596510975592913]
['artifice', 0.9596510975592913]
['audacious', 0.9596510975592913]
['puncture', 0.9596510975592913]
['breach', 0.9596510975592913]
['enamoured', 0.9596510975592913]
['shades', 0.9596510975592913]
['beauties', 0.9596510975592913]
['reeling', 0.9596510975592913]
['superior', 0.9596510975592913]
['chaos', 0.9596510975592913]
['ability', 0.9596510975592913]
['scrutiny', 0.9596510975592913]
['treeless', 0.9596510975592913]
['press', 0.9596510975592913]
['exceed', 0.9596510975592913]
['flagrant', 0.9596510975592913]
['pasty', 0.9596510975592913]
['incredible', 0.9596510975592913]
['rampart', 0.9596510975592913]
['dangled', 0.9596510975592913]
['sweetest', 0.9596510975592913]
['whirling', 0.9596510975592913]
['specks', 0.9596510975592913]
['ourcq', 0.9596510975592913]
['taper', 0.9596510975592913]
['expostulated', 0.9596510975592913]
['campaign', 0.9596510975592913]
['collections', 0.9596510975592913]
['foc', 0.9596510975592913]
['juvenile', 0.9596510975592913]
['looms', 0.9596510975592913]
['ve_', 0.9596510975592913]
['values', 0.9596510975592913]
['wrinkled', 0.9596510975592913]
['dilecti', 0.9596510975592913]
['cleanest', 0.9596510975592913]
['attraction', 0.9596510975592913]
['subordinates', 0.9596510975592913]
['bordering', 0.9596510975592913]
['tasted', 0.9596510975592913]
['raged', 0.9596510975592913]
['grammar', 0.9596510975592913]
['grouping', 0.9596510975592913]
['belcher', 0.9596510975592913]
['savonarola', 0.9596510975592913]
['knavish', 0.9596510975592913]
['dusky', 0.9596510975592913]
['petroleum', 0.9596510975592913]
['skipped', 0.9596510975592913]
['skipper', 0.9596510975592913]
['licensed', 0.9596510975592913]
['paracelsian', 0.9596510975592913]
['ragamuffin', 0.9596510975592913]
['armagedon', 0.9596510975592913]
['failed', 0.9596510975592913]
['azrael', 0.9596510975592913]
['outward', 0.9596510975592913]
