['topics', 0.9947570837011693]
['denies', 0.9938654276461253]
['ambiguously', 0.9934059352126564]
['arter', 0.9915544494119959]
['incongruities', 0.9914880343139574]
['cathedral', 0.991340486689408]
['chymera', 0.9900595151198688]
['_ad', 0.9899657949571935]
['consolation', 0.9893895740270223]
['clair', 0.9893122291147121]
['purchases', 0.9892565256140261]
['tribune', 0.988246499426106]
['dimmed', 0.9871790366160434]
['discovers', 0.9869388135351368]
['fascinated', 0.9868390451898165]
['_short', 0.9865561168888001]
['arrivals', 0.9859823087350394]
['refusing', 0.9849975201775633]
['usance', 0.9845757606113876]
['rug', 0.9834701735372724]
['whitling', 0.9834210546391949]
['amnii', 0.9833480710465485]
['wakefield', 0.9827887005231781]
['accidents', 0.9822702602880191]
['des', 0.981419488860133]
['amuse', 0.9807016120020733]
['deprecatory', 0.9805563181986642]
['heresy', 0.9804920663462707]
['hangchow', 0.9804216384813251]
['facilities', 0.9803506471536314]
['streamlets', 0.9802758172569274]
['worlds', 0.9802630462486656]
['track', 0.9802241436423076]
['complex', 0.979639510278199]
['dramatic', 0.9790839286046127]
['baptize', 0.9788887751304579]
['wilder', 0.9786802733053477]
['bill', 0.978558065213674]
['locating', 0.9782113834145814]
['creator', 0.9770843993800142]
['attack', 0.977042347930797]
['severest', 0.9766472626193528]
['pastures', 0.9766114731405348]
['taxes', 0.9764720590004626]
['intestine', 0.9764720590004626]
['gesticulations', 0.9764720590004626]
['dodging', 0.9760927673823304]
['rebellious', 0.97560931667238]
['blockhouse', 0.9751829592488237]
['aegis', 0.9751298433780388]
['_with', 0.9749593238191403]
['rise', 0.9748693423472105]
['finger', 0.9747345718185347]
['idiotic', 0.9746827842154818]
['spends', 0.9740720912506773]
['wing', 0.973890838050388]
['scrap', 0.973765071917504]
['flaring', 0.9734120236517871]
['resplendent', 0.9729601855634057]
['holding', 0.9728547242904425]
['kindly', 0.9728300389455596]
['evils', 0.9728189265978716]
['beatrice', 0.9727600243141782]
['valor', 0.9723554014610466]
['tres', 0.9721901767148734]
['eagen', 0.9719662730810803]
['firmament', 0.9713339221863687]
['chicanery', 0.9712926702150475]
['retributive', 0.9708628248675855]
['contradictory', 0.9708569067365639]
['recommendations', 0.9707412992213309]
['claim', 0.9706033287349932]
['strikingly', 0.9706033287349932]
['affirming', 0.9705921110595771]
['seizure', 0.9701763533230658]
['cordial', 0.9701716178208434]
['coursing', 0.9701488674908366]
['frozen', 0.9700085100407817]
['needleworkers', 0.9699512558334741]
['_really_', 0.9698779187186435]
['jump', 0.9698532787842836]
['cant', 0.9698532787842836]
['affections', 0.9698068657380873]
['coachmen', 0.9697513605389917]
['accustomed', 0.969473281532687]
['tablets', 0.9694060307675331]
['exhaled', 0.9691014739775556]
['compound', 0.9689256918109618]
['bnf', 0.9685497304727583]
['treetops', 0.9684815187216516]
['patten', 0.9684141815152884]
['deafness', 0.9679917980416737]
['taels', 0.96779039968818]
['huntsman', 0.9673259048537349]
['midside', 0.9670758012059263]
['deserves', 0.9670067829223767]
['perseus', 0.966507911844902]
['withstood', 0.9662904070126185]
['nominations', 0.9661969022479944]
['inequalities', 0.9656608147610827]
['communicative', 0.9655176809879917]
['witted', 0.9655085123815795]
['philanthropist', 0.9654691551614734]
['lustre', 0.9651192815225418]
['grandes', 0.965027887528298]
['eut', 0.9650131121927507]
['assign', 0.964875165209768]
['dispose', 0.9647776465065763]
['landing', 0.9645656663078037]
['rapids', 0.9645240268927531]
['paused', 0.9643051263100758]
['barkin', 0.9642454671326928]
['sordid', 0.9639383423715853]
['descant', 0.9638448691891432]
['transcendently', 0.9638035772365429]
['shy', 0.9636460534452512]
['late', 0.9635019416001837]
['fiammetta_', 0.9633618336015668]
['produces', 0.9632017777521985]
['maris', 0.9631910086979739]
['excessive', 0.962966947633951]
['maltese', 0.9627548685760249]
['gunboat', 0.9624650941376098]
['squashing', 0.9623000511005626]
['yawned', 0.9620581437890778]
['sardonically', 0.9617480517454389]
['laws', 0.9617133958825077]
['sert', 0.9615729234867756]
['piety', 0.9615174896169043]
['_me_', 0.9614660720040599]
['hundredth', 0.9614660720040599]
['anoint', 0.9614356655215084]
['competition', 0.9613417169796253]
['scrutinize', 0.9611226376361783]
['invented', 0.9611205184647766]
['surpassed', 0.9610570146118945]
['buckshot', 0.9609896176265917]
['unapproving', 0.9609566382473127]
['resolution', 0.960865073076608]
['slide', 0.9608425399568606]
['emanations', 0.9608425399568606]
['sma', 0.9607718631683375]
['stoutest', 0.9606348914932599]
['walloper', 0.9605817435837304]
['assailant', 0.9605678723129091]
['eternally', 0.9604434888291908]
['richer', 0.9600260699016899]
['maintenant', 0.960008009888192]
['humbert', 0.9599707491431474]
['quand', 0.9597934816873037]
['depository', 0.9595730030848969]
['overturn', 0.9594425999642169]
['exhibitions', 0.9592803431519448]
['trice', 0.9592229574811361]
['tensity', 0.9592018452463663]
['affidavy', 0.9591403826374664]
['alretty', 0.9591133187040308]
['claret', 0.9589550364689391]
