['damn', 0.998506268618762]
['packers', 0.997549927542936]
['creak', 0.997187180027706]
['veenah', 0.9970569165462738]
['churchly', 0.9969509648368211]
['caesars', 0.9965996734154106]
['spain', 0.996554807244805]
['robbing', 0.9962519432243132]
['advance', 0.99503342525155]
['temporarily', 0.9949553067631537]
['gestures', 0.994700129846472]
['plains', 0.9944444509270093]
['wow', 0.9940322531157164]
['trenches', 0.9939284687805756]
['apothecary', 0.9938971171557212]
['intimidated', 0.9937498396904705]
['promontories', 0.9935299790088251]
['jetes', 0.991902611769578]
['waddled', 0.9918789086104528]
['ransomed', 0.9918789086104528]
['anderson', 0.9918789086104528]
['arriving', 0.9918262973818123]
['rooting', 0.991598943162704]
['recked', 0.9914351277508631]
['written', 0.9914116054347321]
['billy', 0.991243340990205]
['slight', 0.9911761177832078]
['soups', 0.9911761177832078]
['mare', 0.990865287190681]
['indentations', 0.9904234126293905]
['seein', 0.990376932678376]
['bits', 0.990376932678376]
['volition', 0.9903737537950112]
['experiencing', 0.9903187727459021]
['agitations', 0.9901331198647806]
['piemont', 0.9899749979055992]
['panels', 0.9899370787616069]
['muscle', 0.9898149078094168]
['oncommon', 0.9898104937014232]
['topics', 0.9897502310284784]
['despise', 0.9892338743935795]
['outreach', 0.9890427963531713]
['assassin', 0.9890427963531713]
['nobility', 0.9889613668797451]
['savant', 0.9888965554740627]
['mousedom', 0.9888965554740627]
['participated', 0.988828468025531]
['arter', 0.9887394592785911]
['incongruities', 0.9886509073353889]
['arrivals', 0.9883601476231623]
['ridiculing', 0.9883297086581806]
['arcade', 0.988060778079916]
['excepting', 0.9879537765373007]
['bays', 0.9879185221967401]
['speedy', 0.9879185221967401]
['magical', 0.9878613618883774]
['depravity', 0.9878393669499981]
['sleeps', 0.9878393669499981]
['thing', 0.9878393669499981]
['exigencies', 0.9878025211026791]
['laces', 0.9878025211026791]
['fantastic', 0.9876535532439135]
['published', 0.9876535532439135]
['judging', 0.9876218776645498]
['coal', 0.9876155883549149]
['scales', 0.9876155883549149]
['china', 0.9876113382495131]
['hesselius', 0.987553082009393]
['candlestick', 0.9875302856258762]
['habitually', 0.9875302856258762]
['makers', 0.9875302856258762]
['intensest', 0.9875302856258762]
['prosecuted', 0.9875302856258762]
['lui', 0.9875302856258762]
['princeton', 0.9875302856258762]
['support', 0.9875302856258762]
['begotten', 0.9875302856258762]
['plenipotentiaries', 0.9875302856258762]
['faggots', 0.9875302856258762]
['hog', 0.9875302856258762]
['delegating', 0.9875302856258762]
['mistake', 0.9875302856258762]
['sacrifice', 0.9875302856258762]
['imbecility', 0.9875302856258762]
['rackett', 0.9875302856258762]
['title', 0.9875151513314491]
['dear', 0.98746647205933]
['weaken', 0.9868998256195252]
['chercher', 0.9867911066521162]
['_ad', 0.9866212897176911]
['undoubtedly', 0.9865533585599904]
['through', 0.9865094522918257]
['blackmail', 0.9862537273427123]
['clair', 0.9857498835604848]
['expects', 0.985531452319554]
['hullo', 0.9854486537656579]
['tried', 0.9850587463931082]
['espied', 0.9849846981514733]
['pail', 0.9849210006349]
['hates', 0.9849210006349]
['inflamed', 0.9849210006349]
['immense', 0.9848427811209769]
['medium', 0.9846927748390913]
['canace', 0.9846681193931818]
['alertly', 0.9843681412354787]
['tribune', 0.9843289350466474]
['nervousness', 0.9839510644733381]
['travels', 0.9839327346787237]
['cathedral', 0.9830760709730529]
['attorney', 0.9830505835817954]
['real', 0.9830200489333498]
['aurore', 0.9830163993098577]
['thinks', 0.9827414257867876]
['repulsions', 0.9827414257867876]
['parisians', 0.9827414257867876]
['fester', 0.9827414257867876]
['marcia', 0.9825082874185965]
['weigh', 0.9825082874185965]
['dominates', 0.9825082874185965]
['caves', 0.9824380452747261]
['perpetual', 0.9821666936068062]
['seam', 0.9817624881406346]
['feebly', 0.9817624881406346]
['italy', 0.9816711962935828]
['upsetting', 0.9813775058517962]
['superadded', 0.981332887992969]
['justify', 0.9812982038238168]
['protect', 0.9812982038238168]
['sor', 0.9812982038238168]
['pleurisy', 0.9810361407654559]
['difficult', 0.9808650128340429]
['bowels', 0.9805650333354043]
['caricatures', 0.9802325169203095]
['muddy', 0.9801133272143002]
['infringing', 0.9800877977050565]
['catullus', 0.9800755676869826]
['stretched', 0.9800755676869826]
['stalk', 0.9800755676869826]
['teas', 0.9799168929099302]
['swineherd', 0.9797143983171553]
['respected', 0.9797143983171553]
