['mare', 0.9968121957807468]
['churchly', 0.9950344660326615]
['taxes', 0.9945262879425137]
['intestine', 0.9945262879425137]
['gesticulations', 0.9945262879425137]
['seam', 0.9936355287278812]
['feebly', 0.9936355287278812]
['claim', 0.9931609436645394]
['strikingly', 0.9931609436645394]
['muddy', 0.9930600095770401]
['slide', 0.9908901224640574]
['emanations', 0.9908901224640574]
['whom', 0.9905516081347637]
['clair', 0.9879997510762133]
['comprehensible', 0.987359001588021]
['subtraction', 0.987359001588021]
['notable', 0.987359001588021]
['apocolocyntosis', 0.987359001588021]
['raccolto', 0.987359001588021]
['24689', 0.987359001588021]
['undoubtedly', 0.9868749124777072]
['waddled', 0.9867743226993113]
['ransomed', 0.9867743226993113]
['anderson', 0.9867743226993113]
['downloading', 0.9863729607061678]
['equanimity', 0.9863729607061678]
['appalachians', 0.9863729607061678]
['solved', 0.9863729607061678]
['horrid', 0.9863729607061678]
['waterfall', 0.9863729607061678]
['distinct', 0.9863729607061678]
['rabbit', 0.9863729607061678]
['sported', 0.9839850172328664]
['disbelieve', 0.9832644061352341]
['bites', 0.9826071388648401]
['wing', 0.9822852436452039]
['gravitating', 0.9819004346827299]
['windfall', 0.9819004346827299]
['depravity', 0.9801956903602359]
['sleeps', 0.9801956903602359]
['thing', 0.9801956903602359]
['monarch', 0.9780064111225788]
['petition_', 0.9773220811026676]
['bowels', 0.9765526393358965]
['minute', 0.9753867776359403]
['suttile', 0.9753867776359403]
['guilt', 0.9753867776359403]
['cancelled', 0.9753867776359403]
['etrangeres', 0.9753867776359403]
['cud', 0.9753867776359403]
['steps', 0.9753867776359403]
['shrines', 0.9753867776359403]
['diminished', 0.9753867776359403]
['dawn', 0.9753867776359403]
['venison', 0.9753867776359403]
['den', 0.9753867776359403]
['hairs', 0.9753867776359403]
['misapplied', 0.9753867776359403]
['girard', 0.9753867776359403]
['air', 0.9753867776359403]
['staysail', 0.9753867776359403]
['amphibise', 0.9753867776359403]
['saluted', 0.9753867776359403]
['pyramid', 0.9753867776359403]
['seized', 0.9753867776359403]
['dropped', 0.9753867776359403]
['denser', 0.9753867776359403]
['upbraided', 0.9753867776359403]
['territory', 0.9753867776359403]
['maik', 0.9753867776359403]
['steal', 0.9753867776359403]
['puppet', 0.9753867776359403]
['text', 0.9753867776359403]
['bellows', 0.9753867776359403]
['analyzation', 0.9753867776359403]
['expectation', 0.9753867776359403]
['deadlights', 0.9753867776359403]
['treasures', 0.9753867776359403]
['reproached', 0.9753867776359403]
['obstructions', 0.9753867776359403]
['cleavage', 0.9753867776359403]
['meerschaums', 0.9744397844163473]
['trace', 0.9742433600021635]
['engender', 0.9740476199348989]
['domiciled', 0.9740476199348989]
['keeps', 0.9740476199348989]
['presumptuous', 0.9740476199348989]
['beech', 0.9740476199348989]
['topper', 0.9739193842687727]
['refuted', 0.9739182343509093]
['_through_', 0.9739182343509093]
['recommendations', 0.973829218571817]
['armchairs', 0.9736415658100275]
['barren', 0.9731433571658419]
['rigging', 0.9731433571658419]
['impediments', 0.9731433571658419]
['undistinguishable', 0.9731433571658419]
['caligula', 0.9731433571658419]
['kraighten', 0.9731433571658419]
['display', 0.9731433571658419]
['guitar', 0.9731433571658419]
['avoidable', 0.9731433571658419]
['stepmothers', 0.9731433571658419]
['skelter', 0.9731433571658419]
['tiring', 0.9731433571658419]
['never', 0.9731433571658419]
['shortening', 0.9731433571658419]
['buildings', 0.9731433571658419]
['waken', 0.9731433571658419]
['rusted', 0.9731433571658419]
['ted', 0.9731433571658419]
['illumined', 0.9731433571658419]
['embarrassment', 0.9731433571658419]
['cried', 0.9731433571658419]
['divination', 0.9731433571658419]
['gaul', 0.9731433571658419]
['illustrations', 0.9731433571658419]
['trance', 0.9731433571658419]
['behaving', 0.9731433571658419]
['corresponding', 0.9731433571658419]
['part', 0.9731433571658419]
['ached', 0.9731433571658419]
['conceit', 0.9731433571658419]
['withdrew', 0.9731433571658419]
['coupled', 0.9731433571658419]
['dish', 0.9731433571658419]
['posture', 0.9731433571658419]
['lad', 0.9731433571658419]
['umbrella', 0.9731433571658419]
['_where', 0.9731433571658419]
['horatius', 0.9731433571658419]
['stringin', 0.9731433571658419]
['efforts', 0.9731433571658419]
['water', 0.9731433571658419]
['sculptured', 0.9731433571658419]
['deposits', 0.9713888344916727]
['openhanded', 0.9709063023317467]
['unapproving', 0.9689716920213112]
['ichthiosaurus', 0.967774766317409]
['_oyama_', 0.967774766317409]
['boughs', 0.9671294779792378]
['hurled', 0.9671294779792378]
['rosy', 0.9671294779792378]
['employee', 0.9671294779792378]
['combines', 0.9667878514202936]
['withdraw', 0.9667086069305395]
['sultan', 0.966661538556904]
['596', 0.9662520430112556]
['born', 0.9659355004100413]
['waste', 0.9659355004100413]
['jetes', 0.9648495957194146]
['surpassed', 0.9646556571209106]
['1901', 0.9645277905348993]
['severest', 0.9634375472875527]
['jesuit', 0.9617590175773756]
['carlsfeld', 0.9609826139705158]
['realms', 0.9609826139705158]
['artifices', 0.9607547906244861]
['freeing', 0.9607547906244861]
['breathed', 0.9607547906244861]
['pessimistic', 0.9607547906244861]
['situated', 0.9607547906244861]
['bald', 0.9607547906244861]
['headgear', 0.9607547906244861]
['perforation', 0.9607547906244861]
['pinks', 0.9607547906244861]
['sceptre', 0.9607547906244861]
['saturninus', 0.9607547906244861]
['souffrante', 0.9607547906244861]
['valparaiso', 0.9607547906244861]
['chang', 0.9607547906244861]
['odd', 0.9607547906244861]
['overrun', 0.9607547906244861]
['catechism', 0.9607547906244861]
['strained', 0.9607547906244861]
['piles', 0.9607547906244861]
['streak', 0.9607547906244861]
['lighten', 0.9607547906244861]
['wilderness', 0.9606751801944595]
['unsympathetic', 0.960653178349579]
['quieter', 0.960653178349579]
['section', 0.960653178349579]
['ye', 0.9572933940681265]
['raillery', 0.9554199120752334]
['hang', 0.9552268833123004]
['struggled', 0.9552268833123004]
['affluence', 0.9552268833123004]
['hangin', 0.9552268833123004]
['we', 0.9552268833123004]
['surgical', 0.9552268833123004]
['foremost', 0.9552268833123004]
['blotted', 0.9552268833123004]
['deed', 0.9552268833123004]
['redeem', 0.9552268833123004]
['excepting', 0.9545087234957252]
['tapestry', 0.9542076828506185]
['invented', 0.9517975563246573]
['gladness', 0.9499178416171871]
['capitalist', 0.9499178416171871]
['reefs', 0.9498940897601758]
['develop', 0.9498940897601758]
['palates', 0.9498940897601758]
['organised', 0.9498940897601758]
['passed', 0.9498940897601758]
['oaks', 0.9495028626942913]
['sequel', 0.9495028626942913]
['wafted', 0.9495028626942913]
['saunter', 0.9495028626942913]
['extract', 0.9495028626942913]
['staying', 0.9495028626942913]
['noises', 0.9495028626942913]
['morou', 0.9491505179803683]
['peer', 0.9491505179803683]
['increasingly', 0.9491505179803683]
['pickerel', 0.9491505179803683]
['slipped', 0.9491505179803683]
['actors', 0.9491505179803683]
['sleepy', 0.9491505179803683]
['wavy', 0.9491505179803683]
['congregating', 0.9491505179803683]
['annoyance', 0.9491505179803683]
['represents', 0.948905359982504]
['feigned', 0.948361152046136]
['bays', 0.947554839041061]
['speedy', 0.947554839041061]
['expositions', 0.9438165676362561]
['grata', 0.9434300355154841]
['parental', 0.9420082917919604]
['unkind', 0.9416510467543724]
['judiciously', 0.9408213293148787]
['rugged', 0.9408213293148787]
['improve', 0.9408213293148787]
['recovering', 0.9384603695928831]
['opens', 0.938154068425719]
['correctly', 0.9379471256204106]
['neat', 0.937780885784494]
['_from', 0.937780885784494]
['son', 0.937780885784494]
['terribly', 0.937780885784494]
['solar', 0.937780885784494]
['lear', 0.937780885784494]
['firmament', 0.9361470440988016]
['edges', 0.9355097854311641]
['meed', 0.9355097854311641]
['interfere', 0.9355097854311641]
['distant', 0.9355097854311641]
['derelicts', 0.9355097854311641]
['bridge', 0.9355097854311641]
['suspicions', 0.9355097854311641]
['sputtered', 0.9355097854311641]
