['broiled', 0.9189688670469539]
['crouch', 0.9189688670469539]
['gradation', 0.9189688670469539]
['nicely', 0.9189688670469539]
['boarded', 0.9189688670469539]
['xvi', 0.9189688670469539]
['himalayas', 0.9189688670469539]
['sparta', 0.9189688670469539]
['incense', 0.9189688670469539]
['dave', 0.9189688670469539]
['spin', 0.9189688670469539]
['employ', 0.9189688670469539]
['remand', 0.9189688670469539]
['visitations', 0.9189688670469539]
['benignity', 0.9189688670469539]
['siesta', 0.9189688670469539]
['palazzo', 0.9189688670469539]
['clustered', 0.9189688670469539]
['gangplank', 0.9189688670469539]
['perchance', 0.9189688670469539]
['anomalous', 0.9189688670469539]
['beings', 0.9189688670469539]
['tame', 0.9189688670469539]
['waistcoat', 0.9189688670469539]
['roll', 0.9189688670469539]
['chair', 0.9189688670469539]
['crater', 0.9189688670469539]
['crated', 0.9189688670469539]
['stays', 0.9189688670469539]
['exact', 0.9189688670469539]
['trails', 0.9189688670469539]
['celebrated', 0.9189688670469539]
['queue', 0.9189688670469539]
['accomplished', 0.9189688670469539]
['assario', 0.9189688670469539]
['working', 0.9189688670469539]
['perished', 0.9189688670469539]
['vigour', 0.9189688670469539]
['perishes', 0.9189688670469539]
['riders', 0.9189688670469539]
['divvils', 0.9189688670469539]
['dooms', 0.9189688670469539]
['feedin', 0.9189688670469539]
['yearn', 0.9189688670469539]
['quarrelled', 0.9189688670469539]
['troubled', 0.9189688670469539]
['_you_', 0.9189688670469539]
['incentives', 0.9189688670469539]
['wrong', 0.9189688670469539]
['tableaux', 0.9189688670469539]
['ascendancy', 0.9189688670469539]
['balsam', 0.9189688670469539]
['warriors', 0.9189688670469539]
['printed', 0.9189688670469539]
['touchy', 0.9189688670469539]
['imagined', 0.9189688670469539]
['aimlessly', 0.9189688670469539]
['guarded', 0.9189688670469539]
['windowed', 0.9189688670469539]
['keenly', 0.9189688670469539]
['morose', 0.9189688670469539]
['avails', 0.9189688670469539]
['refreshed', 0.9189688670469539]
['concentrated', 0.9189688670469539]
['leander', 0.9189688670469539]
['ascii', 0.9189688670469539]
['wires', 0.9189688670469539]
['coteries', 0.9189688670469539]
['decomposed', 0.9189688670469539]
['retraced', 0.9189688670469539]
['gleam', 0.9189688670469539]
['witt', 0.9189688670469539]
['abused', 0.9189688670469539]
['tremble', 0.9189688670469539]
['lightfoot', 0.9189688670469539]
['consciences', 0.9189688670469539]
['causes', 0.9189688670469539]
['quicken', 0.9189688670469539]
['clock', 0.9189688670469539]
['laggard', 0.9189688670469539]
['symptoms', 0.9189688670469539]
['definition', 0.9189688670469539]
['_june', 0.9189688670469539]
['porpoise', 0.9189688670469539]
['moderately', 0.9189688670469539]
['essays', 0.9189688670469539]
['_wolverine', 0.9189688670469539]
['praefectus', 0.9189688670469539]
['ungrateful', 0.9189688670469539]
['jostle', 0.9189688670469539]
['vigils', 0.9189688670469539]
['discomforts', 0.9189688670469539]
['barred', 0.9189688670469539]
['indifference', 0.9189688670469539]
['columns', 0.9189688670469539]
['parthenope', 0.9189688670469539]
['lass', 0.9189688670469539]
['belt', 0.9189688670469539]
['moderation', 0.9189688670469539]
['cuisine', 0.9189688670469539]
['starlight', 0.9189688670469539]
['necessaries', 0.9189688670469539]
['wrinkles', 0.9189688670469539]
['considerably', 0.9189688670469539]
['splashing', 0.9189688670469539]
['591', 0.9189688670469539]
['crook', 0.9189688670469539]
['henceforth', 0.9189688670469539]
['mussed', 0.9189688670469539]
['confidence', 0.9189688670469539]
['lylie', 0.9189688670469539]
['coolness', 0.9189688670469539]
['intelligent', 0.9189688670469539]
['realized', 0.9189688670469539]
['meantime', 0.9189688670469539]
['thieves', 0.9189688670469539]
['reconstruction', 0.9189688670469539]
['1343', 0.9189688670469539]
['scene', 0.9189688670469539]
['scent', 0.9189688670469539]
['philosophise', 0.9189688670469539]
['quarry', 0.9189688670469539]
['chattels', 0.9189688670469539]
['bred', 0.9189688670469539]
['jap', 0.9189688670469539]
['jab', 0.9189688670469539]
['attaches', 0.9189688670469539]
['soumettre', 0.9189688670469539]
['willing', 0.9189688670469539]
['mirvoon', 0.9189688670469539]
['deductible', 0.9189688670469539]
['westerly', 0.9189688670469539]
['crossin', 0.9189688670469539]
['impervious', 0.9189688670469539]
['moravia', 0.9189688670469539]
['oft', 0.9189688670469539]
['web', 0.9189688670469539]
['wee', 0.9189688670469539]
['practise', 0.9189688670469539]
['villagers', 0.9189688670469539]
['immortal', 0.9189688670469539]
['eagan', 0.9189688670469539]
['indoctrinated', 0.9189688670469539]
['hearthrug', 0.9189688670469539]
['lately', 0.9189688670469539]
['searches', 0.9189688670469539]
['tamarac', 0.9189688670469539]
['harrowed', 0.9189688670469539]
['protection', 0.9189688670469539]
['exacts', 0.9189688670469539]
['bared', 0.9189688670469539]
['arco', 0.9189688670469539]
['complacent', 0.9189688670469539]
['petrel_', 0.9189688670469539]
['penetration', 0.9189688670469539]
['reasonable', 0.9189688670469539]
['another', 0.9189688670469539]
['electronic', 0.9189688670469539]
['paltry', 0.9189688670469539]
['enmeshed', 0.9189688670469539]
['respecting', 0.9189688670469539]
['enchanted', 0.9189688670469539]
['impelled', 0.9189688670469539]
['germany', 0.9189688670469539]
['culminates', 0.9189688670469539]
['_shall_', 0.9189688670469539]
['rune', 0.9189688670469539]
['cooperation', 0.9189688670469539]
['climate', 0.9189688670469539]
['mutations', 0.9189688670469539]
['zwingli', 0.9189688670469539]
['attacked', 0.9189688670469539]
['hand', 0.9189688670469539]
['openings', 0.9189688670469539]
['_steam_', 0.9189688670469539]
['revisiting', 0.9189688670469539]
['confusing', 0.9189688670469539]
['profession', 0.9189688670469539]
['deception', 0.9189688670469539]
['diligence', 0.9189688670469539]
['dynasties', 0.9189688670469539]
['songs', 0.9189688670469539]
['gum', 0.9189688670469539]
['alertness', 0.9189688670469539]
['paradoxical', 0.9189688670469539]
['teaches', 0.9189688670469539]
['teacher', 0.9189688670469539]
['decked', 0.9189688670469539]
['spreads', 0.9189688670469539]
['nosed', 0.9189688670469539]
['saxon', 0.9189688670469539]
['tiara', 0.9189688670469539]
['non', 0.9189688670469539]
['drop', 0.9189688670469539]
['vexation', 0.9189688670469539]
['challenger', 0.9189688670469539]
['avignon', 0.9189688670469539]
['contemplation', 0.9189688670469539]
['ring', 0.9189688670469539]
['tomorrow', 0.9189688670469539]
['neatly', 0.9189688670469539]
['druggist', 0.9189688670469539]
['hoes', 0.9189688670469539]
['dervish', 0.9189688670469539]
['arctic', 0.9189688670469539]
['stunk', 0.9189688670469539]
['salutations', 0.9189688670469539]
['heightened', 0.9189688670469539]
['veering', 0.9189688670469539]
['smuggling', 0.9189688670469539]
['pitcher', 0.9189688670469539]
['pitches', 0.9189688670469539]
['pitched', 0.9189688670469539]
['phosphorescent', 0.9189688670469539]
['_wolverines_', 0.9189688670469539]
['correggio', 0.9189688670469539]
['espies', 0.9189688670469539]
['resounding', 0.9189688670469539]
['emue', 0.9189688670469539]
['theatric', 0.9189688670469539]
['excess', 0.9189688670469539]
['arena', 0.9189688670469539]
['_all_', 0.9189688670469539]
['requiring', 0.9189688670469539]
['revelation', 0.9189688670469539]
['_not_', 0.9189688670469539]
['horizontal', 0.9189688670469539]
['tickings', 0.9189688670469539]
['houses', 0.9189688670469539]
['brightest', 0.9189688670469539]
['straightened', 0.9189688670469539]
['chenonceaux', 0.9189688670469539]
['garrison', 0.9189688670469539]
['adrift', 0.9189688670469539]
['torlogh', 0.9189688670469539]
['hovered', 0.9189688670469539]
['lives', 0.9189688670469539]
['karl', 0.9189688670469539]
['exploits', 0.9189688670469539]
['proffering', 0.9189688670469539]
['hesitantly', 0.9189688670469539]
['fears', 0.9189688670469539]
['divinest', 0.9189688670469539]
['avaricious', 0.9189688670469539]
['gauls', 0.9189688670469539]
['rivalry', 0.9189688670469539]
['appointed', 0.9189688670469539]
['socket', 0.9189688670469539]
['blithely', 0.9189688670469539]
['embellished', 0.9189688670469539]
['including', 0.9189688670469539]
['separating', 0.9189688670469539]
['comique', 0.9189688670469539]
['powerful', 0.9189688670469539]
['portefeuille', 0.9189688670469539]
['urn', 0.9189688670469539]
['skunk', 0.9189688670469539]
['sniff', 0.9189688670469539]
['examiner', 0.9189688670469539]
['colouring', 0.9189688670469539]
['canter', 0.9189688670469539]
['payments', 0.9189688670469539]
['flashin', 0.9189688670469539]
['indirectly', 0.9189688670469539]
['fists', 0.9189688670469539]
['marechal', 0.9189688670469539]
['_men', 0.9189688670469539]
['mes', 0.9189688670469539]
['rood', 0.9189688670469539]
['rochefort', 0.9189688670469539]
['elicited', 0.9189688670469539]
['blackish', 0.9189688670469539]
['slumberous', 0.9189688670469539]
['harpies', 0.9189688670469539]
['trading', 0.9189688670469539]
['fancying', 0.9189688670469539]
['sleeper', 0.9189688670469539]
['suggested', 0.9189688670469539]
['realizing', 0.9189688670469539]
['massy', 0.9189688670469539]
['fighters', 0.9189688670469539]
['alamatua', 0.9189688670469539]
['yet', 0.9189688670469539]
['contestant', 0.9189688670469539]
['woful', 0.9189688670469539]
['sailors', 0.9189688670469539]
['nude', 0.9189688670469539]
['deaf', 0.9189688670469539]
['platters', 0.9189688670469539]
['avarabet', 0.9189688670469539]
['pierre', 0.9189688670469539]
['feminine', 0.9189688670469539]
['sagas', 0.9189688670469539]
['prettily', 0.9189688670469539]
['titters', 0.9189688670469539]
['relieve', 0.9189688670469539]
['bombardment', 0.9189688670469539]
['wearily', 0.9189688670469539]
['jungles', 0.9189688670469539]
['recounting', 0.9189688670469539]
['frivolity', 0.9189688670469539]
['making', 0.9189688670469539]
['nearest', 0.9189688670469539]
['membership', 0.9189688670469539]
['mocks', 0.9189688670469539]
['markings', 0.9189688670469539]
['teller', 0.9189688670469539]
['vogue', 0.9189688670469539]
['nominal', 0.9189688670469539]
['inaction', 0.9189688670469539]
['invalidity', 0.9189688670469539]
['piercingly', 0.9189688670469539]
['complaints', 0.9189688670469539]
['synonym', 0.9189688670469539]
['voodoo', 0.9189688670469539]
['storms', 0.9189688670469539]
['moons', 0.9189688670469539]
['fulminate', 0.9189688670469539]
['tout', 0.9189688670469539]
['among', 0.9189688670469539]
['sound', 0.9189688670469539]
['ariosto', 0.9189688670469539]
['strait', 0.9189688670469539]
['sleeping', 0.9189688670469539]
['sudden', 0.9189688670469539]
['ruminating', 0.9189688670469539]
['bewitched', 0.9189688670469539]
['calculating', 0.9189688670469539]
['drenched', 0.9189688670469539]
['pockets', 0.9189688670469539]
['fertile', 0.9189688670469539]
['gbnewby', 0.9189688670469539]
['lapped', 0.9189688670469539]
['anglais', 0.9189688670469539]
['enjoying', 0.9189688670469539]
['righted', 0.9189688670469539]
['creatures', 0.9189688670469539]
['quiets', 0.9189688670469539]
['medici', 0.9189688670469539]
['specialized', 0.9189688670469539]
['maps', 0.9189688670469539]
['comedie', 0.9189688670469539]
['primary', 0.9189688670469539]
['frigid', 0.9189688670469539]
['mystery', 0.9189688670469539]
['indebted', 0.9189688670469539]
['lyres', 0.9189688670469539]
['godfather', 0.9189688670469539]
['express', 0.9189688670469539]
['expert', 0.9189688670469539]
['debar', 0.9189688670469539]
['10th', 0.9189688670469539]
['evangelical', 0.9189688670469539]
['whelming', 0.9189688670469539]
['underlinen', 0.9189688670469539]
['repulse', 0.9189688670469539]
['ogres', 0.9189688670469539]
['wonderin', 0.9189688670469539]
['groceries', 0.9189688670469539]
['compose', 0.9189688670469539]
['presently', 0.9189688670469539]
['transmutation', 0.9189688670469539]
['vallier', 0.9189688670469539]
['licentiousness', 0.9189688670469539]
