['canace', 0.9992241614889734]
['broods', 0.9989538651726264]
['incongruities', 0.9985655042181615]
['cathedral', 0.9985406384641343]
['tribune', 0.9980192181668761]
['usance', 0.997400599678484]
['scoffer', 0.9972863316794277]
['amnii', 0.9971937008765943]
['cadaverous', 0.9970610205190371]
['trenches', 0.9969302970093025]
['intimidated', 0.9968399840005565]
['persistent', 0.9965344718352539]
['cooerdinating', 0.996321483564366]
['torn', 0.996256163503181]
['creator', 0.996138103272483]
['refusing', 0.9958998826976029]
['arriving', 0.9958674610299538]
['denies', 0.9957525939877473]
['rooting', 0.9957525131031257]
['worlds', 0.9956398805203713]
['scrap', 0.995578707074338]
['morality', 0.9955254305348656]
['evils', 0.9954192560708826]
['profile', 0.9949995863908384]
['jump', 0.9949194644321561]
['cant', 0.9949194644321561]
['sprang', 0.9948903448980534]
['hangchow', 0.9946493126626138]
['happily', 0.9946383368848316]
['facilities', 0.9946299110187228]
['blossom', 0.9945059057253538]
['gloriously', 0.994377597152887]
['spirited', 0.9939305125487026]
['tables', 0.9939283139768221]
['descant', 0.9939068853713734]
['torchlight', 0.993756163629281]
['folly', 0.993756163629281]
['make', 0.993756163629281]
['foresaw', 0.993756163629281]
['glonglim', 0.993756163629281]
['judging', 0.9937417501814387]
['candlestick', 0.9936954421999956]
['habitually', 0.9936954421999956]
['makers', 0.9936954421999956]
['intensest', 0.9936954421999956]
['prosecuted', 0.9936954421999956]
['lui', 0.9936954421999956]
['princeton', 0.9936954421999956]
['support', 0.9936954421999956]
['begotten', 0.9936954421999956]
['plenipotentiaries', 0.9936954421999956]
['faggots', 0.9936954421999956]
['hog', 0.9936954421999956]
['delegating', 0.9936954421999956]
['mistake', 0.9936954421999956]
['sacrifice', 0.9936954421999956]
['imbecility', 0.9936954421999956]
['rackett', 0.9936954421999956]
['forfend', 0.9935794914931889]
['affidavy', 0.99311405250961]
['claret', 0.9930828166815137]
['hullo', 0.9926429907975552]
['tain', 0.9925955757062243]
['grossness', 0.9925185370973982]
['undulating', 0.9925185370973982]
['gushing', 0.9925185370973982]
['recollected', 0.9925185370973982]
['bulky', 0.9925089765314459]
['fiords', 0.9924574794061156]
['reigning', 0.9924574794061156]
['valor', 0.9924448425774337]
['coiffe', 0.9920862309064261]
['lustre', 0.9920769585037361]
['sixteenth', 0.9919707250728391]
['daylight', 0.991966568380066]
['travels', 0.9918765578852233]
['quavered', 0.9918455180245862]
['_really_', 0.991767756523745]
['feces', 0.9917619212761458]
['ministres', 0.9915812035422205]
['attorney', 0.9914305514722407]
['patten', 0.9913677230423026]
['smarting', 0.9910403273391192]
['tranquil', 0.9910403273391192]
['plottings', 0.9910403273391192]
['felicitations', 0.9907945430182183]
['scalp', 0.9904990593166514]
['greatly', 0.9904920600832057]
['dispose', 0.9903738726731327]
['stitched', 0.9903174940209117]
['trapper', 0.9901656365342801]
['jauntily', 0.9901656365342801]
['sandalphon', 0.9899991899004895]
['steamer', 0.9899759199467416]
['webbed', 0.9899759199467416]
['groupe', 0.9899759199467416]
['weave', 0.9899528701086849]
['scotchman', 0.9899528701086849]
['foot', 0.9898788190645559]
['systems', 0.9898788190645559]
['walnut', 0.9898788190645559]
['hazing', 0.9898788190645559]
['sterile', 0.9898788190645559]
['proves', 0.9898788190645559]
['see', 0.9898788190645559]
['absurd', 0.9898788190645559]
['minnows', 0.9898788190645559]
['frances', 0.9898788190645559]
['busily', 0.9898788190645559]
['wrangling', 0.9898788190645559]
['recites', 0.9898788190645559]
['makes', 0.9897593265256436]
['winning', 0.9897593265256436]
['shrug', 0.9897544424960572]
['swineherd', 0.9897438109261947]
['respected', 0.9897438109261947]
['superfluous', 0.9897438109261947]
['holding', 0.9897373220431372]
['henceforward', 0.9896557284240957]
['curtain', 0.9896557284240957]
['creeps', 0.9894191876765612]
['hedges', 0.9890925385544285]
['hesper', 0.9888416654890767]
['delirious', 0.9888416654890767]
['personnes', 0.9888416654890767]
['husky', 0.9888416654890767]
['chariots', 0.9888416654890767]
['big', 0.9888416654890767]
['grabbing', 0.9888416654890767]
['cordial', 0.9887229334653201]
['pastures', 0.9887072245762552]
['mixes', 0.988197674609138]
['bergs', 0.988197674609138]
['consumed', 0.988197674609138]
['oatmeal', 0.9880577722620111]
['battues', 0.988045926306812]
['abiding', 0.9879991227769224]
['vegetable', 0.9879991227769224]
['ridgepole', 0.9878034256125648]
['civilised', 0.9877234019739178]
['involve', 0.9875124430054072]
['notion', 0.9875124430054072]
['traversed', 0.9872415409675016]
['theatrical', 0.9872415409675016]
['savages', 0.9872415409675016]
['publishing', 0.9872415409675016]
['pig', 0.9872415409675016]
['china', 0.9871375105057432]
['moulded', 0.9867414577514048]
['rounding', 0.9867313625683847]
['feverish', 0.9866153716299035]
['revealment', 0.9866153716299035]
['example', 0.9865827353864125]
['bushels', 0.9865089846271247]
['pitted', 0.9865089846271247]
['vows', 0.9865055439364248]
['intermittent', 0.9862658066274995]
['shallow', 0.9862658066274995]
['match', 0.9862658066274995]
['_political', 0.9862658066274995]
['steamboats', 0.9859679904932834]
['occurs', 0.9856452625417201]
['daughters', 0.9856452625417201]
['xxvi', 0.9856452625417201]
['lurid', 0.9856452625417201]
['politics', 0.9856452625417201]
['qualities', 0.9856452625417201]
['severs', 0.9854781439841612]
['reprisals_', 0.9852390201595448]
['gilding', 0.9852390201595448]
['flatter', 0.9852390201595448]
['grievance', 0.9852390201595448]
['precedence', 0.9852390201595448]
['dreissig', 0.9852390201595448]
['buttons', 0.9852390201595448]
['momentary', 0.9852390201595448]
['lunching', 0.9852390201595448]
