['topics', 0.9969548662155662]
['denies', 0.9964369842158258]
['ambiguously', 0.9961701068038862]
['arter', 0.9950947469008017]
['incongruities', 0.995056172403841]
['cathedral', 0.9949704753927275]
['chymera', 0.9942264753780462]
['_ad', 0.9941720418495711]
['consolation', 0.9938373674581158]
['clair', 0.9937924448249654]
['purchases', 0.9937600917218103]
['tribune', 0.9931734592652356]
['dimmed', 0.9925534670926973]
['discovers', 0.9924139433281023]
['_short', 0.9921916696123824]
['refusing', 0.9912864223737886]
['usance', 0.9910414605566115]
['rug', 0.9903993254624898]
['whitling', 0.9903707967568105]
['amnii', 0.9903284072180483]
['wakefield', 0.9900035196971256]
['accidents', 0.9897024048623065]
['des', 0.9892082690283119]
['amuse', 0.9887913195771012]
['deprecatory', 0.9887069316059394]
['heresy', 0.9886696135418537]
['hangchow', 0.9886287083931372]
['facilities', 0.9885874759800983]
['streamlets', 0.9885440140910366]
['worlds', 0.9885365965725216]
['track', 0.9885140015826017]
['complex', 0.988174441172501]
['dramatic', 0.9878517542502194]
['baptize', 0.987738407325831]
['bill', 0.9875463279785657]
['locating', 0.9873449720158354]
['creator', 0.9866904093711975]
['attack', 0.9866659855045177]
['severest', 0.9864365163386871]
['pastures', 0.9864157294817426]
['taxes', 0.9863347564728742]
['intestine', 0.9863347564728742]
['gesticulations', 0.9863347564728742]
['dodging', 0.986114460428708]
['rebellious', 0.9858336678304536]
['blockhouse', 0.9855860355356171]
['_with', 0.9854561460307099]
['rise', 0.9854038839680467]
['finger', 0.9853256080111888]
['idiotic', 0.9852955292972284]
['spends', 0.9849408332324721]
['wing', 0.9848355597143995]
['scrap', 0.9847625135930513]
['fascinated', 0.9847119939195536]
['flaring', 0.9845574599282217]
['resplendent', 0.9842950282299832]
['holding', 0.9842337753571648]
['kindly', 0.9842194378828665]
['evils', 0.9842129837295974]
['beatrice', 0.9841787727439871]
['valor', 0.9839437640866299]
['tres', 0.9838478000414459]
['eagen', 0.9837177547611364]
['arrivals', 0.98371679316711]
['firmament', 0.9833504795724151]
['chicanery', 0.9833265200498164]
['retributive', 0.983076861936844]
['contradictory', 0.9830734246321671]
['recommendations', 0.9830062787289511]
['claim', 0.9829261442073882]
['strikingly', 0.9829261442073882]
['affirming', 0.9829196288788105]
['seizure', 0.9826781529792481]
['cordial', 0.9826754025562046]
['coursing', 0.9826621889562609]
['frozen', 0.9825806680643187]
['needleworkers', 0.9825474142965611]
['_really_', 0.9825048194288778]
['jump', 0.9824905083294269]
['cant', 0.9824905083294269]
['affections', 0.9824635512072919]
['coachmen', 0.9824313132795158]
['accustomed', 0.9822698024468844]
['tablets', 0.982230742586813]
['exhaled', 0.9820538532150246]
['compound', 0.9819517573234089]
['bnf', 0.9817333955363134]
['treetops', 0.9816937775268029]
['patten', 0.9816546674608855]
['deafness', 0.9814093432725559]
['taels', 0.9812923692650767]
['midside', 0.9808773239245471]
['deserves', 0.98083723747361]
['perseus', 0.9805474885847265]
['inequalities', 0.9800554868434038]
['communicative', 0.9799723534376255]
['witted', 0.9799670282270841]
['philanthropist', 0.9799441691933374]
['lustre', 0.9797409593808077]
['grandes', 0.9796878769122535]
['assign', 0.9795991743915023]
['dispose', 0.9795425346359203]
['landing', 0.9794194145958278]
['rapids', 0.9793952300423641]
['paused', 0.9792680905799448]
['barkin', 0.9792334399835504]
['sordid', 0.9790550591106203]
['descant', 0.9790007690305257]
['transcendently', 0.978976786286434]
['shy', 0.9788852950263464]
['late', 0.9788015935474099]
['produces', 0.9786272556365474]
['maris', 0.9786210008712648]
['excessive', 0.9784908641540364]
['maltese', 0.9783676866956426]
['squashing', 0.9781035245421117]
['yawned', 0.9779630225609781]
['wilder', 0.9778177863698857]
['sardonically', 0.9777829182631887]
['laws', 0.9777627898207293]
['piety', 0.9776490056681759]
['_me_', 0.9776191418479158]
['hundredth', 0.9776191418479158]
['competition', 0.9775469153112735]
['scrutinize', 0.9774196720229625]
['invented', 0.9774184411888118]
['surpassed', 0.97738155756969]
['buckshot', 0.9773424127836174]
