['mandolins', 0.9846070439368979]
['fascinated', 0.9837356817916091]
['arrivals', 0.9826769262132949]
['emerson', 0.9797680222435513]
['sert', 0.9795133613146423]
['wilder', 0.9791493370635117]
['anoint', 0.9768021470196637]
['dress', 0.976148618855559]
['gunboat', 0.9740978739272206]
['raking', 0.9735783138345483]
['bowling', 0.9718382183491944]
['fiammetta_', 0.9703526919407545]
['aegis', 0.9692654410697381]
['nominations', 0.9669406176012085]
['room', 0.9650348637548938]
['eut', 0.9632256921897332]
['withstood', 0.9631928711193896]
['1513', 0.962430542028343]
['weakest', 0.9606671701226878]
['huntsman', 0.959621327761197]
['inane', 0.9592453602474931]
['dying', 0.9564651056566542]
['ennobled', 0.9560729998077507]
['underwent', 0.9559782380002501]
['wondered', 0.9553359228091887]
['impart', 0.9535332267985968]
['stripped', 0.9523008769827525]
['similarly', 0.9513587147356126]
['tears', 0.9505269125198819]
['scouted', 0.9486380234091311]
['wavelet', 0.9483370799982656]
['shinin', 0.9483360248214143]
['veered', 0.9481249687660498]
['establishers', 0.9479564486242286]
['systematic', 0.9479176285972719]
['schemes', 0.9479144625223327]
['coil', 0.9477978839310506]
['keene', 0.9477190910584974]
['bologna', 0.947587257853039]
['spell', 0.9470817592934413]
['night', 0.947003937491425]
['latins', 0.9451022634365903]
['ague', 0.9446430506017736]
['browse', 0.9442317973009622]
['field', 0.9435941732127389]
['unutterable', 0.9418252179727803]
['fidgety', 0.9417712484686632]
['obstructing', 0.9405501161231937]
['noon', 0.9405341525551949]
['terrestrials', 0.9399767057128634]
['astonishment', 0.939966000076162]
['praying', 0.9394580749204943]
['lanterns', 0.9394535293898754]
['extremity', 0.9393167741505271]
['prairie', 0.9387644335813528]
['doomed', 0.9378694880869326]
['watertown', 0.9372361498107544]
['cultures', 0.9365909518766093]
['mesmerised', 0.9364538274840732]
['fastening', 0.935944481528541]
['than', 0.9356734955872658]
['protestations', 0.9351563393669845]
['captions', 0.9346460456564724]
['european', 0.9343658713795803]
['oasis', 0.9330123719271863]
['prescience', 0.9327824312499865]
['sobs', 0.9323910966297632]
['how', 0.9319338607567144]
['cupboard', 0.9317236421235336]
['invasion', 0.9316778831133868]
['petition_', 0.9313503693586466]
['corresponded', 0.9312082850166754]
['pumping', 0.930394220255489]
['havin', 0.93029126531948]
['command', 0.9302378578373601]
['desires', 0.9297743011746884]
['quarreled', 0.929419805719695]
['emerald', 0.9275876193463173]
['craftily', 0.9272733351202832]
['settled', 0.927213920327872]
['footpath', 0.9267130002150732]
['tops', 0.9263303153807461]
['anaxagoras', 0.9254216045286592]
['tiaras', 0.9250641502450841]
['beauty', 0.9245159821312505]
['oh', 0.9242640863337265]
['noised', 0.9229517073795366]
['clerge', 0.9226865758533126]
['censure', 0.9226008820654434]
['subtly', 0.9225504729368069]
['counties', 0.9210910053449168]
['hid', 0.9210258684451906]
['code', 0.920944026873434]
['foiling', 0.9209102541633891]
['point', 0.9207473212016317]
['schermie', 0.9203853346788368]
['formality', 0.9199972278944042]
['expanded', 0.9196466744461387]
['feat', 0.9194099258766757]
['resorted', 0.919097788294053]
['francs', 0.9189379916905693]
['offenbach', 0.918452141501824]
['billowing', 0.9183640078937882]
['completely', 0.9176828314705283]
['mer', 0.9169604793953172]
['sorting', 0.9167636583498516]
['bos', 0.9167498754062119]
['search', 0.9164448021317212]
['voiced', 0.9160794189049969]
['mass', 0.9158095359112297]
['relict', 0.9151794727747503]
['unacceptable', 0.9149356569221598]
['arranged', 0.9144503936013116]
['psychic', 0.9144358198857641]
['await', 0.9142995719574221]
['dories', 0.9142309209415739]
['ceremonious', 0.9140875441587586]
['emphasis', 0.9139216268842316]
['quiver', 0.9138664072066172]
['reflect', 0.913817375550674]
['restaurants', 0.9137278887451622]
['accepted', 0.9130444705748046]
['implies', 0.912599727930328]
['_xvi_', 0.9124818624192214]
['duly', 0.9121763847393335]
['amphibious', 0.9119725911181931]
['nations', 0.9119132771689973]
['huskily', 0.9113906865537309]
['ibiblio', 0.9113503341779179]
['dolorous', 0.9112760831204414]
['kitchen', 0.9107608394631558]
['deauville', 0.910675809357011]
['hosts', 0.9104945456312024]
['oars', 0.9102920101102131]
['steering', 0.90960009542806]
['dining', 0.9095318637132825]
['tapestry', 0.9093168323230197]
['yer', 0.9091348361560396]
['lingered', 0.9089437793065844]
['borderland', 0.9086692933517166]
['lethargy', 0.9081651617694596]
['crystals', 0.9081316482218131]
['legitimate', 0.9081181144053999]
['pestilent', 0.9080673091540907]
['sociable', 0.9079325234934591]
['unanswered', 0.9074352844278947]
['stem', 0.9073335725019006]
['pace', 0.9071177502152002]
['dozens', 0.9069511219944619]
['hoots', 0.9069482295349721]
['knowledge', 0.9068269743694422]
['growlings', 0.9067834190619571]
['_whether', 0.9062523606804346]
['brown', 0.9061071464895002]
['eras', 0.9058937925192847]
['cuba', 0.905501234285261]
['comparatively', 0.9053273480067489]
['promptness', 0.9052203302820035]
['vol', 0.905174537192685]
['leeway', 0.9050316587057688]
['coldest', 0.9047447393394408]
['hoare', 0.9045363398313387]
['alcibiades', 0.9044251903253311]
['honore', 0.903655186999363]
['delectation', 0.9035841674894574]
['serenity', 0.9033663230591276]
['education', 0.903308085129928]
['blindly', 0.9032474592508474]
['funds', 0.9031438800624472]
['sycamores', 0.9030736471413965]
['_use_', 0.9018341920330248]
