['fascinated', 0.9994048160086576]
['laudable', 0.9987815818737384]
['damn', 0.9987633314332971]
['sported', 0.9986126434538953]
['field', 0.9979358590571052]
['creak', 0.997671250609566]
['churchly', 0.9974756867316061]
['cord', 0.9974011418269451]
['blackmail', 0.9971527829652275]
['coiffe', 0.9968217338663122]
['nigger', 0.9966872844170434]
['unanswered', 0.9966126439383575]
['fag', 0.9964248708609991]
['hailed', 0.9963425174191115]
['exactly', 0.9962770717617595]
['italy', 0.9962036194508155]
['trouble', 0.9961530925197826]
['unconsciously', 0.9960488128587]
['bowels', 0.9959745038137057]
['practice', 0.9959475880481204]
['advance', 0.9958881449819323]
['above', 0.995618505165323]
['customers', 0.9956130402319577]
['gestures', 0.9956122078515596]
['pennsylvania', 0.9955848205177101]
['scoffer', 0.9955563539680448]
['rabats', 0.9954190507429019]
['robbing', 0.9952834262333238]
['cadaverous', 0.9951874057674726]
['regained', 0.9951444079691416]
['huts', 0.9950857491737846]
['raillery', 0.9950649130157475]
['wow', 0.9950592689699561]
['tamen', 0.9950051290168688]
['apothecary', 0.9949473891527035]
['pagan', 0.994930864370489]
['whither', 0.9948890413621205]
['intimidated', 0.9948254573153285]
['raise', 0.9947220975595816]
['promontories', 0.9946434334270579]
['incongruous', 0.9943955840654]
['persistent', 0.9943251795508099]
['engross', 0.9940689229206625]
['aegis', 0.9940640071223831]
['patrimony', 0.993708021285901]
['gapped', 0.9936987198833649]
['tinned', 0.9934874737193723]
['site', 0.9934609481197487]
['deposits', 0.9934313036774305]
['packers', 0.9933512637941534]
['jetes', 0.9932961269859284]
['waddled', 0.9932765030078894]
['ransomed', 0.9932765030078894]
['anderson', 0.9932765030078894]
['smoky', 0.9932057067718231]
['pricks', 0.992981388321551]
['recked', 0.9929090943516528]
['written', 0.9928896200945404]
['jason', 0.9928496212548784]
['provocation', 0.992793218291738]
['narratives', 0.9927922145414537]
['pack', 0.9927533867737351]
['slight', 0.9926946585504872]
['soups', 0.9926946585504872]
['voltaire', 0.9926651783599933]
['nations', 0.9926576181265233]
['recovering', 0.9923761084374972]
['antagonistic', 0.9922782069564708]
['assemblage', 0.9922596229581534]
['roost', 0.9920971986534015]
['monitor', 0.9920789744743089]
['seein', 0.9920330087314256]
['bits', 0.9920330087314256]
['sunward', 0.9920093844359907]
['sovereigns', 0.9920069439478597]
['pocketing', 0.9918545992186013]
['profile', 0.9918117966281893]
['owed', 0.9917312597959392]
['funk', 0.9916723661753735]
['panels', 0.9916688512131182]
['mettant', 0.9916600863883284]
['booming', 0.991622521173549]
['oncommon', 0.9915640507336547]
['withstood', 0.9914797167202615]
['drugging', 0.991357954050893]
['possessions', 0.9912760987963559]
['shock', 0.9912650641513674]
['correctly', 0.991161075478819]
['despise', 0.9910866643829889]
['selected', 0.9910656633928758]
['harder', 0.9910554791155128]
['finances', 0.9910528425459576]
['seasoned', 0.9910255269792212]
['pottery', 0.9909454271476583]
['outreach', 0.9909284698044133]
['assassin', 0.9909284698044133]
['lonesomeness', 0.9908747200602764]
['savant', 0.9908073961625041]
['mousedom', 0.9908073961625041]
['gloriously', 0.9907932860061694]
['caesars', 0.9907725690277115]
['participated', 0.9907510261829725]
['ledges', 0.9906874592549305]
['ahoy', 0.9906634754357302]
['beer', 0.990631627293101]
['_varieties', 0.9905160949670082]
['engineering', 0.9904874846273897]
['principal', 0.9904312156812889]
['congratulated', 0.9903878370979962]
['moneyed', 0.9902928158494716]
['rivaled', 0.9901786105438216]
['portmanteaus', 0.9901530448366902]
['exercised', 0.9901170376091585]
['tables', 0.9900575824614843]
['excepting', 0.9900268642067003]
['ichthiosaurus', 0.990024428640037]
['_oyama_', 0.990024428640037]
['bays', 0.9899976769409318]
['speedy', 0.9899976769409318]
['magical', 0.9899503536018741]
['faraway', 0.9899414978705039]
['trip', 0.9899414978705039]
['depravity', 0.9899321438693466]
['sleeps', 0.9899321438693466]
['thing', 0.9899321438693466]
['drummed', 0.9899121298389071]
['exigencies', 0.9899016389862296]
['laces', 0.9899016389862296]
