['execrating', 0.9984658383482923]
['eut', 0.9982246816875859]
['undoubtedly', 0.9957998701234989]
['lustre', 0.9956939820624787]
['offenbach', 0.9940947872923847]
['flattery', 0.9936983049172216]
['arrivals', 0.9930872800652105]
['_and', 0.9922584002255498]
['sported', 0.9917639884209928]
['bottles', 0.9917314129314736]
['irregularity', 0.9916203399461532]
['pillars', 0.9915222157019099]
['paintings', 0.9915145596505431]
['drip', 0.9912828567878]
['contrariwise', 0.990865597399186]
['alms', 0.9903812068755964]
['howled', 0.9896943655990597]
['gunboat', 0.9896638353296081]
['healed', 0.9895345691459332]
['moulded', 0.9892061482489745]
['snail', 0.9891588246641259]
['boars', 0.9885076451690541]
['mer', 0.987973539922694]
['coiffe', 0.9874215287330836]
['inner', 0.9874080791092626]
['deprecatory', 0.9867982468697818]
['track', 0.9865727090043731]
['unfrequent', 0.985812907803393]
['clair', 0.9854865643059215]
['trouble', 0.9847752789819849]
['isn', 0.9845850821552641]
['bowels', 0.9840684870352144]
['brink', 0.9831708343486105]
['twitched', 0.9829626520465763]
['atte', 0.9826336733382243]
['dimmed', 0.9825898000989778]
['bayan', 0.9820318347885302]
['came', 0.9817353641719238]
['dreary', 0.9814748647516616]
['township', 0.9809270277627358]
['sert', 0.9806826962548671]
['allumettes', 0.9804912777434208]
['ye', 0.9804609236559716]
['bnf', 0.9803877579218057]
['meerschaums', 0.9802462034072333]
['animadverted', 0.9801955570974293]
['recommendations', 0.9801341048193672]
['prematurely', 0.9800519824069786]
['scalp', 0.9799915749568133]
['whither', 0.9797726044110812]
['roadside', 0.9796622700731278]
['kingdoms', 0.979193546236846]
['placing', 0.9787311536328063]
['gallic', 0.9783552995445636]
['huntsman', 0.9780390452224251]
['adorn', 0.9780344500941596]
['creeps', 0.97771742848152]
['perplexing', 0.9776914118023923]
['enthusiastic', 0.9776753885950857]
['culpable', 0.9775710384824096]
['daguerrian', 0.9774471173275384]
['happily', 0.97741730253412]
['aisle', 0.9773524975931255]
['gravitate', 0.9770344962278605]
['whippoorwill', 0.9768334150177425]
['signatures', 0.9763282705635146]
['brightly', 0.9759460664017627]
['yearns', 0.9758759125815492]
['browse', 0.9757695832613489]
['blinding', 0.9756545472477665]
['raking', 0.9755952337002811]
['slaughtering', 0.9755752030404274]
['pace', 0.9752904137152131]
['pathways', 0.9752401007969038]
['des', 0.9747686344995687]
['spunk', 0.9746981225061194]
['ridgepole', 0.9743147281360947]
['yawned', 0.9742384686132635]
['succeeding', 0.9742223783627546]
['siamese', 0.974059691808188]
['hunchback', 0.9740578413858566]
['angle', 0.9740351326894733]
['trace', 0.9735755333153887]
['bites', 0.9734668560333495]
['sits', 0.9732814183182188]
['bill', 0.9732578180107467]
['_perfect', 0.9732242193842102]
['china', 0.9729123498933466]
['depressed', 0.9728626055137486]
['quickened', 0.9725510264642558]
['impart', 0.9721863631100041]
['purchases', 0.9717142811895407]
['jason', 0.9717012893792113]
['coil', 0.971608568416912]
['_all', 0.9711793469977964]
['forger', 0.9711793469977964]
['voltaire', 0.9709713285904944]
['sanctuary', 0.9707233608558192]
['bulgaria', 0.9700764473150412]
['valise', 0.969973508025726]
['kinds', 0.9699304380980147]
['profusely', 0.9695356311351325]
['span', 0.9690605661273675]
['conclusions', 0.968799919193963]
['whom', 0.9685519198628172]
['bulky', 0.968448685964327]
['view', 0.9684193174274542]
['99712', 0.9681330353653675]
['practice', 0.9679239276043374]
['chymera', 0.9679048190678119]
