['clerge', 0.9952285177938313]
['raking', 0.9942927489791835]
['await', 0.9938293888289642]
['osiris', 0.9921656210471389]
['sert', 0.9911495134097088]
['carries', 0.9894947238463939]
['disliking', 0.9885613063353865]
['feat', 0.9883946901312343]
['voiced', 0.9879150831095648]
['aegis', 0.9867222824667077]
['protestations', 0.9859933599232148]
['pensants', 0.9857509625443134]
['prescience', 0.985480580782655]
['trout', 0.9853019475685312]
['edwards', 0.9848544200512267]
['_badinage_', 0.9848080260312044]
['voters', 0.9841318963426354]
['anaxagoras', 0.9838905957394491]
['receding', 0.9836569534122327]
['muscle', 0.983408884273614]
['agent', 0.9828841312023273]
['psychic', 0.981517596899594]
['electioneering', 0.9811396998991844]
['underwent', 0.980982042967437]
['polypi', 0.9809417437430091]
['lustre', 0.9807331572244197]
['affect', 0.9806106053017887]
['acquaintances', 0.9805529544341562]
['woodman_', 0.9804760633299267]
['mattered', 0.980366485328338]
['tulle', 0.9803414859965248]
['sjaani', 0.9801074942104024]
['employs', 0.9800359920019137]
['tears', 0.9786270015277792]
['keene', 0.977413987203]
['grub', 0.977406064175527]
['informed', 0.9773942130122903]
['packers', 0.9760535683452554]
['jubilant', 0.9759982941329011]
['marauders', 0.9758069188026776]
['misty', 0.9756478995690331]
['robbing', 0.9755546333135341]
['jumped', 0.9755399458376768]
['_gul_', 0.9752368047931883]
['allee', 0.9751164981701317]
['appurtenances', 0.9748578013244339]
['fidgety', 0.9748444441026907]
['obstructing', 0.9743168995106014]
['terrestrials', 0.9740691789730693]
['occupied', 0.972638418037266]
['gallic', 0.972214776326678]
['join', 0.971551364113307]
['alms', 0.9713077871469346]
['clutches', 0.971284146469122]
['incongruous', 0.9709530669163444]
['fare', 0.9707508686161896]
['inveighing', 0.9702483027542766]
['woolwich', 0.9700483396009812]
['command', 0.969861873721543]
['notifies', 0.9696882972039577]
['desires', 0.9696616113900874]
['ballads', 0.969489020041593]
['chili', 0.9694333896315903]
['accustomed', 0.9690866061097794]
['wonders', 0.968963092475443]
['healed', 0.9687823237509807]
['footpath', 0.9683390907214683]
['lithe', 0.9681002933292268]
['statue', 0.9680440678833253]
['sixteenth', 0.9678350985985934]
['02', 0.9670866006086163]
['caesars', 0.9667660081125679]
['preacher', 0.9667170430073548]
['deserves', 0.9665888648883688]
['heartily', 0.9659961792515819]
['deposits', 0.9659553315180295]
['puffy', 0.9658621956927441]
['constructed', 0.9655962587738551]
['clotho', 0.9655299922001729]
['strengthens', 0.9653414237229447]
['imposing', 0.9653076560468021]
['generations', 0.9652838830436095]
['symptom', 0.9652619783266099]
['resorted', 0.9650492230167488]
['renvoyer', 0.9648518494044352]
['smoky', 0.9647860931357382]
['offenbach', 0.9647702954501308]
['billowing', 0.9647322206186246]
['18_', 0.9645150206170815]
['clung', 0.964365343378011]
['depleted', 0.9640567817446001]
['search', 0.963903099496216]
['paused', 0.9638529869687816]
['butting', 0.9633610168917434]
['coach', 0.9629194806539988]
['blocks', 0.962830321385706]
['embarrassed', 0.9622126323460604]
['nations', 0.9619454234942068]
['squashing', 0.9618225138998349]
['kitchen', 0.9614475558538219]
['ablutions', 0.9612043992043049]
['throttled', 0.9609875488737886]
['volumes', 0.9609722336060764]
['steering', 0.9609460997743179]
['amuse', 0.9609143268861335]
['conclusions', 0.9608573686978662]
['skipping', 0.9608037812775309]
['prussian', 0.9607739441666253]
['news', 0.9606613580907934]
['recovering', 0.9604863966848187]
['melt', 0.9603334207772334]
['church', 0.9601928714798387]
['wayfarers', 0.960073097565919]
['hoots', 0.9598004602242437]
['snarling', 0.9596808617245718]
['_whether', 0.9594998360925706]
['_jesus', 0.9594791930415774]
['humbert', 0.9594637071720191]
['performance', 0.9592830224651214]
['promptness', 0.9590539859293316]
['coldest', 0.9588485246370101]
['dress', 0.9587836087274435]
['hoare', 0.9587584934181163]
['alcibiades', 0.9587104754280719]
['stultify', 0.9583990369887462]
['stoop', 0.9583957303909901]
['punctilious', 0.9582266960445267]
['funds', 0.9581569332158122]
['speakers', 0.9575286977897244]
['liquor', 0.9572070813636397]
['funk', 0.9568389953080135]
['filial', 0.9567352692932504]
['scatters', 0.9567341510705225]
['uses', 0.9565983807932914]
['time', 0.9565799917497885]
['bill', 0.9565729296106381]
['angry', 0.9564654699102405]
['drowsy', 0.9561237561675383]
['steadily', 0.9560659892800742]
['norwegian', 0.9558633474008374]
['cupboard', 0.9557556269405375]
['languish', 0.9554647685293871]
['declarations', 0.9554134843543027]
['shinin', 0.9553610207568098]
['delay', 0.9548827262943196]
['chanty', 0.9544379176452703]
['execrating', 0.9542369899295053]
['hatch', 0.9542117662011858]
['our', 0.9540324909769328]
['precise', 0.9539282926054296]
['practiced', 0.9537682312928686]
['scrimmage', 0.9536197253883967]
['molten', 0.9533453249376493]
['rectangular', 0.9531792043463505]
['earnestly', 0.9527465313704334]
['presumption', 0.9526181783459247]
['aided', 0.9525496737989495]
['1875', 0.9524374748441297]
['peeled', 0.9523076474971472]
['sacrificial', 0.9520926738489538]
['monetary', 0.95204296994933]
['spake', 0.9519223204531213]
['sloped', 0.9517171072898074]
['infused', 0.9516471255733598]
['premonition', 0.9514073185793398]
['grant', 0.9512280228642503]
['enlarges', 0.9510203110891926]
['shantyin', 0.9507016226444089]
['engineering', 0.950697913804076]
['dimly', 0.9504278354926441]
['outcropping', 0.9503594959646354]
['recent', 0.9503372494301935]
['elapsed', 0.9502654057792085]
['carrying', 0.9501709361925358]
['banquets', 0.9501173187403694]
['maintenon', 0.9498800148969493]
['sacrifices', 0.9496280762862599]
['uncertainty', 0.9494727843931338]
['pellucid', 0.9493540208302998]
['exaltation', 0.9493407424244507]
['rise', 0.949102035348292]
['powering', 0.9489927435009559]
['nihilist', 0.9488867319465887]
['therein', 0.9488466350587833]
['exercised', 0.9487779367939531]
['relate', 0.9487466623009095]
['nuts', 0.9486830421285891]
['noon', 0.948620006095318]
['intensely', 0.9485580437155907]
['bally', 0.9485426782056642]
['fences', 0.9483544585987502]
