['turvy', 0.9977257354492757]
['topics', 0.997667406271958]
['happily', 0.9976409071178541]
['xix', 0.9975367861853693]
['denies', 0.9972707050463386]
['ambiguously', 0.9970662750865028]
['whom', 0.9967147882966207]
['bulky', 0.9967040040067682]
['incongruities', 0.9962129935629528]
['recovering', 0.9961872052606908]
['nebulous', 0.9961571323665012]
['cathedral', 0.9961473490544399]
['scoffed', 0.9960313863023116]
['barrel', 0.995885010471407]
['straggle', 0.9958407585533718]
['exactly', 0.9957590562059558]
['assemblage', 0.9955913058379692]
['expanse', 0.9955373691247218]
['consolation', 0.9952793804696175]
['clair', 0.9952449694191509]
['xii', 0.9951988426637548]
['nihilist', 0.9950679162821866]
['minutes', 0.994955175718661]
['finances', 0.9949039587320934]
['rabats', 0.9947816484553292]
['tribune', 0.9947708221610715]
['rugby', 0.9945786119510115]
['kinks', 0.9944563758561803]
['lungs', 0.9943868284981252]
['raillery', 0.9943782353084449]
['dimmed', 0.9942959038305565]
['apothecary', 0.9942443589439991]
['discovers', 0.9941890276532698]
['purchases', 0.9941703829921088]
['hundreds', 0.9941677935342624]
['rounding', 0.9941618957684709]
['feverish', 0.9941108605968298]
['revealment', 0.9941108605968298]
['chatty', 0.9936808868475829]
['irrelevant', 0.9936808868475829]
['chymera', 0.9936347614081605]
['akin', 0.9935621394403223]
['suggestive', 0.9933699182692091]
['refusing', 0.993325338734342]
['precincts', 0.9931777490882483]
['usance', 0.993137696273023]
['toads', 0.9930738729073221]
['gapped', 0.9928219473771519]
['fairy', 0.9927376921376664]
['undermines', 0.9927357396084749]
['amnii', 0.9925914924399454]
['summon', 0.9923767179101365]
['jetes', 0.9923633369123108]
['monarch', 0.9923528155256494]
['yell', 0.9923172286195466]
['accidents', 0.9921119702671571]
['beowulf', 0.9920340591618066]
['decide', 0.99196376888039]
['crew', 0.9919409905432662]
['stayed', 0.9918186374351042]
['des', 0.9917334587702014]
['regained', 0.9917031870189588]
['soothes', 0.9916725435143389]
['hundred', 0.9915083437971787]
['barbarians', 0.9914647445761161]
['amuse', 0.9914140725810703]
['impotent', 0.9913756030965705]
['deprecatory', 0.9913494308062949]
['hangchow', 0.9912895112794412]
['closed', 0.991274612162732]
['facilities', 0.9912579269633306]
['worlds', 0.9912189529820866]
['track', 0.9912016450621385]
['donations', 0.9910957520344211]
['chime', 0.9910763720868897]
['boldly', 0.9909355441299533]
['armchairs', 0.9908351561071198]
['jet', 0.9907827833717326]
['headstone', 0.9907479501810059]
['danae', 0.9906027512140013]
['easterly', 0.9902816775658246]
['score', 0.9902686946757325]
['shock', 0.9900496680010841]
['that', 0.9898739668870745]
['sustenance', 0.9898459712160558]
['creator', 0.9898047607030434]
['outreach', 0.9896662392548186]
['assassin', 0.9896662392548186]
['extricate', 0.9896401245967792]
['ripening', 0.9896380208865551]
['pastures', 0.9895943539909846]
['functionary', 0.9895807167707356]
['heap', 0.9895585017061072]
['taxes', 0.9895323281011559]
['intestine', 0.9895323281011559]
['gesticulations', 0.9895323281011559]
['participated', 0.9894641057789668]
['rug', 0.9894153765549941]
['dodging', 0.9893635797940826]
['fearfully', 0.9892305796728851]
['rebellious', 0.9891484907044287]
['defer', 0.989129218949406]
['records', 0.9890091261451561]
['rift', 0.9889809709233216]
['expositions', 0.9889708346347915]
['blockhouse', 0.9889588026385876]
['arithmetical', 0.9889218307150448]
['venerable', 0.9888839918823457]
['wannsee', 0.9888560472328509]
['crop', 0.9888495115227594]
['milder', 0.9888459412498412]
['readiest', 0.9888152493885736]
['rivaled', 0.9888120431021912]
['coasts', 0.9887231991114656]
['unkind', 0.98867769510535]
['bays', 0.9886059340420088]
['speedy', 0.9886059340420088]
['boughs', 0.9885708991351098]
['hurled', 0.9885708991351098]
['rosy', 0.9885708991351098]
['employee', 0.9885708991351098]
['faraway', 0.9885419381052517]
['trip', 0.9885419381052517]
['outcry', 0.9884943298589989]
['confess', 0.9884804713150999]
['flaw', 0.9884313222499136]
['prow', 0.9884313222499136]
['wilkins', 0.9884182224824145]
['flattered', 0.9883974951554175]
['determine', 0.9883974951554175]
['constrictor', 0.9883945397896587]
['headstones', 0.9883945397896587]
['wing', 0.98838393292266]
['artfully', 0.9883679405849294]
['state', 0.9883679405849294]
['disparagingly', 0.9883367134150074]
['scrap', 0.9883279790839862]
['coal', 0.9883202365279404]
['scales', 0.9883202365279404]
['congratulating', 0.9882824907175889]
['southeastward', 0.9882824907175889]
['amadee', 0.9882824907175889]
['tormented', 0.9882824907175889]
['python', 0.9882824907175889]
['quote', 0.9882824907175889]
['rheinfeldt', 0.9882824907175889]
['rules', 0.9882824907175889]
['bounty', 0.9882824907175889]
['smile', 0.9882824907175889]
['puff', 0.9882824907175889]
['sightless', 0.9882824907175889]
['hesselius', 0.9882612866680583]
['tells', 0.9882229645566326]
['karnstein', 0.9882229645566326]
['interrupting', 0.9882229645566326]
['indescribably', 0.9881899451731162]
['flaring', 0.9881709065458472]
['mouthing', 0.9880685925988699]
['neglects', 0.9879524733573782]
['holding', 0.9879229619057232]
['evils', 0.987907035373921]
['promontories', 0.9877962204419823]
['merited', 0.9877850486892903]
['valor', 0.9877008112487735]
['bill', 0.9876667884816843]
['tres', 0.9876273021205185]
['avidity', 0.9875548522529133]
['eagen', 0.987527686528336]
['aired', 0.9874839687365424]
['stake', 0.9874734684627116]
['dickens', 0.9873415986161295]
['gratis', 0.9870322151989686]
['italy', 0.9870261507880934]
['seduced', 0.9869950744616058]
['recommendations', 0.9869826909229504]
['forward', 0.9869314719335833]
['claim', 0.9869213073202486]
['strikingly', 0.9869213073202486]
['sofas', 0.9868753269748985]
['avitchi', 0.9868753269748985]
['seizure', 0.9867313443089925]
['cordial', 0.9867292374657485]
['calibre', 0.986685470696644]
['_really_', 0.9865985695998747]
['jump', 0.9865876071978315]
['cant', 0.9865876071978315]
['engross', 0.9864873223860465]
['baptize', 0.9864817476329347]
['shrubless', 0.9864691056671047]
['expects', 0.9863546836511291]
['snare', 0.9863443210844105]
['empiricism', 0.9862943878175984]
['obstacles', 0.9862618691833782]
['locating', 0.9860479901307924]
['ascended', 0.9860187585713603]
['patten', 0.9859473472599701]
['halliards', 0.9858671065899742]
['succeeds', 0.9857469683439775]
['exhortation', 0.9854843164019363]
['thoughtless', 0.9852550003238435]
['decay', 0.9852427906406542]
['enterprise', 0.9852020039280486]
['explicit', 0.9851450114327804]
['naturally', 0.9851082644543295]
['perseus', 0.9850992405148575]
['floating', 0.9850627905704006]
['severest', 0.9850464291236439]
['conversation', 0.9850123550106933]
['pennsylvania', 0.9849114512877173]
['doled', 0.9848003200224735]
['barter', 0.9847449677380844]
['feeds', 0.9846626877810544]
['lustre', 0.9844814335166361]
['gerard', 0.9844804077128492]
['now_', 0.98441992339306]
['recitation', 0.984400965024745]
['fascinated', 0.9843857075487424]
['dispose', 0.98432943877743]
['performance', 0.9842843512390168]
['conseilleurs', 0.9841217194262302]
['countermarching', 0.984053584221608]
['olives', 0.9840200753994421]
['real', 0.9839861740784168]
['monarchy', 0.9839630310047468]
['bnf', 0.9839588681226957]
['plaster', 0.9839298469412029]
['paixhan', 0.9839227107037605]
['descant', 0.9839144425432178]
['rise', 0.9839079648670287]
['new', 0.983851769909033]
['taskmaster', 0.9838235545254236]
['womanhood', 0.9838235545254236]
['finger', 0.98382166660487]
['late', 0.9837618727332901]
['thinks', 0.9837234040298308]
['repulsions', 0.9837234040298308]
['parisians', 0.9837234040298308]
['fester', 0.9837234040298308]
['unwinnowed', 0.983620780172317]
['wagon', 0.983620780172317]
['healthier', 0.983620780172317]
['affectionate', 0.9835961442081727]
['wakened', 0.9835761969288149]
['anglo', 0.9835295812248879]
['harmony', 0.983500404529235]
['aristocratic', 0.9834089580038476]
['ox', 0.9834089580038476]
['newman', 0.9834089580038476]
['constructed', 0.9834013614864124]
['spends', 0.9833974572300036]
['squashing', 0.9832271470040552]
['queried', 0.9831922578570231]
['yawned', 0.9831195215060738]
['wow', 0.9831154178170715]
['owned', 0.9830922108220845]
['oppressors', 0.9830565869888181]
['piety', 0.9828789823749545]
['clambered', 0.982878303018896]
['_me_', 0.9828561064802434]
['hundredth', 0.9828561064802434]
['bilges', 0.9828119030410976]
['mistlike', 0.9827729689702517]
['surpassed', 0.9826741152652421]
['translation', 0.9826738736137431]
['arrivals', 0.9826471319346415]
['buckshot', 0.9826441300859552]
['kindly', 0.9826021278913493]
['slide', 0.9825786946621575]
['emanations', 0.9825786946621575]
['stoutest', 0.9824863110580285]
['seaweed', 0.982478542892469]
['eternally', 0.9824011552729099]
['designs', 0.9822872051946756]
['wishful', 0.9821317200824612]
['deserves', 0.9820972422411258]
['obeyed', 0.9820903643460049]
['clayey', 0.9820903643460049]
['lend', 0.9820903643460049]
['exhibitions', 0.9818836672649194]
['tensity', 0.9818487432432909]
['affidavy', 0.9818213982910052]
['claret', 0.9817389370641648]
['cassius', 0.9816988489600849]
['complacency', 0.9816611962635788]
['firmament', 0.981644112236345]
['seamless', 0.9815292968651438]
['inconsequent', 0.9814000599769028]
['curiosity', 0.9813566226624784]
['contradictory', 0.9813386626343773]
['reproaches', 0.9812305676305252]
['catullus', 0.9812092279068049]
['stretched', 0.9812092279068049]
['stalk', 0.9812092279068049]
['ceases', 0.9811173846664352]
['piemont', 0.9810908008187902]
['condemning', 0.9810700956363914]
['transgressions', 0.9810523020949057]
['refilled', 0.9810508247367457]
['nosin', 0.9810508247367457]
['grandes', 0.9810234553234394]
['intellects', 0.9809575693052519]
['notified', 0.9809073744038711]
['apposite', 0.9809054718741597]
['hallowed', 0.9807522067721091]
['coachmen', 0.980630742909464]
['fault', 0.9806163647861676]
['entrance', 0.9806163647861676]
['thor', 0.9806075142162828]
