['raking', 0.994494282527479]
['arrivals', 0.992780479684151]
['bottles', 0.9913644364464752]
['purchases', 0.9895046176148791]
['gunboat', 0.98920509560205]
['moulded', 0.98872709545043]
['gallic', 0.9885125387562884]
['huntsman', 0.9831718869212013]
['sert', 0.9829240807938011]
['culpable', 0.9828132654303605]
['conclusions', 0.9811197835617739]
['sparring', 0.9810059471448789]
['chymera', 0.9805781284224594]
['succeeding', 0.9802472735722305]
['carries', 0.9797313690035339]
['bnf', 0.9795173272664655]
['prematurely', 0.9791666493605576]
['coil', 0.9782443784440076]
['informed', 0.9781924649985844]
['turvy', 0.9772631058995949]
['depressed', 0.9771797151109651]
['confessed', 0.9769339696183724]
['seclusion', 0.9769185262950628]
['perplexing', 0.9767013118960615]
['daguerrian', 0.9764461751422373]
['happily', 0.9764150371084637]
['xix', 0.9753740910959215]
['pace', 0.9741937526961771]
['carry', 0.9738543996616]
['usque', 0.9735450727821867]
['pensants', 0.9725082446171585]
['hasty', 0.972337387369762]
['bill', 0.9720709463159489]
['_perfect', 0.9720358565149512]
['implied', 0.9720065338973141]
['quickened', 0.9713327859424494]
['impart', 0.97095193809684]
['command', 0.970926106485394]
['_royal_', 0.9708737559240083]
['procession', 0.9700726310611534]
['eggs', 0.9686249672981088]
['deserves', 0.9677686736241451]
['rug', 0.9677037719357318]
['whom', 0.9671561909658425]
['bulky', 0.9670483753397988]
['wilts', 0.9670242824464106]
['night', 0.9668702430078286]
['symptom', 0.9664886418714705]
['salamander', 0.9664760809922467]
['francesca', 0.9663519196804692]
['afro', 0.9661875333856655]
['grandes', 0.9658354755622476]
['construct', 0.9658057281374928]
['inextricable', 0.9656581380744796]
['lower', 0.9655665311006695]
['decent', 0.965206323275587]
['narves', 0.9640916011637799]
['restaurants', 0.9640454536207368]
['perkins', 0.9638653305352338]
['duly', 0.9633988527444651]
['ennobled', 0.9633861895172858]
['huskily', 0.9630714071604466]
['ibiblio', 0.9630545900065995]
['tripper', 0.9629653261512217]
['kitchen', 0.9628089136836957]
['deauville', 0.9627734767522175]
['hosts', 0.9626979337413688]
['detected', 0.9619687619163972]
['recovering', 0.9618816948157409]
['pestilent', 0.9616863648204232]
['nebulous', 0.9615810419254406]
['bookshelf', 0.9615442326098836]
['radio', 0.9614289250832714]
['doomed', 0.9611599680420395]
['brown', 0.9608694523975112]
['spins', 0.960723004820467]
['panorama', 0.960496594738815]
['vol', 0.9604807805112162]
['scoffed', 0.960323899283829]
['sabe_', 0.9602912761883711]
['honore', 0.9598475799763322]
['delectation', 0.9598179820654246]
['blindly', 0.9596776563934861]
['funds', 0.9596344889935107]
['wondrous', 0.9595037689703053]
['protestations', 0.959463880568353]
['fag', 0.9592845028060022]
['romancing', 0.9591940738167131]
['_use_', 0.9590886667305416]
['speakers', 0.9590284377177472]
['barrel', 0.9588605111458575]
['baptize', 0.9587525655734999]
['cities', 0.9585236595413538]
['straggle', 0.958418103874556]
['filial', 0.9582630266432561]
['repeating', 0.9582401237168024]
['liver', 0.9581797763933599]
['time', 0.9581132322359295]
['angry', 0.9580027543735251]
['christina', 0.9579303343468892]
['exactly', 0.9576012870181528]
['locating', 0.9574290672661145]
['chilling', 0.9574243202045474]
['norwegian', 0.9574218939192491]
['cupboard', 0.9573179772668611]
['decline', 0.9572766947377733]
['elections', 0.9563894372548162]
['marvel', 0.9562344050947749]
['peremptorily', 0.9560707776406719]
['assemblage', 0.9559242075636094]
['hatch', 0.9558286330945468]
['expanse', 0.9553849768321447]
['gently', 0.9551632675419366]
['processes', 0.9550084392725237]
['retractor', 0.9545828904257543]
['satires', 0.9544813115286183]
['willingly', 0.9544397631222309]
['severest', 0.9543730641050001]
['1875', 0.9541169952341729]
['readiness', 0.954056135402781]
['prelate', 0.9540480388672902]
['quaker', 0.9531717253296587]
['downward', 0.9529987144313348]
['crack', 0.952408544382119]
['outcropping', 0.9521123936172768]
['xii', 0.9520005683249028]
['brougham', 0.9518725986571819]
['tutor', 0.951020690768663]
['rise', 0.9508993362519782]
['pioneers', 0.9507194596957114]
['nihilist', 0.9506916356100532]
['finger', 0.9506360195293093]
['relate', 0.9505565120816202]
['agent', 0.9504655721889512]
['michael', 0.9502631498550624]
['above', 0.9501011757307701]
['bait', 0.9496609632059416]
['minutes', 0.9495645150853612]
['spends', 0.9493416548512581]
['finances', 0.949052474742755]
['virgil', 0.9488101397484078]
['appreciative', 0.9481869963106595]
['roads', 0.9481041046758286]
['surest', 0.948060823899588]
['rabats', 0.9478296812866053]
['concludes', 0.9476247173302377]
['assemble', 0.9475796903389501]
['radiances', 0.9474242449293571]
['improved', 0.947422930054235]
['personating', 0.9473327581772987]
['latent', 0.9472659087150119]
['appealingly', 0.9472578139152457]
['quietly', 0.947023332893057]
['kindly', 0.9469149140379605]
['stowed', 0.9468349553872244]
['unlocked', 0.9467514304082623]
['bazaine', 0.9466513324978697]
['than', 0.9463828981884608]
['_descending_', 0.94612614738352]
['departments', 0.9460175343574708]
['rugby', 0.9457998297041592]
['sporadic', 0.945762176863886]
['raising', 0.9457025825385014]
